lat	depth_photon	depth_ri
-7.298704474997e+01	nan	nan
-7.298713257169e+01	nan	nan
-7.298722042644e+01	nan	nan
-7.298730843696e+01	nan	nan
-7.298739866970e+01	nan	nan
-7.298748822299e+01	nan	nan
-7.298757772832e+01	nan	nan
-7.298766537976e+01	nan	nan
-7.298775303262e+01	nan	nan
-7.298784066980e+01	nan	nan
-7.298792822666e+01	nan	nan
-7.298802130057e+01	nan	nan
-7.298810709690e+01	nan	nan
-7.298819702671e+01	nan	nan
-7.298828451874e+01	nan	nan
-7.298837203638e+01	nan	nan
-7.298846271919e+01	nan	nan
-7.298855309874e+01	nan	nan
-7.298864060342e+01	nan	nan
-7.298872803811e+01	nan	nan
-7.298881568947e+01	nan	nan
-7.298890444785e+01	nan	nan
-7.298899639522e+01	nan	nan
-7.298908385773e+01	nan	nan
-7.298917133275e+01	nan	nan
-7.298925886330e+01	nan	nan
-7.298934944877e+01	nan	nan
-7.298944044366e+01	nan	nan
-7.298952818273e+01	nan	nan
-7.298961609315e+01	-8.958077052154e-01	-6.681641718620e-01
-7.298970406480e+01	-1.676214957964e+00	-1.250253567512e+00
-7.298979188329e+01	-2.145980867574e+00	-1.600642103061e+00
-7.298987994464e+01	-2.430607210944e+00	-1.812938920671e+00
-7.298997221454e+01	-2.578186773315e+00	-1.923015419792e+00
-7.299006262792e+01	-2.644182016358e+00	-1.972239886894e+00
-7.299015103934e+01	-2.637599352211e+00	-1.967330015821e+00
-7.299023951700e+01	-3.322314237175e+00	-2.478044482117e+00
-7.299032798115e+01	-3.444455526382e+00	-2.569147107020e+00
-7.299041655211e+01	-3.293973393044e+00	-2.456905641116e+00
-7.299050498495e+01	-3.107315227305e+00	-2.317681231674e+00
-7.299059363939e+01	-3.314653248365e+00	-2.472330311304e+00
-7.299068196641e+01	-2.797264761052e+00	-2.086421094244e+00
-7.299077045449e+01	-2.416133246675e+00	-1.802143094409e+00
-7.299085885396e+01	-2.594685476872e+00	-1.935321456606e+00
-7.299094713812e+01	-2.473838792300e+00	-1.845184450138e+00
-7.299103574493e+01	-2.766048598995e+00	-2.063137613929e+00
-7.299112362135e+01	-2.769636086059e+00	-2.065813445260e+00
-7.299121178259e+01	-2.733852843647e+00	-2.039123475533e+00
-7.299130061812e+01	-2.491383892321e+00	-1.858270972120e+00
-7.299139391423e+01	-2.355300011055e+00	-1.756768860338e+00
-7.299148169903e+01	-2.203902479450e+00	-1.643844618073e+00
-7.299156939586e+01	-1.862744875089e+00	-1.389382319004e+00
-7.299165699841e+01	-1.622551406687e+00	-1.210227050561e+00
-7.299174468038e+01	-1.274395571988e+00	-9.505449183173e-01
-7.299183746832e+01	nan	nan
-7.299192554326e+01	nan	nan
-7.299201282361e+01	nan	nan
-7.299210101358e+01	nan	nan
-7.299218815085e+01	nan	nan
-7.299228051172e+01	nan	nan
-7.299236759300e+01	nan	nan
-7.299245770735e+01	nan	nan
-7.299254787462e+01	nan	nan
-7.299263476235e+01	nan	nan
-7.299272168636e+01	nan	nan
-7.299280934430e+01	nan	nan
-7.299290182874e+01	nan	nan
-7.299298888527e+01	nan	nan
-7.299307605798e+01	nan	nan
-7.299316617786e+01	-1.503257361208e+00	-1.121248125015e+00
-7.299325457678e+01	-1.361628764888e+00	-1.015610326611e+00
-7.299334443155e+01	-1.168940880431e+00	-8.718884764909e-01
-7.299343189075e+01	-1.282196904030e+00	-9.563637682034e-01
-7.299351956425e+01	-1.504163126457e+00	-1.121923716310e+00
-7.299360735742e+01	-1.331016984796e+00	-9.927776421243e-01
-7.299369842485e+01	-1.547500316867e+00	-1.154248017355e+00
-7.299378706999e+01	-1.783871865080e+00	-1.330552595719e+00
-7.299387809949e+01	-1.946366965821e+00	-1.451754281958e+00
-7.299396419212e+01	-1.849284283658e+00	-1.379342346280e+00
-7.299405509979e+01	-2.264601587389e+00	-1.689118809121e+00
-7.299414362760e+01	-2.263329428659e+00	-1.688169932616e+00
-7.299423215532e+01	-2.067477350938e+00	-1.542087977130e+00
-7.299432064078e+01	-2.395597849386e+00	-1.786826172437e+00
-7.299440906640e+01	-2.206624076126e+00	-1.645874599930e+00
-7.299449745725e+01	-2.168533235917e+00	-1.617463441424e+00
