Time,ATL13melt WGS84,lat,lon,apparent depth (m)
31690156.94,209.93968,-72.98963173,67.25936702,1.1834
31690156.94,209.19685,-72.98976678,67.25930381,2.1491
31690156.94,208.97917,-72.98990838,67.25923786,2.4321
31690156.94,208.99431,-72.99004378,67.25917351,2.4124
31690156.95,208.51923,-72.99017948,67.25910812,3.0300
31690156.95,207.50491,-72.9903028,67.25904897,4.3486
31690156.95,208.36737,-72.99044177,67.25898182,3.2274
31690156.95,208.54915,-72.99060015,67.25890648,2.9911
31690156.95,208.62351,-72.99075144,67.2588331,2.8944
31690156.96,208.92530,-72.99087802,67.25877329,2.5021
31690156.96,208.53698,-72.99098517,67.25872207,3.0069
31690156.96,208.57877,-72.99108267,67.25867537,2.9526
31690156.96,208.61313,-72.99117721,67.25863061,2.9079
31690156.96,208.81004,-72.99127147,67.25858621,2.6519
31690156.96,209.11330,-72.99136567,67.25854283,2.2577
31690156.97,209.00659,-72.99146313,67.25849855,2.3964
31690156.97,209.08707,-72.99155686,67.2584549,2.2918
31690156.97,209.46635,-72.99165386,67.25841026,1.7987
31690156.97,209.85592,-72.991757,67.25836269,1.2923
31690156.97,210.02410,-72.99185067,67.25831934,1.0737
31690156.97,210.10015,-72.99193807,67.25827887,0.9748
,,,,
31690156.99,209.82281,-72.99325064,67.25763612,1.3353
31690157,209.92797,-72.99334746,67.25758767,1.1986
31690157,209.81586,-72.9934413,67.25754095,1.3444
31690157,209.77483,-72.9935416,67.25749139,1.3977
31690157,209.29860,-72.99366386,67.25743104,2.0168
31690157,209.50442,-72.99380227,67.25736372,1.7493
31690157.01,209.42739,-72.99394461,67.25729635,1.8494
31690157.01,208.73244,-72.99406822,67.25723864,2.7528
31690157.01,209.06918,-72.99418789,67.25718136,2.3151
31690157.01,208.76960,-72.99433009,67.25711489,2.7045
31690157.01,209.38812,-72.99448481,67.25704295,1.9004
31690157.02,208.77046,-72.9946265,67.25697686,2.7034
31690157.02,209.14028,-72.99475538,67.25691685,2.2226
31690157.02,209.00293,-72.99488727,67.25685559,2.4012
31690157.02,208.94966,-72.99502473,67.25679108,2.4704
31690157.02,208.99020,-72.9951614,67.25672624,2.4177
31690157.03,209.08934,-72.99532884,67.25664673,2.2889
31690157.03,209.77338,-72.99553294,67.25654894,1.3996
31690157.03,209.87588,-72.99570293,67.25646731,1.2664
31690157.04,209.95558,-72.99581115,67.25641534,1.1627
31690157.04,209.43823,-72.99589846,67.25637494,1.8353
31690157.04,209.30181,-72.99599073,67.25632914,2.0126
31690157.04,209.23589,-72.99613324,67.25626033,2.0983
31690157.04,208.90802,-72.99631376,67.25617402,2.5246
31690157.05,209.27741,-72.9964573,67.25610524,2.0444
