Time (sec),ATL13melt WGS84,lat,lon,apparent depth (m)
31690155.1382561,197.6816,-72.87688821,67.31252798,1.0639
31690155.1408561,197.5178,-72.87698814,67.31248032,1.2769
31690155.1439561,196.9501,-72.87722623,67.31236698,2.0148
31690155.1506061,196.6221,-72.87775573,67.31211586,2.4413
31690155.1556061,196.3249,-72.87796055,67.31201879,2.8276
31690155.1687561,196.6037,-72.87865653,67.31168914,2.4652
31690155.1728561,196.2469,-72.8788932,67.31157724,2.9290
31690155.1775561,196.7106,-72.87915771,67.31145309,2.3263
31690155.1823061,195.6322,-72.87945337,67.31131506,3.7281
31690155.1868561,196.1180,-72.87974036,67.31118292,3.0966
31690155.1915061,195.9555,-72.88002225,67.31105481,3.3079
31690155.1962061,195.8410,-72.88033344,67.31091261,3.4567
31690155.1992061,196.6914,-72.88059731,67.31078852,2.3512
31690155.2005561,196.5823,-72.88074525,67.31071821,2.4930
31690155.2021061,196.2524,-72.88083035,67.31067782,2.9219
31690155.2038561,196.2803,-72.88093107,67.31062852,2.8856
31690155.2056061,196.1770,-72.88104465,67.31057214,3.0198
31690155.2074561,196.7094,-72.88115825,67.31051554,2.3278
31690155.2094561,196.7282,-72.88127452,67.31045643,2.3034
31690155.2113561,197.4409,-72.88139728,67.3103946,1.3768
31690155.2132061,197.4575,-72.88151681,67.31033449,1.3553
31690155.2148561,197.2475,-72.88162682,67.31027941,1.6283
31690155.2165061,197.6530,-72.8817337,67.31022641,1.1010
,,,,
31690155.2261061,197.1766,-72.88233731,67.30993488,1.1766
31690155.2278061,196.5294,-72.88243482,67.30989211,1.9654
31690155.2297061,197.0295,-72.88254598,67.30983916,1.7204
31690155.2317561,196.8224,-72.88266462,67.30978596,2.5618
31690155.2339561,196.7974,-72.88280136,67.30972348,1.9117
31690155.2361561,196.7257,-72.88294474,67.30965892,2.1809
31690155.2384561,196.4815,-72.88307716,67.30959541,2.2134
31690155.2410061,196.5532,-72.88322259,67.30953377,2.3066
31690155.2441061,196.3191,-72.88341652,67.30944539,2.6240
31690155.2471561,194.8265,-72.88363257,67.30934427,2.5309
31690155.2494061,197.4471,-72.88382445,67.30925488,2.8352
31690155.2519061,197.2789,-72.88396573,67.3091875,4.7755
31690155.2557061,197.2354,-72.88417033,67.30909027,1.3688
31690155.2591061,197.8111,-72.88437541,67.30899351,1.5875
31690155.2615061,197.5899,-72.88456127,67.30890488,1.6440
31690155.2636061,197.4940,-72.88471262,67.30883332,0.8956
31690155.2662061,196.7584,-72.88486727,67.30876101,1.1832
31690155.2682561,196.1199,-72.8850091,67.30869455,1.3078
31690155.2705561,196.3755,-72.88514143,67.30863277,2.2640
31690155.2732061,196.2778,-72.88528303,67.30856667,3.0941
31690155.2763561,196.0973,-72.88548108,67.30847443,2.7618
31690155.2790561,196.7005,-72.88566909,67.30838618,2.8889
31690155.2824561,196.4291,-72.88586937,67.3082923,3.1235
31690155.2859061,196.6602,-72.88609718,67.30818524,2.3394
31690155.2891061,196.3534,-72.88629325,67.30809245,2.6921
31690155.2920061,196.5116,-72.88647737,67.30800607,2.3917
31690155.2955061,196.4374,-72.88666089,67.30791801,2.7906
31690155.3001061,196.5152,-72.88693284,67.30778903,2.5849
31690155.3026061,196.8202,-72.88715224,67.30768496,2.6814
31690155.3052561,196.9053,-72.88729986,67.30761401,2.5802
31690155.3083561,196.6208,-72.88746697,67.30753409,2.1837
31690155.3109561,196.6790,-72.88767859,67.30743384,2.0731
31690155.3138561,196.5780,-72.88784885,67.3073531,2.4429
31690155.3161561,196.4992,-72.88800635,67.3072787,2.3673
31690155.3185561,196.5471,-72.8881479,67.30721225,2.4986
31690155.3210061,196.2388,-72.88829882,67.30714143,2.6011
31690155.3232561,196.3967,-72.88843988,67.3070761,2.5388
31690155.3253061,196.3802,-72.88857681,67.30701285,2.9395
31690155.3274561,196.5438,-72.88871989,67.30694708,2.7343
31690155.3292061,196.0842,-72.8888289,67.30689743,2.7557
31690155.3309061,196.5779,-72.88893427,67.30684823,2.5431
31690155.3326061,196.4616,-72.88904399,67.30679964,3.1405
31690155.3346561,196.1783,-72.88917046,67.30673859,2.4987
31690155.3368061,196.3189,-72.88929788,67.30667871,2.6499
31690155.3404061,196.1328,-72.88946919,67.30659753,3.0182
31690155.3502061,195.7776,-72.88985758,67.30640883,2.8355
31690155.3619561,195.7814,-72.89068835,67.30600168,3.0774
31690155.3666061,196.5380,-72.89117025,67.30576838,3.5391
31690155.3683061,196.4636,-72.89128315,67.30571498,3.5341
31690155.3701561,196.9653,-72.89139923,67.30566067,2.5506
31690155.3725061,196.8061,-72.89152782,67.30560088,2.6474
31690155.3765561,196.3937,-72.89174088,67.30550224,1.9952
31690155.3807561,196.8177,-72.89199412,67.30538437,2.2021
31690155.3842561,197.2776,-72.89225048,67.3052653,2.7382
31690155.3872062,197.4576,-72.89242542,67.30518309,2.1871
31690155.3903061,197.5260,-72.8926442,67.30508029,1.5891
31690155.3932061,197.6830,-72.89282876,67.30499367,1.3551
31690155.3951061,197.2222,-72.89296026,67.30493207,1.2662
31690155.4019561,197.7600,-72.89334661,67.30475293,1.0621
31690155.4091061,197.7615,-72.89380259,67.30454226,1.6612
31690155.4108061,197.8367,-72.89395057,67.30447393,0.9620
31690155.4122561,197.5308,-72.89404507,67.30443024,0.9600
31690155.4147562,197.2478,-72.89413953,67.30438636,0.8623
31690155.4176061,197.6047,-72.89430941,67.30430677,1.2599
31690155.4234061,197.7943,-72.89463895,67.30414956,1.6278
