Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-71.63890182,84.25924683,84.33025498,84.5386,0.279353174,0.208345018,-25.41877532
-71.63891445,84.05569458,84.17843468,84.5386,0.48290542,0.360165319,-25.41700637
-71.63892075,84.28813171,84.3517989,84.5386,0.250468286,0.186801103,-25.41925929
-71.63893338,83.9695816,84.11420696,84.5386,0.569018396,0.424393045,-25.41663898
-71.6389397,83.81224823,83.9968592,84.5386,0.72635177,0.541740804,-25.4161927
-71.63894601,83.62167358,83.85471829,84.5386,0.916926416,0.683881707,-25.41585724
-71.63894601,83.70303345,83.91540089,84.5386,0.835566553,0.62319911,-25.41598174
-71.63894599,84.02371216,84.15458046,84.5386,0.514887842,0.384019543,-25.41685558
-71.6389523,83.92261505,84.07917675,84.5386,0.615984949,0.459423246,-25.41648189
-71.6389523,84.0120163,84.14585705,84.5386,0.526583704,0.39274295,-25.41680501
-71.63897124,83.6836853,83.90096999,84.5386,0.854914697,0.637630005,-25.41594999
-71.63898384,83.73087311,83.93616522,84.5386,0.807726892,0.602434782,-25.41603011
-71.63899016,83.57405853,83.81920441,84.5386,0.964541467,0.719395594,-25.41579414
-71.63899015,83.65010834,83.87592647,84.5386,0.888491663,0.662673526,-25.41589817
-71.63899013,84.08674622,84.20159467,84.5386,0.451853784,0.337005325,-25.41717322
-71.63899015,83.62722015,83.85885523,84.5386,0.911379846,0.679744775,-25.41586504
-71.63899643,84.05965424,84.18138801,84.5386,0.478945764,0.357211993,-25.41702646
-71.63900274,84.06227112,84.18333982,84.5386,0.476328882,0.35526018,-25.41703991
-71.63900277,83.56465149,83.81218812,84.5386,0.973948511,0.726411877,-25.4157824
-71.63901535,83.90823364,84.06845032,84.5386,0.630366357,0.47014968,-25.41643849
-71.63902167,83.7002182,83.91330113,84.5386,0.838381799,0.625298874,-25.41597705
-71.63902166,83.85275269,84.02706961,84.5386,0.685847314,0.511530385,-25.41628804
-71.63902795,83.9993515,84.13641096,84.5386,0.539248499,0.402189041,-25.41675274
-71.63903427,83.64561462,83.87257482,84.5386,0.892985376,0.666025181,-25.41589155
-71.63904685,84.01306152,84.14663664,84.5386,0.525538477,0.391963363,-25.41680947
-71.63904686,83.90760803,84.06798371,84.5386,0.630991968,0.470616294,-25.41643665
-71.63904685,84.05104065,84.17496353,84.5386,0.487559351,0.363636472,-25.41698323
-71.63905318,83.50813293,83.77003352,84.5386,1.030467065,0.768566478,-25.4157164
-71.63906576,83.93190002,84.08610199,84.5386,0.606699976,0.452498009,-25.41651105
-71.63907206,83.8986969,84.0613373,84.5386,0.639903101,0.4772627,-25.41641079
