lat,h,pondid,typeid
-72.99658116852792,221.6212124057583,1,1
-72.99601486028419,221.6212124057583,1,1
-72.99515407175373,221.64918443373034,1,1
-72.99458776351,221.6212124057583,1,1
-72.99411206458527,221.6072263917723,1,1
-72.9937383011444,221.6072263917723,1,1
-72.99313801440606,221.6212124057583,1,1
-72.99284353411932,221.6212124057583,1,1
-72.9926283369867,221.6072263917723,1,1
-72.99261701082183,222.0128207973667,1,1
-72.99251507533796,222.320513105059,1,1
-72.99233385669997,222.44638723093314,1,1
-72.99220926888634,222.30652709107298,1,1
-72.99210733340247,221.9988347833807,1,1
-72.99203937641323,221.74708653163242,1,1
-72.99199407175372,221.6351984197443,1,1
-72.99138245885051,221.6212124057583,1,1
-72.99083880293652,221.64918443373034,1,1
-72.9902271900333,221.6351984197443,1,1
-72.98979679576807,221.66317044771634,1,1
-72.98954762014083,221.66317044771634,1,1
-72.99659249469279,221.55128233582823,1,2
-72.99656984236304,221.2016319861779,1,2
-72.9965471900333,220.78205156659746,1,2
-72.99652453770355,220.2086249931709,1,2
-72.99647923304404,219.67715646170237,1,2
-72.9964112760548,219.25757604212194,1,2
-72.99634331906556,218.87995366449957,1,2
-72.99621873125193,219.24359002813594,1,2
-72.99615077426269,219.64918443373034,1,2
-72.99607149110857,219.87296065750655,1,2
-72.99591292480032,220.19463897918487,1,2
-72.99572037999745,220.36247114701703,1,2
-72.99555048752434,220.26456904911495,1,2
-72.99544855204047,219.9149186994646,1,2
-72.99533529039172,219.5233103078562,1,2
-72.99493887462111,219.25757604212194,1,2
-72.99458776351,219.2016319861779,1,2
-72.99437256637738,219.36946415401005,1,2
-72.9938289104634,219.74708653163242,1,2
-72.99363636566054,219.98484876939466,1,2
-72.9935684086713,220.2086249931709,1,2
-72.99337586386842,220.23659702114293,1,2
-72.9932965807143,220.74009352463943,1,2
-72.99309270974656,221.0058277903737,1,2
-72.99282088178957,221.04778583233173,1,2
-72.99266231548133,221.2156180001639,1,2
-72.99263966315158,221.45338023792613,1,2
-72.99261701082183,221.5233103078562,1,2
-72.99260568465695,221.57925415039062,1,2
-72.99259435849208,221.97086254199903,1,2
-72.99250374917308,222.29254086367735,1,2
-72.99232253053509,222.43240100353748,1,2
-72.99222059505122,222.30652687766334,1,2
-72.99210733340247,221.98484855598502,1,2
-72.99203937641323,221.73310030423679,1,2
-72.99199407175372,221.62121219234868,1,2
-72.99192611476448,221.10372967486614,1,2
-72.9918355054455,220.54428911542558,1,2
-72.99172224379674,220.0687646399011,1,2
-72.99163163447774,219.63519820633468,1,2
-72.99142776351,219.18764575878222,1,2
-72.99132582802613,218.92191149304796,1,2
-72.99108797856377,219.0337996049361,1,2
-72.99086145526627,219.17365974479623,1,2
-72.99078217211215,218.83799540913188,1,2
-72.99058962730929,218.41841498955145,1,2
-72.99038575634154,218.2505828217193,1,2
-72.9901365807143,218.4603730315095,1,2
-72.99006862372505,218.76806533920183,1,2
-72.98988740508706,219.13170170283817,1,2
-72.98971751261395,219.63519820633468,1,2
-72.98963822945983,220.20862477976127,1,2
-72.98958159863545,220.7400933112298,1,2
-72.9895589463057,221.21561778675425,1,2
-72.98953629397596,221.63519820633468,1,2
-72.89356709693169,209.67672317916458,2,1
-72.89338645177041,209.7886112910527,2,1
-72.8931800001575,209.85254735498876,2,1
-72.89307677435104,209.6127871152285,2,1
-72.88608322596396,209.5968030992445,2,1
-72.88474129048008,209.6127871152285,2,1
-72.88231548402847,209.62877113121255,2,1
-72.88223806467363,209.7886112910527,2,1
-72.88216064531879,210.092307594749,2,1
-72.88205741951234,210.10829161073303,2,1
-72.8819800001575,209.91648341892483,2,1
-72.88187677435106,209.66073916318058,2,1
-72.88169612918976,209.5968030992445,2,1
-72.87681870983492,209.62877113121255,2,1
-72.87674129048008,209.8845153869568,2,1
-72.87668967757686,210.31608381852521,2,1
-72.87658645177041,210.60379610623752,2,1
-72.87640580660911,210.7956042980457,2,1
-72.87625096789944,210.49190799434942,2,1
-72.8761735485446,210.31608381852521,2,1
-72.87609612918976,210.5878120902535,2,1
-72.87604451628654,210.7796202820617,2,1
-72.87581225822201,210.82757233001374,2,1
-72.87576064531879,210.63576413820556,2,1
-72.87570903241557,210.4759239783654,2,1
-72.89354129048009,209.6127871152285,2,2
-72.89341225822201,209.74065924310065,2,2
-72.8931541937059,209.82057932302072,2,2
-72.89305096789944,209.5968030992445,2,2
-72.89302516144782,209.1652346676761,2,2
-72.89302516144782,208.74965025209167,2,2
-72.89294774209299,208.36603386847528,2,2
-72.89284451628653,208.078321580763,2,2
-72.89263806467363,207.9984015008429,2,2
-72.89253483886718,207.6787211811626,2,2
-72.89250903241556,207.32707282951424,2,2
-72.89240580660912,207.05534455778596,2,2
-72.89219935499621,207.07132857377,2,2
-72.89204451628653,207.32707282951424,2,2
-72.89183806467364,207.59880110124251,2,2
-72.89181225822202,207.32707282951424,2,2
-72.89165741951234,206.95944046188188,2,2
-72.89142516144783,206.55984006228147,2,2
-72.89134774209299,206.20819171063312,2,2
-72.89121870983492,205.93646343890484,2,2
-72.8909606453188,206.20819171063312,2,2
-72.89088322596396,206.46393596637736,2,2
-72.8905735485446,206.83156833400975,2,2
-72.89049612918976,207.4069929094343,2,2
-72.89039290338332,207.74265724509866,2,2
-72.89026387112524,207.47092897337038,2,2
-72.89003161306073,207.07132857377,2,2
-72.88995419370589,206.8955043979458,2,2
-72.8897735485446,206.92747242991385,2,2
-72.88972193564138,206.6877121901536,2,2
-72.88946387112524,206.52787203031343,2,2
-72.88933483886719,206.6877121901536,2,2
-72.88920580660911,207.03936054180195,2,2
-72.88905096789944,207.02337652581792,2,2
-72.88894774209298,206.83156833400975,2,2
-72.8887929033833,206.71968022212164,2,2
-72.88856064531879,206.87952038196178,2,2
-72.88845741951233,207.10329660573802,2,2
-72.8883541937059,207.31108881353023,2,2
-72.88819935499622,207.37502487746627,2,2
-72.88804451628654,207.2951047975462,2,2
-72.8879929033833,207.23116873361013,2,2
-72.88781225822201,207.05534455778596,2,2
-72.88760580660912,207.2951047975462,2,2
-72.88745096789944,207.1672326696741,2,2
-72.88729612918976,206.94345644589785,2,2
-72.88714129048009,206.7996003020417,2,2
-72.88693483886718,206.75164825408967,2,2
-72.88675419370588,206.75164825408967,2,2
-72.8865735485446,206.7836162860577,2,2
-72.88652193564137,207.1832166856581,2,2
-72.88644451628653,207.37502487746627,2,2
-72.88623806467363,207.37502487746627,2,2
-72.88610903241556,207.087312589754,2,2
-72.88595419370589,206.87952038196178,2,2
-72.88574774209299,206.75164825408967,2,2
-72.88561870983492,206.60779211023353,2,2
-72.8853606453188,206.51188801432943,2,2
-72.88528322596396,206.62377612621754,2,2
-72.88520580660912,207.00739250983392,2,2
-72.88520580660912,207.34305684549827,2,2
-72.8851800001575,207.63076913321055,2,2
-72.88510258080267,208.06233756477897,2,2
-72.88494774209299,208.52587402831543,2,2
-72.88489612918976,208.86153836397978,2,2
-72.8847670969317,209.21318671562813,2,2
-72.88471548402848,208.9094904119318,2,2
-72.88440580660911,208.44595394839536,2,2
-72.88435419370589,207.9984015008429,2,2
-72.88425096789943,207.6787211811626,2,2
-72.88383806467363,207.3910088934503,2,2
-72.88352838725427,207.26313676557817,2,2
-72.8831670969317,207.35904086148227,2,2
-72.8829864517704,207.66273716517858,2,2
-72.88293483886719,207.7906092930507,2,2
-72.88267677435105,207.7906092930507,2,2
-72.88249612918976,208.04635354879497,2,2
-72.88244451628654,208.36603386847528,2,2
-72.88231548402847,208.7016982041396,2,2
-72.88228967757686,209.14925065169206,2,2
-72.88226387112525,209.5008990033404,2,2
-72.88223806467363,209.62877113121255,2,2
-72.88221225822201,209.7726272750687,2,2
-72.88213483886717,210.06033956278097,2,2
-72.88200580660911,210.092307594749,2,2
-72.8819541937059,209.8845153869568,2,2
-72.88190258080266,209.70869121113262,2,2
-72.88172193564138,209.5808190832605,2,2
-72.88174774209298,209.085314587756,2,2
-72.88169612918976,208.66973017217157,2,2
-72.88154129048009,208.30209780453922,2,2
-72.88146387112525,207.85454535698676,2,2
-72.88146387112525,207.55084905329048,2,2
-72.88123161306073,207.31108881353023,2,2
