lat,h,pondid,typeid
-72.99654053598056,221.57097899963804,1,1
-72.9928708585612,221.5989510276101,1,1
,,1,1
-72.99195343920637,221.5989510276101,1,1
-72.98951831375834,221.57097899963804,1,1
-72.99663114529956,221.40314683180588,1,2
-72.99649523132106,219.4171328457919,1,2
-72.99635931734257,218.59195802061708,1,2
-72.99590627074758,219.75279718145623,1,2
-72.99579300909885,220.1164335450926,1,2
-72.99518139619562,219.62692305558213,1,2
-72.99485293741425,219.36118878984786,1,2
-72.9941620413569,219.4311188597779,1,2
-72.99356175461855,219.85069927935834,1,2
-72.9932332958372,220.38216781082687,1,2
-72.9929614678802,221.05349648215554,1,2
-72.99285953239634,221.33321676187583,1,2
,,1,2
-72.99210067934975,221.4171328457919,1,2
-72.99191946071174,220.67587410453316,1,2
-72.991806199063,220.1164335450926,1,2
-72.99161365426014,219.55699298565204,1,2
-72.99146641411677,219.16538459404364,1,2
-72.99105867218128,219.16538459404364,1,2
-72.99086612737841,219.2213286499877,1,2
-72.99080949655405,218.94160837026743,1,2
-72.9906962349053,218.75979018844924,1,2
-72.99051501626731,218.49405592271498,1,2
-72.99015257899131,218.508041936701,1,2
-72.99001666501283,219.15139858005764,1,2
-72.98979014171533,219.85069927935834,1,2
-72.98964290157197,220.6199300485891,1,2
-72.98957494458271,221.2073426360017,1,2
-72.98956361841785,221.44510487376394,1,2
-72.89355193579888,209.6073926317823,2,1
-72.8825841938634,209.57542459981426,2,1
,,2,1
-72.8817583874118,209.57542459981426,2,1
-72.8769841938634,209.6073926317823,2,1
-72.89303580676662,209.07992010430976,2,2
-72.89267451644405,207.4975025218922,2,2
-72.89190032289565,207.54545456984422,2,2
-72.89169387128275,206.95404597843563,2,2
-72.8913841938634,206.314685339075,2,2
-72.89120354870211,206.04295706734672,2,2
-72.89061000031501,206.74625377064342,2,2
-72.89045516160533,207.80119882558847,2,2
-72.8901970970892,207.17782220221184,2,2
-72.88981000031501,206.5384615628512,2,2
-72.8895777422505,206.4105894349791,2,2
-72.8893712906376,207.04995007433973,2,2
-72.88908741966985,207.06593409032374,2,2
-72.88908741966985,206.6343656587553,2,2
-72.88875193579888,207.00199802638767,2,2
