lat,h,pondid,typeid
-72.99643392838455,221.5333333048787,1,1
-72.99646790687918,221.57529134683676,1,1
-72.99637729756017,221.5193472908927,1,1
-72.99629801440605,221.50536127690668,1,1
-72.99621873125193,221.5193472908927,1,1
-72.99611679576806,221.50536127690668,1,1
-72.99599220795444,221.5193472908927,1,1
-72.99585629397595,221.5193472908927,1,1
-72.9956977276677,221.5193472908927,1,1
-72.99559579218383,221.5193472908927,1,1
-72.99544855204047,221.5193472908927,1,1
-72.99527865956735,221.5193472908927,1,1
-72.99515407175373,221.5193472908927,1,1
-72.99497285311574,221.5333333048787,1,1
-72.99485959146699,221.5333333048787,1,1
-72.99468969899387,221.5333333048787,1,1
-72.99456511118025,221.5333333048787,1,1
-72.99444052336663,221.54731931886474,1,1
-72.994315935553,221.5333333048787,1,1
-72.99418002157452,221.50536127690668,1,1
-72.9940101291014,221.5333333048787,1,1
-72.9938742151229,221.5333333048787,1,1
-72.9937383011444,221.56130533285074,1,1
-72.99362503949567,221.54731931886474,1,1
-72.99347779935229,221.5333333048787,1,1
-72.9933418853738,221.54731931886474,1,1
-72.99320597139531,221.54731931886474,1,1
-72.99311536207631,221.54731931886474,1,1
-72.99296812193295,221.54731931886474,1,1
-72.99284353411932,221.56130533285074,1,1
-72.9927189463057,221.56130533285074,1,1
-72.99260568465695,221.56130533285074,1,1
,,1,1
-72.99194876709423,221.6032633748088,1,1
-72.99188081010499,221.6032633748088,1,1
-72.99173356996161,221.6032633748088,1,1
-72.99157500365337,221.6032633748088,1,1
-72.99143908967488,221.6172493887948,1,1
-72.9912918495315,221.6032633748088,1,1
-72.99113328322326,221.6032633748088,1,1
-72.9909860430799,221.6032633748088,1,1
-72.99081615060678,221.6172493887948,1,1
-72.99068023662828,221.6172493887948,1,1
-72.99052167032004,221.6172493887948,1,1
-72.99034045168204,221.6172493887948,1,1
-72.99017055920893,221.6172493887948,1,1
-72.99003464523044,221.6172493887948,1,1
-72.98991005741682,221.63123540278082,1,1
-72.98976281727344,221.63123540278082,1,1
-72.98961557713008,221.63123540278082,1,1
-72.98951364164621,221.6172493887948,1,1
-72.99658116852792,221.40745917900458,1,2
-72.99655851619816,221.1976689692144,1,2
-72.9965471900333,220.9179486894941,1,2
-72.9965471900333,220.63822840977383,1,2
-72.99651321153867,220.4144521859976,1,2
-72.9965018853738,220.14871792026332,1,2
-72.9965018853738,219.89696966851508,1,2
-72.99652453770355,219.72913750068292,1,2
-72.99649055920892,219.50536127690668,1,2
-72.99638862372505,219.23962701117242,1,2
-72.99635464523043,219.00186477341018,1,2
-72.99630934057093,218.68018645173186,1,2
-72.99620740508706,218.9039626755081,1,2
-72.99619607892218,219.16969694124236,1,2
-72.99616210042755,219.46340323494866,1,2
-72.99609414343831,219.74312351466892,1,2
-72.9959695556247,219.9948717664172,1,2
-72.9957883369867,220.07878785033327,1,2
-72.99558446601895,219.98088575243116,1,2
-72.9955618136892,219.79906757061298,1,2
-72.99547120437022,219.6172493887948,1,2
-72.99540324738096,219.4214451929906,1,2
-72.99524468107272,219.26759903914444,1,2
-72.99508611476448,219.16969694124236,1,2
-72.99489356996162,219.15571092725634,1,2
-72.99470102515875,219.11375288529828,1,2
-72.99461041583974,218.93193470348012,1,2
-72.99453113268562,219.1976689692144,1,2
-72.99444052336663,219.35151512306052,1,2
-72.99422532623402,219.54731931886474,1,2
-72.99399880293652,219.67319344473884,1,2
-72.99376095347417,219.827039598585,1,2
-72.99364769182542,220.02284379438922,1,2
-72.99355708250641,220.2326340041794,1,2
-72.9933871900333,220.42843819998362,1,2
-72.99326260221967,220.55431232585772,1,2
-72.99309270974656,220.66620043774586,1,2
-72.99294546960319,220.68018645173186,1,2
-72.99283220795445,220.88997666152207,1,2
-72.99274159863545,221.08578085732626,1,2
-72.9926283369867,221.3095570811025,1,2
-72.99260568465695,221.46340323494866,1,2
,,1,2
-72.99198274558886,221.44941722096263,1,2
-72.99197141942398,221.2116549832004,1,2
-72.99194876709423,220.94592071746612,1,2
-72.99188081010499,220.7361305076759,1,2
-72.99180152695087,220.47039624194164,1,2
-72.99173356996161,220.2326340041794,1,2
-72.99168826530212,219.96689973844514,1,2
-72.99164296064262,219.6172493887948,1,2
-72.9915636774885,219.46340323494866,1,2
-72.99143908967488,219.23962701117242,1,2
-72.991337154191,218.87599064753607,1,2
-72.99111063089352,218.68018645173186,1,2
-72.99094073842039,218.98787875942418,1,2
-72.9908501291014,219.25361302515844,1,2
-72.99073686745265,218.94592071746612,1,2
-72.99068023662828,218.65221442375983,1,2
-72.99057830114441,218.44242421396962,1,2
