lat,h,pondid,typeid
-72.9966004835,221.5413498099,1,1
-72.9926645547,221.6211977186,1,1
-72.9920132570,221.6078897338,1,1
-72.9895206361,221.6078897338,1,1
-72.9965643003,220.9225285171,1,2
-72.9965039949,220.0308935361,1,2
-72.9965964631,221.2286121673,1,2
-72.9966165649,221.5346958175,1,2
-72.9964999746,219.7181558935,1,2
-72.9964517303,219.2457224335,1,2
-72.9963150382,218.9795627376,1,2
-72.9962105089,219.2856463878,1,2
-72.9960295929,219.8246197719,1,2
-72.9957401272,219.9843155894,1,2
-72.9954788041,219.7447718631,1,2
-72.9953300509,219.3588403042,1,2
-72.9948958524,219.1858365019,1,2
-72.9942365140,219.2723384030,1,2
-72.9938143766,219.6383079848,1,2
-72.9934404835,220.2172053232,1,2
-72.9929861832,220.7628326996,1,2
-72.9927288804,221.1021863118,1,2
-72.9926725954,221.3816539924,1,2
,,1,2
-72.9920011959,221.6012357414,1,2
-72.9919167684,221.0289923954,1,2
-72.9917680153,220.3103612167,1,2
-72.9915629771,219.5251901141,1,2
-72.9913096947,218.9662547529,1,2
-72.9910564122,218.8198669202,1,2
-72.9907267430,218.7466730038,1,2
-72.9905217048,218.4339353612,1,2
-72.9903287277,218.1943916350,1,2
-72.9900312214,218.5537072243,1,2
-72.9899467939,218.9729087452,1,2
-72.9897256743,219.3455323194,1,2
-72.9896975318,219.8645437262,1,2
-72.9896452672,220.5166349810,1,2
-72.9895407379,221.1288022814,1,2
-72.9895005344,221.3883079848,1,2
-72.8931000000,209.5095057034,2,1
-72.8822175573,209.5323193916,2,1
-72.8819152672,209.5247148289,2,1
-72.8767305344,209.5323193916,2,1
-72.8930908397,209.4942965779,2,2
-72.8929351145,208.4676806084,2,2
-72.8924312977,207.1368821293,2,2
-72.8921198473,206.6882129278,2,2
-72.8915977099,206.6501901141,2,2
-72.8918725191,207.4410646388,2,2
-72.8912770992,205.9657794677,2,2
-72.8911213740,205.9049429658,2,2
-72.8908374046,206.3307984791,2,2
-72.8905625954,206.7794676806,2,2
-72.8904435115,207.2129277567,2,2
-72.8903519084,207.7072243346,2,2
-72.8901687023,207.4258555133,2,2
-72.8900221374,207.0456273764,2,2
-72.8898938931,206.6882129278,2,2
-72.8897106870,206.5209125475,2,2
-72.8892709924,206.6501901141,2,2
-72.8891702290,206.8783269962,2,2
-72.8890328244,206.6425855513,2,2
-72.8887030534,206.3612167300,2,2
-72.8885473282,206.5817490494,2,2
-72.8882083969,207.2357414449,2,2
-72.8878419847,207.2129277567,2,2
-72.8873564885,207.1749049430,2,2
-72.8872557252,206.8250950570,2,2
-72.8868160305,206.6653992395,2,2
-72.8865687023,206.9239543726,2,2
-72.8865320611,207.1520912548,2,2
-72.8863580153,207.0988593156,2,2
-72.8856068702,206.5741444867,2,2
-72.8852129771,206.6501901141,2,2
-72.8851305344,207.6768060837,2,2
-72.8850206107,208.2699619772,2,2
-72.8848648855,208.9847908745,2,2
-72.8847183206,208.9923954373,2,2
-72.8844618321,208.5285171103,2,2
-72.8841778626,207.4030418251,2,2
-72.8838938931,207.3574144487,2,2
-72.8836923664,206.8250950570,2,2
-72.8829045802,207.2357414449,2,2
-72.8829045802,207.5247148289,2,2
-72.8826664122,207.6159695817,2,2
-72.8825931298,208.0798479087,2,2
-72.8823274809,209.0684410646,2,2
-72.8822267176,209.4182509506,2,2
,,2,2
-72.8819061069,209.5855513308,2,2
-72.8817503817,208.9543726236,2,2
-72.8815946565,208.2167300380,2,2
-72.8815580153,207.7908745247,2,2
-72.8813198473,207.3117870722,2,2
-72.8807061069,207.2737642586,2,2
-72.8805961832,206.9543726236,2,2
-72.8803763359,206.5361216730,2,2
-72.8801381679,206.2015209125,2,2
-72.8798633588,206.0722433460,2,2
-72.8798083969,206.5209125475,2,2
-72.8794877863,207.1368821293,2,2
-72.8792587786,206.7186311787,2,2
-72.8791305344,206.3764258555,2,2
-72.8789106870,206.7186311787,2,2
-72.8787916031,207.3117870722,2,2
-72.8787641221,207.6692015209,2,2
-72.8785717557,208.3307984791,2,2
-72.8782694656,207.7072243346,2,2
-72.8781503817,206.9847908745,2,2
-72.8775732824,206.9163498099,2,2
-72.8772801527,207.2737642586,2,2
-72.8770145038,208.3307984791,2,2
-72.8767763359,209.1444866920,2,2
-72.8767396947,209.4182509506,2,2
-71.8761489059,94.9757604563,3,1
-71.8734956743,94.9757604563,3,1
-71.8692465140,94.9843155894,3,1
-71.8672166921,95.0014258555,3,1
-71.8761489059,94.9672053232,3,2
-71.8760641221,94.1202471483,3,2
-71.8758945547,93.4615019011,3,2
-71.8755953181,92.8455323194,3,2
-71.8753958270,92.1269011407,3,2
-71.8751863613,91.4424904943,3,2
-71.8749120611,91.0575095057,3,2
-71.8746377608,90.5698669202,3,2
-71.8744482443,90.2704372624,3,2
-71.8741689567,90.2789923954,3,2
-71.8739794402,90.7238593156,3,2
-71.8736502799,92.1012357414,3,2
-71.8736403053,93.5898288973,3,2
-71.8734657506,94.2400190114,3,2
-71.8734707379,94.9500950570,3,2
,,3,2
-71.8692265649,94.9672053232,3,2
-71.8692016285,93.6326045627,3,2
-71.8691766921,92.4776615970,3,2
-71.8690520102,92.2124524715,3,2
-71.8687876845,92.9653041825,3,2
-71.8687029008,93.6753802281,3,2
-71.8684136387,93.6753802281,3,2
-71.8682839695,93.0337452471,3,2
-71.8681193893,92.5632129278,3,2
-71.8678201527,92.4605513308,3,2
-71.8675209160,92.9653041825,3,2
-71.8674461069,93.7267110266,3,2
-71.8673513486,94.3854562738,3,2
-71.8672117048,95.0099809886,3,2
-71.6471141221,84.5380228137,4,1
-71.6387782443,84.5494296578,4,1
-71.6471194656,84.4809885932,4,2
-71.6468041985,83.4771863118,4,2
-71.6464408397,82.1425855513,4,2
-71.6461202290,81.1501901141,4,2
-71.6458744275,80.5000000000,4,2
-71.6456286260,79.8954372624,4,2
-71.6454202290,79.3821292776,4,2
-71.6453400763,78.5722433460,4,2
-71.6451477099,78.1501901141,4,2
-71.6449125954,79.0171102662,4,2
-71.6447309160,79.0057034221,4,2
-71.6444851145,78.6634980989,4,2
-71.6442500000,78.0475285171,4,2
-71.6436835878,78.0133079848,4,2
-71.6433202290,77.8307984791,4,2
-71.6425774809,78.0589353612,4,2
-71.6422622137,79.0057034221,4,2
-71.6415034351,79.4049429658,4,2
-71.6412095420,79.6901140684,4,2
-71.6408461832,80.7623574144,4,2
-71.6407179389,81.9144486692,4,2
-71.6404774809,82.7243346008,4,2
-71.6401408397,83.0323193916,4,2
-71.6397614504,83.0437262357,4,2
-71.6392965649,83.1920152091,4,2
-71.6389812977,83.6711026616,4,2
-71.6387461832,84.4467680608,4,2
