lat,h,pondid,typeid
-72.9965619848,221.5417007359,1,1
-72.9926686156,221.5760425184,1,1
-72.9919748880,221.5760425184,1,1
-72.9895539203,221.5760425184,1,1
-72.9965549059,221.5302534751,1,2
-72.9965478271,220.9693376942,1,2
-72.9965478271,220.4771054783,1,2
-72.9965336694,219.8818479150,1,2
-72.9964841174,219.4582992641,1,2
-72.9964274866,219.1492232216,1,2
-72.9963071461,218.9775143091,1,2
-72.9962646729,219.0919869174,1,2
-72.9961868056,219.3438266558,1,2
-72.9961443324,219.6643499591,1,2
-72.9960169131,219.9734260016,1,2
-72.9958540995,220.1794766966,1,2
-72.9956488127,220.1794766966,1,2
-72.9955355511,219.9734260016,1,2
-72.9953939740,219.7101390025,1,2
-72.9952594758,219.4125102208,1,2
-72.9950258737,219.2293540474,1,2
-72.9947214830,219.3323793949,1,2
-72.9944595654,219.3667211774,1,2
-72.9940419131,219.5956663941,1,2
-72.9937658378,219.8818479150,1,2
-72.9934968414,220.2252657400,1,2
-72.9933481855,220.7060506950,1,2
-72.9931428987,220.9693376942,1,2
-72.9928455869,221.0838103025,1,2
-72.9926403002,221.2898609975,1,2
-72.9926544579,221.5760425184,1,2
,,1,2
-72.9919607303,221.5760425184,1,2
-72.9919536514,221.1524938675,1,2
-72.9919394937,220.7174979558,1,2
-72.9918333109,220.3740801308,1,2
-72.9916917339,219.9390842191,1,2
-72.9915997088,219.5727718724,1,2
-72.9914510529,219.2636958299,1,2
-72.9912245296,219.0919869174,1,2
-72.9909696909,219.1721177433,1,2
-72.9907927195,219.1606704824,1,2
-72.9907077733,218.9775143091,1,2
-72.9906157482,218.6226492232,1,2
-72.9904741711,218.3708094849,1,2
-72.9903325941,218.3364677024,1,2
-72.9902264113,218.4280457890,1,2
-72.9901131496,218.6569910057,1,2
-72.9900069668,218.9660670482,1,2
-72.9898724686,219.3438266558,1,2
-72.9897167339,219.7444807850,1,2
-72.9896459453,220.2023712183,1,2
-72.9895751568,220.7518397383,1,2
-72.9895468414,221.2211774325,1,2
-72.9895326837,221.5645952576,1,2
-72.8931233871,209.5044971382,2,1
-72.8822846774,209.5175797220,2,1
-72.8818330645,209.5437448896,2,1
-72.8806717742,209.5437448896,2,1
-72.8767846774,209.5568274734,2,1
-72.8931395161,209.4783319706,2,2
-72.8930427419,208.9681112020,2,2
-72.8929298387,208.3401471791,2,2
-72.8926879032,207.7514309076,2,2
-72.8925266129,207.3851185609,2,2
-72.8922524194,207.2150449714,2,2
-72.8920750000,207.2935404742,2,2
-72.8918330645,207.4374488962,2,2
-72.8916395161,207.2019623876,2,2
-72.8915104839,206.8225674571,2,2
-72.8913814516,206.4170073590,2,2
-72.8912685484,205.9983646770,2,2
