lat,h,pondid,typeid
-72.99655610945726,221.80034965034966,1,1
-72.99609173669741,221.80034965034966,1,1
-72.99601245354329,221.71643356643358,1,1
-72.99572929942143,221.78636363636363,1,1
-72.99538951447519,221.80034965034966,1,1
-72.99529890515619,221.7583916083916,1,1
-72.99497044637482,221.78636363636363,1,1
-72.99487983705583,221.73041958041958,1,1
-72.99480055390171,221.80034965034966,1,1
-72.99460800909884,221.77237762237763,1,1
-72.99435883347161,221.77237762237763,1,1
-72.99406435318487,221.80034965034966,1,1
-72.99384915605225,221.7583916083916,1,1
-72.99371324207375,221.81433566433566,1,1
-72.99352069727088,221.77237762237763,1,1
-72.9933847832924,221.77237762237763,1,1
-72.99314693383003,221.77237762237763,1,1
-72.99295438902716,221.78636363636363,1,1
-72.99270521339992,221.80034965034966,1,1
,,1,1
-72.99199166501282,221.77237762237763,1,1
-72.99177646788021,221.7444055944056,1,1
-72.99160657540709,221.80034965034966,1,1
-72.99153861841785,221.73041958041958,1,1
-72.9913800521096,221.81433566433566,1,1
-72.99125546429597,221.71643356643358,1,1
-72.99089302702,221.81433566433566,1,1
-72.99082507003075,221.7444055944056,1,1
-72.99060987289813,221.7583916083916,1,1
-72.99039467576551,221.73041958041958,1,1
-72.99022478329239,221.80034965034966,1,1
-72.99003223848953,221.7444055944056,1,1
-72.98988499834616,221.77237762237763,1,1
-72.98972643203791,221.7444055944056,1,1
-72.98959051805942,221.80034965034966,1,1
-72.996578761787,221.2409090909091,1,2
-72.99652213096265,220.6255244755245,1,2
-72.99646550013827,219.84230769230768,1,2
-72.9963635646544,219.18496503496505,1,2
-72.9962276506759,219.67447552447553,1,2
-72.9961823460164,220.08006993006993,1,2
-72.99575195175117,220.58356643356643,1,2
-72.99497044637482,219.56258741258742,1,2
-72.99487983705583,219.70244755244755,1,2
-72.99456270443935,219.6465034965035,1,2
-72.99442679046085,219.5346153846154,1,2
-72.99430220264723,219.6465034965035,1,2
-72.993962417701,219.77237762237763,1,2
-72.99378119906301,220.35979020979022,1,2
-72.99365661124938,220.63951048951049,1,2
-72.99341876178701,220.79335664335665,1,2
-72.9932488693139,221.0730769230769,1,2
-72.9932035646544,221.21293706293707,1,2
-72.9930223460164,221.08706293706294,1,2
-72.99290908436767,221.18496503496505,1,2
-72.99281847504867,221.129020979021,1,2
-72.99269388723505,221.40874125874126,1,2
,,1,2
-72.99193503418844,221.4506993006993,1,2
-72.99188972952895,221.10104895104894,1,2
-72.99160657540709,220.15,1,2
-72.9913347474501,219.33881118881118,1,2
-72.99111955031748,218.8353146853147,1,2
-72.99089302702,219.39475524475523,1,2
-72.99049661124938,218.4437062937063,1,2
-72.99041732809526,218.5555944055944,1,2
-72.99028141411677,218.38776223776225,1,2
-72.9901794786329,218.8493006993007,1,2
-72.99019080479778,219.2409090909091,1,2
-72.98991897684078,219.32482517482518,1,2
-72.98981704135691,219.70244755244755,1,2
-72.98970377970817,220.10804195804195,1,2
-72.98965847504867,220.56958041958043,1,2
-72.98966980121354,220.89125874125875,1,2
-72.98963582271892,221.129020979021,1,2
-72.98957919189455,221.4506993006993,1,2
-72.89304548418598,209.82477522477524,2,1
-72.89240032289565,209.76083916083917,2,1
-72.8916777422505,209.74485514485514,2,1
-72.89061967773436,209.77682317682317,2,1
-72.88961322612147,209.76083916083917,2,1
-72.88901967773437,209.76083916083917,2,1
-72.88816806483115,209.76083916083917,2,1
-72.88682612934727,209.74485514485514,2,1
-72.88602612934727,209.77682317682317,2,1
-72.8854841938634,209.8087912087912,2,1
-72.88530354870211,209.74485514485514,2,1
-72.8848906454763,209.77682317682317,2,1
-72.88455516160533,209.76083916083917,2,1
-72.88383258096017,209.72887112887113,2,1
-72.88313580676663,209.77682317682317,2,1
-72.88238741966985,209.7928071928072,2,1
,,2,1
-72.88176806483114,209.7928071928072,2,1
-72.88158741966986,209.72887112887113,2,1
-72.88125193579889,209.8087912087912,2,1
-72.88065838741178,209.72887112887113,2,1
-72.8802712906376,209.74485514485514,2,1
-72.87941967773436,209.71288711288713,2,1
-72.87890354870211,209.71288711288713,2,1
-72.87838741966985,209.74485514485514,2,1
-72.87802612934728,209.84075924075924,2,1
-72.87771645192791,209.74485514485514,2,1
-72.8774841938634,209.77682317682317,2,1
-72.87730354870212,209.6969030969031,2,1
-72.87714870999243,209.74485514485514,2,1
-72.87691645192791,209.8087912087912,2,1
-72.89294225837953,209.2973026973027,2,2
-72.89276161321824,208.1944055944056,2,2
-72.89263258096017,208.24235764235766,2,2
-72.89240032289565,207.3792207792208,2,2
-72.89219387128276,207.3952047952048,2,2
-72.89191000031501,207.76283716283717,2,2
-72.89141967773436,206.97962037962037,2,2
-72.89131645192792,206.45214785214785,2,2
-72.89118741966985,206.06853146853146,2,2
-72.89111000031501,206.6759240759241,2,2
-72.89072290354082,206.97962037962037,2,2
-72.89036161321823,208.0825174825175,2,2
-72.89012935515372,207.18741258741258,2,2
-72.88979387128275,207.02757242757244,2,2
-72.88961322612147,206.7878121878122,2,2
-72.8894841938634,207.0115884115884,2,2
-72.88914870999243,207.31528471528472,2,2
-72.88891645192791,207.3792207792208,2,2
-72.88865838741178,207.0115884115884,2,2
-72.88829709708921,207.4911088911089,2,2
-72.8880648390247,207.5070929070929,2,2
-72.88798741966986,207.44315684315686,2,2
-72.88775516160534,207.45914085914086,2,2
-72.88749709708921,207.55504495504496,2,2
-72.88723903257308,207.44315684315686,2,2
-72.88711000031502,207.12347652347654,2,2
-72.88692935515373,206.83576423576423,2,2
-72.88685193579889,207.33126873126872,2,2
-72.88636161321824,207.52307692307693,2,2
-72.88610354870211,207.4911088911089,2,2
-72.88610354870211,207.1074925074925,2,2
-72.88589709708921,206.94765234765237,2,2
-72.88563903257308,206.86773226773226,2,2
-72.88538096805695,207.02757242757244,2,2
-72.88538096805695,207.57102897102897,2,2
-72.8852777422505,207.95464535464535,2,2
-72.8852777422505,208.25834165834166,2,2
-72.88517451644404,208.53006993006994,2,2
-72.88496806483114,208.97762237762237,2,2
-72.88486483902469,209.24935064935065,2,2
-72.88471000031501,209.1054945054945,2,2
-72.88458096805695,208.75384615384615,2,2
-72.88440032289566,208.594005994006,2,2
-72.88434870999244,208.4021978021978,2,2
-72.88424548418598,207.95464535464535,2,2
-72.88432290354082,207.6989010989011,2,2
-72.88393580676663,207.4911088911089,2,2
-72.88352290354082,207.5070929070929,2,2
-72.88321322612147,207.587012987013,2,2
-72.88300677450856,207.7148851148851,2,2
-72.88264548418599,208.03456543456545,2,2
-72.88264548418599,208.25834165834166,2,2
-72.88259387128275,208.57802197802198,2,2
-72.88251645192791,208.8017982017982,2,2
-72.88246483902469,209.05754245754247,2,2
-72.8822841938634,209.23336663336664,2,2
,,2,2
-72.88156161321824,209.23336663336664,2,2
-72.88156161321824,208.73786213786215,2,2
-72.88143258096018,207.89070929070928,2,2
-72.88114870999243,207.41118881118882,2,2
-72.88076161321824,207.3792207792208,2,2
-72.88052935515373,207.28331668331668,2,2
-72.88032290354082,206.83576423576423,2,2
-72.88011645192792,206.8037962037962,2,2
-72.87991000031501,206.86773226773226,2,2
-72.87960032289566,207.36323676323676,2,2
-72.87941967773436,207.25134865134865,2,2
-72.87931645192792,206.93166833166833,2,2
-72.87913580676663,206.8037962037962,2,2
-72.87900677450855,207.25134865134865,2,2
-72.87877451644404,207.87472527472528,2,2
-72.87861967773436,208.46613386613387,2,2
-72.87846483902469,208.1944055944056,2,2
-72.87825838741179,208.05054945054945,2,2
-72.87823258096017,207.7948051948052,2,2
-72.87820677450856,207.18741258741258,2,2
-72.87815516160533,207.04355644355644,2,2
-72.87794870999244,207.18741258741258,2,2
-72.87776806483114,207.602997002997,2,2
-72.87753580676663,207.45914085914086,2,2
-72.87732935515372,207.63496503496503,2,2
-72.87717451644404,208.16243756243756,2,2
-72.87704548418598,208.7858141858142,2,2
-72.87694225837953,209.26533466533468,2,2
,,2,2
-71.87611884963387,95.29010983523311,3,1
-71.87582379587043,95.21818176330504,3,1
-71.87547254139014,95.20019974532302,3,1
-71.87499483529695,95.21818176330504,3,1
-71.8748121829672,95.12827167339495,3,1
-71.87439067759085,95.27212781725109,3,1
-71.87391297149767,95.32607387119714,3,1
-71.87373031916792,95.30809185321512,3,1
-71.8735898173758,95.27212781725109,3,1
,,3,1
-71.86920616146183,95.32607387119714,3,1
-71.86874250554784,95.23616378128705,3,1
-71.8685598532181,95.27212781725109,3,1
-71.86840530124677,95.30809185321512,3,1
-71.86812429766255,95.25414579926907,3,1
-71.86782924389911,95.27212781725109,3,1
-71.8675763406733,95.25414579926907,3,1
-71.86737963816434,95.36203790716118,3,1
-71.86728128690986,95.30809185321512,3,1
-71.87611884963387,94.84055938568265,3,2
-71.87587999658727,93.72567427079754,3,2
-71.87580974569121,93.67172821685149,3,2
-71.87571139443673,93.22217776730103,3,2
-71.87557089264462,93.13226767739094,3,2
-71.87538824031488,92.2871128322361,3,2
