lat,h,pondid,typeid
-72.9965361578,221.5613117871,1,1
-72.9926766158,221.6012357414,1,1
-72.9919851145,221.6012357414,1,1
-72.9895326972,221.5945817490,1,1
-72.9965522392,221.5413498099,1,2
-72.9965482188,220.8493346008,1,2
-72.9964919338,220.1839353612,1,2
-72.9964356489,219.9776615970,1,2
-72.9964316285,219.5118821293,1,2
-72.9963431807,219.2390684411,1,2
-72.9962748346,219.1392585551,1,2
-72.9962346310,219.2856463878,1,2
-72.9962346310,219.5850760456,1,2
-72.9961944275,219.8379277567,1,2
-72.9961180407,220.0708174905,1,2
-72.9959130025,220.2637832700,1,2
-72.9957682697,220.6230988593,1,2
-72.9956637405,220.5898288973,1,2
-72.9954587023,220.3103612167,1,2
-72.9953421120,220.0175855513,1,2
-72.9951933588,219.8512357414,1,2
-72.9950968702,219.8445817490,1,2
-72.9949883206,219.5651140684,1,2
-72.9948516285,219.7048479087,1,2
-72.9947913232,219.8046577947,1,2
-72.9947470992,219.7181558935,1,2
-72.9946988550,219.7447718631,1,2
-72.9944817557,219.7115019011,1,2
-72.9943852672,219.5118821293,1,2
-72.9942847583,219.6183460076,1,2
-72.9940073537,219.7181558935,1,2
-72.9939309669,219.8645437262,1,2
-72.9939349873,220.0175855513,1,2
-72.9938545802,219.8312737643,1,2
-72.9938264377,220.0907794677,1,2
-72.9937661323,220.2903992395,1,2
-72.9937460305,220.3502851711,1,2
-72.9936575827,220.3835551331,1,2
-72.9936616031,220.5765209125,1,2
-72.9935932570,220.6630228137,1,2
-72.9934806870,220.6563688213,1,2
-72.9934404835,220.9225285171,1,2
-72.9933922392,220.8826045627,1,2
-72.9933761578,220.7894486692,1,2
-72.9932957506,220.8426806084,1,2
-72.9932314249,220.9691064639,1,2
-72.9932153435,221.1088403042,1,2
-72.9931510178,221.0356463878,1,2
-72.9930344275,221.0356463878,1,2
-72.9929339186,221.1221482890,1,2
-72.9928695929,221.0689163498,1,2
-72.9927690840,221.1288022814,1,2
-72.9926766158,221.2818441065,1,2
-72.9926082697,221.3949619772,1,2
-72.9925560051,221.6145437262,1,2
,,1,2
-72.9919851145,221.5879277567,1,2
-72.9919328499,221.1487642586,1,2
-72.9917840967,221.1953422053,1,2
-72.9917921374,220.8892585551,1,2
-72.9918001781,220.5299429658,1,2
-72.9917197710,220.3436311787,1,2
-72.9916192621,220.1905893536,1,2
-72.9915509160,219.9909695817,1,2
-72.9915589567,219.5118821293,1,2
-72.9914102036,219.4985741445,1,2
-72.9913579389,219.3189163498,1,2
-72.9913177354,219.1791825095,1,2
-72.9911689822,219.0793726236,1,2
-72.9909800254,219.2124524715,1,2
-72.9908192112,219.2989543726,1,2
-72.9907347837,219.2523764259,1,2
-72.9906825191,218.8531368821,1,2
-72.9904815013,218.4605513308,1,2
-72.9903769720,218.4938212928,1,2
-72.9902563613,218.3274714829,1,2
-72.9901558524,218.7267110266,1,2
-72.9900875064,219.1991444867,1,2
-72.9899829771,219.2257604563,1,2
-72.9898784478,219.2856463878,1,2
-72.9897859796,219.4985741445,1,2
-72.9897216539,220.0774714829,1,2
-72.9896492875,220.6563688213,1,2
-72.9896090840,221.0356463878,1,2
-72.9895085751,221.3683460076,1,2
-72.9895045547,221.6078897338,1,2
-72.8929992366,209.5247148289,2,1
-72.8822725191,209.5171102662,2,1
-72.8818511450,209.5019011407,2,1
-72.8768129771,209.5095057034,2,1
-72.8929900763,209.5475285171,2,2
-72.8929717557,209.0760456274,2,2
-72.8928068702,208.1863117871,2,2
-72.8925320611,207.9277566540,2,2
-72.8924587786,207.4334600760,2,2
-72.8922480916,207.2433460076,2,2
-72.8919824427,207.4410646388,2,2
-72.8919458015,207.6692015209,2,2
-72.8917534351,207.6235741445,2,2
-72.8915702290,207.3422053232,2,2
-72.8914786260,207.0076045627,2,2
-72.8913503817,206.6121673004,2,2
-72.8911671756,206.0190114068,2,2
-72.8911030534,206.6273764259,2,2
-72.8909290076,206.6197718631,2,2
-72.8908465649,206.7338403042,2,2
-72.8906725191,206.8326996198,2,2
-72.8904435115,207.5627376426,2,2
-72.8902969466,207.9505703422,2,2
-72.8900587786,207.1520912548,2,2
-72.8899854962,206.9923954373,2,2
-72.8897839695,207.0304182510,2,2
-72.8895916031,206.6653992395,2,2
-72.8894083969,207.0608365019,2,2
-72.8891885496,207.2205323194,2,2
-72.8888770992,207.0532319392,2,2
-72.8884465649,207.2281368821,2,2
-72.8881534351,207.5247148289,2,2
-72.8879244275,207.3650190114,2,2
-72.8874755725,207.4486692015,2,2
-72.8872282443,207.4030418251,2,2
-72.8871000000,207.2357414449,2,2
-72.8868068702,206.7338403042,2,2
-72.8866969466,207.2433460076,2,2
-72.8866328244,207.4410646388,2,2
-72.8862297710,207.4334600760,2,2
-72.8860190840,206.9619771863,2,2
-72.8857717557,206.8859315589,2,2
-72.8855244275,206.8098859316,2,2
-72.8852770992,207.0380228137,2,2
-72.8852679389,207.5095057034,2,2
-72.8851671756,208.2623574144,2,2
-72.8849381679,209.0684410646,2,2
-72.8847000000,209.0760456274,2,2
-72.8844435115,208.5817490494,2,2
-72.8842877863,208.1330798479,2,2
-72.8842603053,207.5855513308,2,2
-72.8839671756,207.5171102662,2,2
-72.8837015267,207.1368821293,2,2
-72.8834267176,207.2585551331,2,2
-72.8830328244,207.8365019011,2,2
-72.8827213740,207.9049429658,2,2
-72.8824465649,208.4600760456,2,2
-72.8823824427,209.0988593156,2,2
-72.8822633588,209.5475285171,2,2
,,2,2
-72.8818236641,209.5019011407,2,2
-72.8815854962,208.6501901141,2,2
-72.8814755725,208.4448669202,2,2
-72.8814022901,207.6311787072,2,2
-72.8812007634,207.4486692015,2,2
-72.8808984733,207.4638783270,2,2
-72.8807244275,207.3193916350,2,2
-72.8805229008,207.2737642586,2,2
-72.8803763359,206.8555133080,2,2
-72.8801106870,206.7642585551,2,2
-72.8798541985,206.8326996198,2,2
-72.8797534351,207.0684410646,2,2
-72.8794694656,207.4030418251,2,2
-72.8793229008,206.9239543726,2,2
-72.8790847328,206.7490494297,2,2
-72.8789198473,207.1901140684,2,2
-72.8786450382,207.8897338403,2,2
-72.8785809160,208.3840304183,2,2
-72.8783335878,208.0722433460,2,2
-72.8781412214,207.4638783270,2,2
-72.8781595420,207.0228136882,2,2
-72.8779396947,207.1520912548,2,2
-72.8776465649,207.4866920152,2,2
-72.8774083969,207.4258555133,2,2
-72.8771519084,207.7072243346,2,2
-72.8769778626,208.2091254753,2,2
-72.8769503817,208.9239543726,2,2
-72.8768038168,209.5475285171,2,2
-71.8761688550,95.0356463878,3,1
-71.8734707379,95.0014258555,3,1
-71.8692165903,95.0185361217,3,1
-71.8671967430,95.0099809886,3,1
-71.8761638677,95.0099809886,3,2
-71.8759943003,94.0689163498,3,2
-71.8758297201,93.4786121673,3,2
-71.8755953181,92.9995247148,3,2
-71.8754357252,92.5204372624,3,2
-71.8752811196,91.6991444867,3,2
-71.8750417303,91.4852661597,3,2
-71.8750167939,91.2799429658,3,2
-71.8748970992,91.2542775665,3,2
-71.8747275318,90.9719581749,3,2
-71.8745579644,90.9634030418,3,2
-71.8744532316,90.8521863118,3,2
-71.8743285496,90.9805133080,3,2
-71.8740692112,90.9805133080,3,2
-71.8739195929,91.2970532319,3,2
-71.8736851908,91.5793726236,3,2
-71.8737250891,92.0755703422,3,2
-71.8737600000,92.8540874525,3,2
-71.8737649873,93.2647338403,3,2
-71.8738048855,93.7951520913,3,2
-71.8735954198,94.1801330798,3,2
-71.8735056489,94.5651140684,3,2
-71.8734807125,94.9843155894,3,2
,,3,2
-71.8691916539,95.0185361217,3,2
-71.8691766921,94.8046577947,3,2
-71.8689572519,94.5822243346,3,2
-71.8686480407,94.5137832700,3,2
-71.8684884478,93.9919201521,3,2
-71.8682690076,93.4700570342,3,2
-71.8681692621,93.0508555133,3,2
-71.8680296183,92.7942015209,3,2
-71.8677603053,93.1364068441,3,2
-71.8675059542,93.6582699620,3,2
-71.8674261578,94.0689163498,3,2
-71.8674012214,94.4710076046,3,2
-71.8671767939,95.0099809886,3,2
-71.6470500000,84.5380228137,4,1
-71.6406484733,84.5266159696,4,1
-71.6470339695,84.5836501901,4,2
-71.6469270992,84.2756653992,4,2
-71.6468736641,84.0817490494,4,2
-71.6466919847,83.7281368821,4,2
-71.6464675573,82.8498098859,4,2
-71.6462645038,82.0285171103,4,2
-71.6461148855,81.2642585551,4,2
-71.6459225191,81.1159695817,4,2
-71.6458049618,80.4657794677,4,2
-71.6455324427,80.3288973384,4,2
-71.6453347328,80.1349809886,4,2
-71.6452706107,79.5988593156,4,2
-71.6452545802,79.1083650190,4,2
-71.6452812977,78.6178707224,4,2
-71.6451316794,78.4809885932,4,2
-71.6450194656,79.5760456274,4,2
-71.6449713740,79.7813688213,4,2
-71.6446667939,79.3250950570,4,2
-71.6445492366,79.0627376426,4,2
-71.6442980916,78.7661596958,4,2
-71.6441591603,79.0513307985,4,2
-71.6441805344,78.1159695817,4,2
-71.6440416031,78.0133079848,4,2
-71.6438706107,78.5380228137,4,2
-71.6436354962,78.8003802281,4,2
-71.6435713740,79.0969581749,4,2
-71.6434484733,78.5266159696,4,2
-71.6432561069,78.8802281369,4,2
