lat,h,pondid,typeid
-72.9966085242,221.5480038023,1,1
-72.9927007379,221.5679657795,1,1
-72.9919851145,221.6145437262,1,1
-72.9896412468,221.6078897338,1,1
-72.9965763613,221.3417300380,1,2
-72.9963190585,219.2856463878,1,2
-72.9961703053,220.1040874525,1,2
-72.9957763104,220.6497148289,1,2
-72.9955632316,220.5765209125,1,2
-72.9951772774,219.8778517110,1,2
-72.9942887786,219.7181558935,1,2
-72.9938384987,220.0508555133,1,2
-72.9935691349,221.1154942966,1,2
,,1,2
-72.9918886260,221.2019961977,1,2
-72.9912091858,219.1725285171,1,2
-72.9907991094,219.3987642586,1,2
-72.9906181934,218.7333650190,1,2
-72.9903046056,218.4938212928,1,2
-72.9901638931,218.8597908745,1,2
-72.9901839949,219.2457224335,1,2
-72.9899548346,219.4253802281,1,2
-72.9897337150,220.0508555133,1,2
-72.9896171247,221.5014258555,1,2
-72.8929625954,209.4714828897,2,1
-72.8822175573,209.5019011407,2,1
-72.8818511450,209.4790874525,2,1
-72.8768862595,209.5171102662,2,1
-72.8929625954,209.3802281369,2,2
-72.8927977099,208.2851711027,2,2
-72.8923213740,207.3422053232,2,2
-72.8918633588,207.7072243346,2,2
-72.8914877863,207.2205323194,2,2
-72.8912770992,206.7034220532,2,2
-72.8909656489,206.6577946768,2,2
-72.8906175573,207.1064638783,2,2
-72.8904251908,208.2015209125,2,2
-72.8901229008,207.9429657795,2,2
-72.8899213740,207.2281368821,2,2
-72.8894358779,207.1064638783,2,2
-72.8891519084,207.3269961977,2,2
-72.8886297710,207.2053231939,2,2
-72.8884282443,207.5779467681,2,2
-72.8880435115,207.6007604563,2,2
-72.8878786260,207.4182509506,2,2
-72.8872832061,207.4790874525,2,2
-72.8870358779,207.2357414449,2,2
-72.8861748092,207.5171102662,2,2
-72.8856160305,207.0988593156,2,2
-72.8854053435,207.0760456274,2,2
-72.8853595420,207.6463878327,2,2
-72.8852312977,208.2015209125,2,2
-72.8851213740,208.8783269962,2,2
-72.8848923664,209.1977186312,2,2
-72.8844801527,209.0456273764,2,2
-72.8843885496,208.5589353612,2,2
-72.8842236641,207.9353612167,2,2
-72.8842969466,207.6692015209,2,2
-72.8838480916,207.4410646388,2,2
-72.8836465649,207.1596958175,2,2
-72.8832893130,207.5551330798,2,2
-72.8827305344,207.8973384030,2,2
-72.8825290076,208.5133079848,2,2
-72.8824465649,209.1216730038,2,2
-72.8823183206,209.4182509506,2,2
,,2,2
-72.8816954198,209.4182509506,2,2
-72.8815854962,208.6730038023,2,2
-72.8814297710,207.8593155894,2,2
-72.8810633588,207.4638783270,2,2
-72.8805412214,207.3269961977,2,2
-72.8804129771,206.8707224335,2,2
-72.8801656489,206.6045627376,2,2
-72.8799549618,206.6577946768,2,2
-72.8798175573,207.0532319392,2,2
-72.8794786260,207.4030418251,2,2
-72.8792312977,206.9087452471,2,2
-72.8790755725,206.9087452471,2,2
-72.8788282443,207.3726235741,2,2
-72.8788923664,207.7224334601,2,2
-72.8787183206,207.9429657795,2,2
-72.8786541985,208.4828897338,2,2
-72.8784618321,208.4524714829,2,2
-72.8783885496,208.1482889734,2,2
-72.8782145038,207.8136882129,2,2
-72.8781229008,207.1140684411,2,2
-72.8777381679,207.4334600760,2,2
-72.8773442748,207.4714828897,2,2
-72.8771244275,207.9809885932,2,2
-72.8770603053,208.5741444867,2,2
-72.8769870229,209.0836501901,2,2
-72.8768587786,209.4258555133,2,2
-71.8761439186,95.0613117871,3,1
-71.8673114504,95.0185361217,3,1
-71.8761439186,94.9757604563,3,2
-71.8760092621,94.2400190114,3,2
-71.8758047837,93.6069391635,3,2
-71.8756252417,93.1021863118,3,2
-71.8754207634,92.7257604563,3,2
-71.8753409669,92.1525665399,3,2
-71.8751364885,91.6563688213,3,2
-71.8747973537,91.1858365019,3,2
-71.8745130789,90.9805133080,3,2
-71.8742387786,91.0489543726,3,2
-71.8740093639,91.2371673004,3,2
-71.8737949109,91.6307034221,3,2
-71.8737649873,92.4177756654,3,2
-71.8736951654,93.3160646388,3,2
-71.8736602545,94.2229087452,3,2
-71.8735804580,94.9843155894,3,2
,,3,2
-71.8691467684,94.7618821293,3,2
-71.8685433079,93.9748098859,3,2
-71.8682141476,93.5641634981,3,2
-71.8681243766,93.0166349810,3,2
-71.8679996947,92.8198669202,3,2
-71.8678800000,92.9225285171,3,2
-71.8677902290,93.2732889734,3,2
-71.8675558270,93.4187262357,3,2
-71.8674660560,94.0090304183,3,2
-71.8673363868,94.9244296578,3,2
-71.6471194656,84.5836501901,4,1
-71.6388797710,84.5836501901,4,1
-71.6468522901,84.3326996198,4,2
-71.6465530534,83.3060836502,4,2
-71.6463446565,82.2908745247,4,2
-71.6461790076,81.4809885932,4,2
-71.6458851145,80.7167300380,4,2
-71.6454522901,80.2604562738,4,2
-71.6453080153,80.0665399240,4,2
-71.6452652672,79.5076045627,4,2
-71.6449713740,79.7357414449,4,2
-71.6446721374,79.5646387833,4,2
-71.6444851145,79.1882129278,4,2
-71.6443515267,78.7775665399,4,2
-71.6440362595,79.0627376426,4,2
-71.6438278626,78.6064638783,4,2
-71.6434538168,78.7547528517,4,2
-71.6430316794,78.9828897338,4,2
-71.6428125954,78.8688212928,4,2
-71.6425133588,78.8117870722,4,2
-71.6423103053,79.3479087452,4,2
-71.6420217557,79.7927756654,4,2
-71.6416316794,80.0323193916,4,2
-71.6413217557,80.5912547529,4,2
-71.6409583969,81.0247148289,4,2
-71.6408835878,82.1539923954,4,2
-71.6407286260,82.7699619772,4,2
-71.6406003817,83.3973384030,4,2
-71.6405683206,84.3783269962,4,2
