lat,h,pondid,typeid
-72.99660021057349,221.5561625874126,1,1
-72.99262472670252,221.64007867132867,1,1
,,1,1
-72.99199046146954,221.5701486013986,1,1
-72.98955533602152,221.50021853146853,1,1
-72.99662286290324,221.5561625874126,1,2
-72.99654357974912,219.947770979021,1,2
-72.99629440412187,218.7589597902098,1,2
-72.99572809587815,219.68203671328672,1,2
-72.99525239695342,219.5561625874126,1,2
-72.99493526433693,219.33238636363637,1,2
-72.99472006720431,219.10861013986013,1,2
-72.99434630376345,219.02469405594405,1,2
-72.9938819310036,219.33238636363637,1,2
-72.99355347222223,219.62609265734267,1,2
-72.99347418906811,220.03168706293707,1,2
-72.99336092741936,220.3533653846154,1,2
-72.99315705645162,220.71700174825176,1,2
-72.99291920698926,220.94077797202797,1,2
-72.99268135752689,221.27644230769232,1,2
-72.99264737903226,221.6540646853147,1,2
,,1,2
-72.9919678091398,221.5841346153846,1,2
-72.99182056899643,220.54916958041957,1,2
-72.99156006720432,219.69602272727272,1,2
-72.99140150089607,219.22049825174824,1,2
-72.99116365143371,218.89881993006992,1,2
-72.99072193100359,218.73098776223776,1,2
-72.99061999551972,218.32539335664336,1,2
-72.99004236111112,218.29742132867133,1,2
-72.98994042562725,218.71700174825176,1,2
-72.98978185931901,219.34637237762237,1,2
-72.98960064068102,220.7449737762238,1,2
-72.98954400985664,221.45826048951048,1,2
-72.89358467741934,209.5994005994006,2,1
-72.88243629032257,209.53546453546454,2,1
,,2,1
-72.88179112903225,209.53546453546454,2,1
-72.87688790322579,209.53546453546454,2,1
-72.8936879032258,209.58341658341658,2,2
-72.89283629032258,207.985014985015,2,2
-72.89244919354837,207.5214785214785,2,2
-72.89216532258064,206.96203796203795,2,2
-72.89182983870967,207.5054945054945,2,2
-72.89123629032257,205.93906093906094,2,2
-72.89035887096773,207.6973026973027,2,2
-72.88971370967741,206.43456543456543,2,2
-72.88914596774192,207.23376623376623,2,2
-72.88883629032257,206.53046953046953,2,2
-72.88821693548387,207.2977022977023,2,2
-72.88772661290322,206.54645354645356,2,2
-72.88746854838709,207.2977022977023,2,2
-72.88700403225806,206.8021978021978,2,2
-72.88651370967742,207.1858141858142,2,2
-72.88643629032258,207.5214785214785,2,2
-72.88581693548386,206.8981018981019,2,2
-72.88555887096773,206.88211788211788,2,2
-72.88519758064515,207.16983016983016,2,2
-72.8849137096774,209.15184815184816,2,2
-72.88426854838708,207.96903096903097,2,2
-72.88437177419354,207.58541458541458,2,2
