lat,h,pondid,typeid
-72.99654435849207,221.50209781673405,1,1
-72.99268213626986,221.54405585869208,1,1
,,1,1
-72.99196858788277,221.61398592862216,1,1
-72.98955611476448,221.58601390065013,1,1
,,1,1
-72.99654435849207,221.44615376079,1,2
-72.9965783369867,220.63496494960117,1,2
-72.9965330323272,220.0615383761746,1,2
-72.9964877276677,219.51608383072005,1,2
-72.99634048752434,219.23636355099978,1,2
-72.99610263806197,219.57202788666413,1,2
-72.99592141942398,220.17342648806272,1,2
-72.9957741792806,220.49510480974104,1,2
-72.99557030831286,220.34125865589488,1,2
-72.99538908967487,220.04755236218858,1,2
-72.99500400006914,219.89370620834245,1,2
-72.99466421512291,219.7538460684823,1,2
-72.99422249469279,219.6559439705802,1,2
-72.99393934057093,219.72587404051026,1,2
-72.9935542509652,220.0755243901606,1,2
-72.99333905383259,220.41118872582496,1,2
-72.99295396422684,220.92867124330746,1,2
-72.99265948394012,221.50209781673405,1,2
,,1,2
-72.99195726171789,221.53006984470608,1,2
-72.99192328322326,220.77482508946133,1,2
-72.9917307384204,220.17342648806272,1,2
-72.99156084594728,219.97762229225853,1,2
-72.99153819361753,219.78181809645432,1,2
-72.99142493196878,219.47412578876202,1,2
-72.99135697497954,219.36223767687392,1,2
-72.99125503949567,219.1664334810697,1,2
-72.99110779935229,219.11048942512565,1,2
-72.99077934057094,219.23636355099978,1,2
-72.99063210042756,218.6629369775732,1,2
-72.9903942509652,218.453146767783,1,2
-72.99009977067847,218.41118872582496,1,2
-72.9900431398541,218.6489509635872,1,2
-72.98996385669997,219.12447543911168,1,2
-72.9898619212161,219.29230760694384,1,2
-72.98974865956735,219.68391599855224,1,2
-72.9896807025781,220.29930061393685,1,2
-72.98955611476448,220.9566432712795,1,2
-72.98954478859962,221.51608383072005,1,2
,,1,2
-72.89309612918976,209.52460869208917,2,1
-72.88246387112524,209.50862467610514,2,1
,,2,1
-72.88179290338331,209.4766566441371,2,1
-72.87688967757686,209.49264066012114,2,1
,,2,1
-72.89307032273815,209.44468861216907,2,2
-72.89291548402846,208.6454878129683,2,2
-72.89268322596395,208.14998331746378,2,2
-72.89250258080267,207.7663669338474,2,2
-72.89250258080267,207.43070259818307,2,2
-72.8921929033833,207.28684645432693,2,2
-72.8917800001575,207.60652677400725,2,2
-72.89152193564138,207.23889440637487,2,2
-72.8913929033833,206.87126203874251,2,2
-72.89126387112525,206.359773527254,2,2
-72.89113483886717,206.0560772235577,2,2
-72.89067032273815,206.79134195882244,2,2
-72.89048967757685,207.5585747260552,2,2
-72.89030903241557,207.89423906171953,2,2
-72.89007677435104,207.31881448629497,2,2
-72.88974129048009,207.03110219858266,2,2
-72.88950903241556,206.90323007071055,2,2
-72.88912193564137,207.1429903104708,2,2
-72.88842516144783,207.33479850227897,2,2
-72.88829612918975,207.39873456621504,2,2
-72.88747032273815,207.39873456621504,2,2
-72.88685096789943,206.91921408669455,2,2
-72.88633483886719,207.31881448629497,2,2
-72.88584451628654,206.99913416661465,2,2
-72.88509612918976,207.09503826251873,2,2
-72.88494129048009,207.87825504573553,2,2
-72.88470903241557,208.9651681326486,2,2
-72.8837800001575,207.366766534247,2,2
-72.88300580660912,207.7343989018794,2,2
-72.88241225822202,209.17296034044082,2,2
-72.88241225822202,209.44468861216907,2,2
,,2,2
-72.8817670969317,209.41272058020104,2,2
-72.88168967757686,208.7733599408404,2,2
-72.8813800001575,208.32580749328795,2,2
-72.8813800001575,207.78235094983143,2,2
-72.88107032273815,207.44668661416708,2,2
-72.88034774209298,207.23889440637487,2,2
-72.87990903241557,206.7753579428384,2,2
-72.87952193564138,207.30283047031094,2,2
-72.87918645177041,207.12700629448676,2,2
-72.8785929033833,208.30982347730395,2,2
-72.87820580660912,207.7343989018794,2,2
-72.87812838725428,207.1589743264548,2,2
-72.87774129048009,207.366766534247,2,2
-72.87766387112525,207.67046283794332,2,2
-72.87722516144783,207.59054275802322,2,2
-72.87709612918977,207.99014315762363,2,2
-72.87686387112524,209.44468861216907,2,2
,,2,2
-71.87618857356244,95.04855148513593,3,1
-71.87360334058754,95.04855148513593,3,1
,,3,1
-71.86917753413593,95.06653350311795,3,1
-71.86729481012159,94.99460543118988,3,1
,,3,1
-71.87617452338324,95.0125874491719,3,2
-71.87596377069507,93.91568435226881,3,2
-71.87576706818611,93.4121878487723,3,2
-71.87558441585635,92.92667336325782,3,2
-71.87544391406425,92.44115887774333,3,2
-71.8752612617345,91.81178824837271,3,2
-71.87507860940474,91.56003999662445,3,2
-71.87483975635816,91.23636367294813,3,2
-71.87458685313234,91.03856147514593,3,2
-71.87427774918969,91.0205794571639,3,2
-71.87392649470941,91.23636367294813,3,2
-71.87365954130439,92.0095904461749,3,2
-71.87356119004991,93.2143856509701,3,2
-71.87358929040833,94.68891112549558,3,2
-71.87358929040833,94.99460543118988,3,2
,,3,2
-71.86916348395671,95.0125874491719,3,2
-71.86920563449435,93.96963040621486,3,2
-71.86920563449435,92.89070932729378,3,2
-71.86899488180617,92.56703300361745,3,2
-71.86879817929722,93.07052950711396,3,2
-71.86871387822195,93.87972031630477,3,2
-71.86846097499614,93.73586417244863,3,2
-71.86820807177034,93.2143856509701,3,2
-71.8680394696198,92.78281721940168,3,2
-71.8678006165732,92.72887116545562,3,2
-71.86768821513951,92.96263739922185,3,2
-71.86750556280977,93.5020979386824,3,2
-71.86735101083843,94.34725278383723,3,2
-71.86729481012159,94.92267735926181,3,2
,,3,2
-71.64707032267252,84.51748251748252,4,1
-71.63882086030694,84.54145854145855,4,1
,,4,1
-71.64707032267252,84.37362637362638,4,2
-71.64673913987683,83.34265734265735,4,2
-71.64645311837145,82.67132867132868,4,2
-71.64625741944673,81.47252747252747,4,2
-71.64616709686608,80.84915084915086,4,2
-71.64586602159726,80.92107892107893,4,2
