lat,h,pondid,typeid
-72.99658658378137,221.57692307692307,1,1
-72.9951481608423,221.57692307692307,1,1
-72.99351719310037,221.57692307692307,1,1
-72.9926564045699,221.57692307692307,1,1
,,1,1
-72.99198816084231,221.6048951048951,1,1
-72.99104808915772,221.6048951048951,1,1
-72.99032321460575,221.6048951048951,1,1
-72.98953038306453,221.61888111888112,1,1
,,1,1
-72.99660923611113,221.46503496503496,1,2
-72.9965752576165,220.26223776223776,1,2
-72.99647332213263,219.4090909090909,1,2
-72.9963034296595,219.26923076923077,1,2
-72.9961335371864,219.92657342657344,1,2
-72.99598629704302,220.2762237762238,1,2
-72.99585038306452,220.5979020979021,1,2
-72.99569181675628,220.58391608391608,1,2
-72.99554457661291,220.3181818181818,1,2
-72.9953293794803,220.02447552447552,1,2
-72.99503489919356,219.8146853146853,1,2
-72.99458185259857,219.5909090909091,1,2
-72.99424206765234,219.5909090909091,1,2
-72.99372106406811,219.95454545454547,1,2
-72.99338127912188,220.6818181818182,1,2
-72.99308679883514,221.04545454545453,1,2
-72.99283762320789,221.1013986013986,1,2
-72.99266773073478,221.36713286713288,1,2
,,1,2
-72.99201081317206,221.38111888111888,1,2
-72.99192020385306,220.9055944055944,1,2
-72.99180694220432,220.44405594405595,1,2
-72.9917276590502,220.03846153846155,1,2
-72.99164837589608,219.71678321678323,1,2
-72.99151246191758,219.479020979021,1,2
-72.99138787410395,219.2972027972028,1,2
-72.99128593862008,219.15734265734267,1,2
-72.99115002464158,219.12937062937064,1,2
-72.99093482750898,219.15734265734267,1,2
-72.9908781966846,219.1853146853147,1,2
-72.99073095654123,218.8916083916084,1,2
-72.99058371639786,218.62587412587413,1,2
-72.99049310707886,218.48601398601397,1,2
-72.99035719310038,218.41608391608392,1,2
-72.99014199596776,218.43006993006992,1,2
-72.99008536514339,218.73776223776224,1,2
-72.99002873431901,218.98951048951048,1,2
-72.98999475582438,219.17132867132867,1,2
-72.98989282034051,219.1993006993007,1,2
-72.98974558019715,219.84265734265733,1,2
-72.98962099238352,220.47202797202797,1,2
-72.98953038306453,221.22727272727272,1,2
-72.98950773073479,221.506993006993,1,2
-72.89303749999999,209.55919080919082,2,1
-72.88994072580644,209.5432067932068,2,1
-72.88493427419354,209.5432067932068,2,1
-72.88250846774193,209.5272227772228,2,1
,,2,1
-72.88170846774193,209.51123876123876,2,1
-72.87690846774193,209.5432067932068,2,1
-72.89306330645161,209.2554945054945,2,2
-72.8928568548387,208.68006993006995,2,2
-72.89267620967742,208.0407092907093,2,2
-72.89257298387096,207.41733266733266,2,2
-72.89228911290321,207.19355644355645,2,2
-72.89200524193548,207.25749250749251,2,2
-72.89192782258064,207.51323676323676,2,2
-72.89177298387096,207.62512487512487,2,2
-72.89164395161289,207.1615884115884,2,2
