lat,h,pondid,typeid
-72.99659224686381,221.5561625874126,1,1
-72.99266206765235,221.61210664335664,1,1
,,1,1
-72.99201647625449,221.5841346153846,1,1
-72.98954737231185,221.61210664335664,1,1
-72.99659224686381,221.52819055944056,1,2
-72.99635439740145,218.80091783216784,1,2
-72.99582206765234,220.2834353146853,1,2
-72.99575411066309,220.5771416083916,1,2
-72.99565217517922,220.49322552447552,1,2
-72.99527841173835,219.41630244755245,1,2
-72.99458751568102,219.3743444055944,1,2
-72.9942364045699,219.54217657342656,1,2
-72.9937946841398,219.8638548951049,1,2
-72.99364744399642,220.1575611888112,1,2
-72.99329633288532,220.88483391608392,1,2
-72.99322837589607,221.24847027972027,1,2
-72.99296787410395,221.09462412587413,1,2
-72.99270737231184,221.34637237762237,1,2
-72.99262808915772,221.5841346153846,1,2
,,1,2
-72.99201647625449,221.54217657342656,1,2
-72.99150679883513,219.1505681818182,1,2
-72.99137088485665,219.2624562937063,1,2
-72.99114436155915,219.0666520979021,1,2
-72.99096314292116,219.10861013986013,1,2
-72.99089518593192,219.27644230769232,1,2
-72.99080457661292,219.24847027972027,1,2
-72.99069131496417,218.7729458041958,1,2
-72.99053274865592,218.52119755244755,1,2
-72.99043081317205,218.4652534965035,1,2
-72.99022694220432,218.4652534965035,1,2
-72.99012500672045,219.1785402097902,1,2
-72.9900117450717,219.29042832167832,1,2
-72.98988715725808,219.29042832167832,1,2
-72.98964930779572,220.4512674825175,1,2
-72.98958135080646,221.3603583916084,1,2
-72.98953604614697,221.5701486013986,1,2
-72.8930504032258,209.47152847152847,2,1
-72.88236653225806,209.47152847152847,2,1
,,2,1
-72.88172137096774,209.47152847152847,2,1
-72.8768439516129,209.43956043956044,2,1
-72.8930504032258,209.45554445554447,2,2
-72.89261169354837,207.47352647352648,2,2
-72.89232782258064,207.37762237762237,2,2
-72.89199233870967,207.64935064935065,2,2
-72.89176008064516,207.55344655344655,2,2
-72.89155362903224,206.83416583416584,2,2
-72.89124395161289,206.1148851148851,2,2
-72.8910375,206.62637362637363,2,2
-72.89070201612903,206.83416583416584,2,2
-72.89034072580644,207.95304695304696,2,2
-72.88987620967741,206.91408591408592,2,2
-72.88961814516128,206.93006993006995,2,2
-72.88928266129031,207.2977022977023,2,2
-72.88910201612903,207.26573426573427,2,2
-72.8886633064516,207.32967032967034,2,2
-72.88830201612903,207.5214785214785,2,2
-72.88781169354839,207.4095904095904,2,2
-72.88721814516128,207.5054945054945,2,2
-72.88675362903226,207.47352647352648,2,2
-72.88628911290321,207.61738261738262,2,2
-72.88595362903224,207.26573426573427,2,2
-72.88577298387096,207.00999000999002,2,2
-72.88530846774192,206.96203796203795,2,2
-72.88489556451613,209.11988011988012,2,2
-72.8846633064516,209.0879120879121,2,2
-72.88427620967741,208.16083916083917,2,2
-72.88419879032257,207.71328671328672,2,2
-72.88399233870967,207.55344655344655,2,2
-72.88370846774193,207.45754245754247,2,2
-72.88316653225806,207.61738261738262,2,2
-72.88257298387096,208.24075924075925,2,2
-72.88231491935483,209.45554445554447,2,2
,,2,2
