lat,h,pondid,typeid
-72.99652428987456,221.54414335664336,1,1
-72.99478006048388,221.55812937062936,1,1
-72.99260543682797,221.55812937062936,1,1
,,1,1
-72.99195984543012,221.5861013986014,1,1
-72.98955869847671,221.5861013986014,1,1
-72.99655826836918,221.34833916083917,1,2
-72.9965469422043,220.2854020979021,1,2
-72.99636572356631,219.194493006993,1,2
-72.99627511424733,219.8937937062937,1,2
-72.99604859094983,220.20148601398603,1,2
-72.99584471998209,220.6909965034965,1,2
-72.9955275873656,220.56512237762237,1,2
-72.99533504256273,220.04763986013987,1,2
-72.9949952576165,219.85183566433565,1,2
-72.99446292786739,219.72596153846155,1,2
-72.99391927195342,219.76791958041957,1,2
-72.99368142249105,220.0756118881119,1,2
-72.99335296370968,220.46722027972027,1,2
-72.9931264404122,220.85882867132867,1,2
-72.99295654793907,221.0826048951049,1,2
-72.99270737231184,221.15253496503496,1,2
-72.99260543682797,221.5021853146853,1,2
,,1,2
-72.99198249775986,221.4881993006993,1,2
-72.99189188844088,221.01267482517483,1,2
-72.99182393145162,220.5930944055944,1,2
-72.99171066980288,220.11756993006992,1,2
-72.99157475582439,219.73994755244755,1,2
-72.99142751568101,219.32036713286712,1,2
-72.9912123185484,219.02666083916083,1,2
-72.99082722894266,219.23645104895104,1,2
-72.99069131496417,218.85882867132867,1,2
-72.99051009632618,218.46722027972027,1,2
-72.99030622535844,218.4112762237762,1,2
-72.99013633288531,218.81687062937064,1,2
-72.99012500672045,219.194493006993,1,2
-72.98989848342295,219.25043706293707,1,2
-72.98975124327958,219.6840034965035,1,2
-72.98966063396058,220.32736013986013,1,2
-72.98960400313622,220.94274475524475,1,2
-72.98955869847671,221.54414335664336,1,2
-72.89299879032258,209.48976023976024,2,1
-72.88241814516128,209.52172827172828,2,1
,,2,1
-72.88182459677418,209.50574425574425,2,1
-72.87686975806452,209.5536963036963,2,1
-72.89302459677418,209.1540959040959,2,2
-72.89279233870967,208.08316683316684,2,2
-72.89253427419354,208.0671828171828,2,2
-72.89237943548386,207.42782217782218,2,2
