lat,h,pondid,typeid
-72.99663188844087,221.54698426573427,1,1
-72.99256579525091,221.58894230769232,1,1
-72.99204479166669,221.60292832167832,1,1
-72.9894964045699,221.60292832167832,1,1
-72.99660923611113,221.4770541958042,1,2
-72.99654127912187,220.95957167832168,1,2
-72.99647332213263,220.13439685314685,1,2
-72.99645066980288,219.60292832167832,1,2
-72.99632608198925,219.35118006993008,1,2
-72.99624679883513,219.60292832167832,1,2
-72.99619016801076,219.95257867132867,1,2
-72.99614486335126,220.13439685314685,1,2
-72.99592966621864,220.33020104895104,1,2
-72.99587303539427,220.52600524475525,1,2
-72.99575977374553,220.6798513986014,1,2
-72.99564651209678,220.65187937062936,1,2
-72.99556722894266,220.52600524475525,1,2
-72.99544264112905,220.302229020979,1,2
-72.9953293794803,220.02250874125875,1,2
-72.9951934655018,219.8966346153846,1,2
-72.99496694220431,219.81271853146853,1,2
-72.99476307123656,219.71481643356643,1,2
-72.99452522177421,219.71481643356643,1,2
-72.99438930779571,219.60292832167832,1,2
-72.99411747983872,219.64488636363637,1,2
-72.99392493503585,219.72880244755245,1,2
-72.99370973790323,219.95257867132867,1,2
-72.99358515008961,220.24628496503496,1,2
-72.99348321460575,220.6798513986014,1,2
-72.99335862679213,220.79173951048952,1,2
-72.99324536514338,221.02950174825176,1,2
-72.99307547267026,221.04348776223776,1,2
-72.9928829278674,221.0714597902098,1,2
-72.99271303539427,221.15537587412587,1,2
-72.99262242607529,221.35118006993008,1,2
-72.99256579525091,221.5749562937063,1,2
,,1,2
-72.99204479166669,221.58894230769232,1,2
-72.99196550851256,221.36516608391608,1,2
-72.99185224686381,221.0574737762238,1,2
-72.99180694220432,220.70782342657344,1,2
-72.99169368055557,220.34418706293707,1,2
-72.99160307123657,220.00852272727272,1,2
-72.9915011357527,219.6868444055944,1,2
-72.99137654793908,219.43509615384616,1,2
-72.99126328629033,219.19733391608392,1,2
-72.99115002464158,219.14138986013987,1,2
-72.9910141106631,219.28125,1,2
-72.99085554435486,219.3931381118881,1,2
-72.99073095654123,219.26726398601397,1,2
-72.99067432571687,219.0574737762238,1,2
-72.99064034722224,218.83369755244755,1,2
-72.99053841173837,218.65187937062936,1,2
-72.990391171595,218.51201923076923,1,2
-72.99026658378138,218.4840472027972,1,2
-72.99010801747313,218.8896416083916,1,2
-72.99006271281364,219.25327797202797,1,2
-72.98997210349464,219.33719405594405,1,2
-72.98984751568102,219.36516608391608,1,2
-72.98977955869177,219.4770541958042,1,2
-72.98973425403227,219.81271853146853,1,2
-72.9897229278674,220.05048076923077,1,2
-72.98966629704303,220.52600524475525,1,2
-72.98962099238352,220.73579545454547,1,2
-72.98956436155916,221.01551573426573,1,2
-72.98950773073479,221.33719405594405,1,2
-72.98948507840504,221.60292832167832,1,2
-72.89314072580645,209.5729270729271,2,1
-72.88227620967741,209.55694305694306,2,1
,,2,1
-72.88183749999999,209.55694305694306,2,1
-72.87680524193547,209.55694305694306,2,1
-72.89314072580645,209.55694305694306,2,2
