lat,h,pondid,typeid
-72.99655851619816,221.57832176368552,1,1
-72.99540324738096,221.56433574969952,1,1
-72.99270762014082,221.56433574969952,1,1
,,1,1
-72.9920053979186,221.59230777767155,1,1
-72.9895589463057,221.60629379165755,1,1
,,1,1
-72.99658116852792,221.57832176368552,1,2
-72.99651321153867,219.71818190354568,1,2
-72.9963206667358,218.82307700844078,1,2
-72.99617342659243,219.60629379165755,1,2
-72.99575435849208,220.30559449095827,1,2
-72.99544855204047,219.99790218326595,1,2
-72.99527865956735,219.27062945599323,1,2
-72.99458776351,219.11678330214707,1,2
-72.99442919720175,219.45244763781142,1,2
-72.99386288895803,219.7461539315177,1,2
-72.99354575634155,220.24965043501422,1,2
-72.99295679576807,220.9629371483009,1,2
-72.99273027247058,221.032867218231,1,2
-72.99266231548133,221.50839169375547,1,2
,,1,2
-72.9920507025781,221.57832176368552,1,2
-72.99180152695087,220.31958050494427,1,2
-72.991337154191,218.68321686858064,1,2
-72.99105400006914,218.68321686858064,1,2
-72.9908954337609,219.1307693161331,1,2
-72.9906236058039,218.43146861683238,1,2
-72.99014790687917,218.37552456088832,1,2
-72.98996668824118,219.15874134410512,1,2
-72.98980812193294,219.2426574280212,1,2
-72.98951364164621,221.6482518336156,1,2
-72.89305096789944,209.53180145050263,2,1
-72.88234129048008,209.53180145050263,2,1
,,2,1
-72.8817735485446,209.53180145050263,2,1
-72.87681870983492,209.56376948247066,2,1
-72.89307677435104,209.53180145050263,2,2
-72.89235419370588,206.83050274920393,2,2
-72.89188967757686,207.5018314205326,2,2
-72.89111548402848,205.82350974221092,2,2
-72.89093483886718,206.62271054141172,2,2
-72.89067677435105,206.6866466053478,2,2
-72.8903670969317,207.69363961234077,2,2
-72.88987677435105,206.4149183336195,2,2
-72.88941225822202,206.52680644550762,2,2
-72.88923161306073,207.03829495699614,2,2
-72.88868967757686,206.7026306213318,2,2
-72.8883800001575,207.31002322872442,2,2
-72.88807032273814,207.2940392127404,2,2
-72.8875800001575,207.35797527667646,2,2
-72.88706387112525,206.73459865329983,2,2
-72.88662516144782,206.78255070125186,2,2
-72.88662516144782,207.26207118077235,2,2
-72.88623806467363,207.35797527667646,2,2
-72.88564451628653,206.3989343176355,2,2
-72.88528322596396,206.38295030165148,2,2
-72.88507677435105,208.1891441078453,2,2
-72.88484451628653,208.97236089106207,2,2
-72.88468967757686,208.98834490704607,2,2
-72.88445741951234,208.54079245949364,2,2
-72.88425096789943,207.67765559635677,2,2
-72.8839670969317,207.3899433086445,2,2
-72.88383806467363,207.03829495699614,2,2
-72.88347677435105,207.07026298896417,2,2
-72.88327032273814,207.37395929266046,2,2
-72.88285741951235,207.83749575619694,2,2
-72.88259935499622,207.91741583611702,2,2
-72.88228967757686,209.4838494025506,2,2
,,2,2
-72.88192838725428,209.51581743451862,2,2
-72.88138645177041,207.4059273246285,2,2
-72.88074129048009,207.2940392127404,2,2
-72.88019935499621,206.3030302217314,2,2
-72.87988967757686,206.3190142377154,2,2
-72.87970903241556,207.03829495699614,2,2
-72.87945096789944,207.23010314880432,2,2
-72.87932193564137,206.5108224295236,2,2
-72.8789864517704,206.52680644550762,2,2
-72.8785735485446,208.28504820374937,2,2
-72.87821225822202,206.95837487707604,2,2
-72.87795419370589,206.97435889306007,2,2
-72.87769612918976,207.4059273246285,2,2
-72.87715419370589,207.42191134061252,2,2
-72.8767929033833,209.51581743451862,2,2
-71.87617803592804,94.99070918095575,3,1
-71.87349445169865,95.00869119893775,3,1
,,3,1
-71.86920914703916,95.06263725288382,3,1
-71.86725617212876,95.08061927086584,3,1
-71.87619208610725,95.00869119893775,3,2
-71.87574248037248,92.97672316696973,3,2
-71.87561602875958,92.95874114898771,3,2
-71.87529287463772,91.52017971042628,3,2
-71.87506807177034,91.41228760253416,3,2
-71.87487136926137,90.96273715298372,3,2
-71.87405645886712,90.96273715298372,3,2
-71.87363495349076,91.69999989024645,3,2
-71.87342420080259,94.9547451449917,3,2
,,3,2
-71.86922319721836,95.06263725288382,3,2
-71.86923724739758,93.78591397616054,3,2
-71.86908269542626,92.5451547354013,3,2
-71.86888599291728,92.5451547354013,3,2
-71.86871739076675,93.92977012001668,3,2
-71.86832398574883,93.69600388625045,3,2
-71.86815538359829,92.61708280732937,3,2
-71.8677900789388,92.47322666347323,3,2
-71.86769172768432,92.95874114898771,3,2
-71.86748097499614,92.99470518495174,3,2
-71.86735452338324,94.55914074938731,3,2
-71.86722807177034,95.13456532481189,3,2
-71.64711924740371,84.59660346977242,4,1
-71.6388246237478,84.59660346977242,4,1
-71.64716440869402,84.5726274457964,4,2
-71.6466375269736,83.22997010313905,4,2
-71.64615580654349,81.02417589734485,4,2
-71.64532784955425,79.99320686637581,4,2
-71.64425903234995,78.89030976347871,4,2
-71.64246763450049,78.77042964359859,4,2
-71.64133860224243,80.35284722601618,4,2
-71.64093215062952,80.9762238493928,4,2
-71.64072139794135,82.60659347976244,4,2
-71.64042032267253,83.94925082241977,4,2
-71.6398181721349,83.99720287037182,4,2
-71.6396375269736,83.51768239085135,4,2
-71.63933645170479,83.56563443880339,4,2
-71.63920096783382,83.99720287037182,4,2
-71.63891494632844,84.09310696627591,4,2
-71.63877946245748,84.5726274457964,4,2
