lat,h,pondid,typeid
-72.9966375515233,221.5561625874126,1,1
-72.99274135080647,221.5841346153846,1,1
,,1,1
-72.99198249775986,221.59812062937064,1,1
-72.98953604614697,221.5841346153846,1,1
-72.9966375515233,221.51420454545453,1,2
-72.99656959453407,220.71700174825176,1,2
-72.99650163754481,220.01770104895104,1,2
-72.99647898521506,219.5561625874126,1,2
-72.99642235439069,219.1925262237762,1,2
-72.99630909274194,218.89881993006992,1,2
-72.9961958310932,219.27644230769232,1,2
-72.9961505264337,219.59812062937064,1,2
-72.99602593862008,219.90581293706293,1,2
-72.99584471998209,220.12958916083917,1,2
-72.99564084901435,220.11560314685315,1,2
-72.99547095654123,219.84986888111888,1,2
-72.99523310707886,219.64007867132867,1,2
-72.99496127912187,219.51420454545453,1,2
-72.99466679883514,219.44427447552448,1,2
-72.99425905689965,219.4862325174825,1,2
-72.99390794578854,219.6680506993007,1,2
-72.99364744399642,220.00371503496504,1,2
-72.99340959453406,220.4512674825175,1,2
-72.99319439740144,220.7729458041958,1,2
-72.99304715725808,221.01070804195805,1,2
-72.99273002464159,221.5561625874126,1,2
,,1,2
-72.99195984543012,221.54217657342656,1,2
-72.99191454077062,220.99672202797203,1,2
-72.99181260528675,220.4512674825175,1,2
-72.99166536514338,219.947770979021,1,2
-72.99155210349464,219.50021853146853,1,2
-72.99142751568101,219.22049825174824,1,2
-72.99133690636202,219.20651223776224,1,2
-72.99120099238353,218.96875,1,2
-72.99109905689966,218.8708479020979,1,2
-72.99099712141579,219.03868006993008,1,2
-72.99089518593192,219.12259615384616,1,2
-72.99079325044804,218.95476398601397,1,2
-72.9906799887993,218.6750437062937,1,2
-72.99048744399643,218.32539335664336,1,2
-72.9902382683692,218.31140734265733,1,2
-72.99009102822582,218.5771416083916,1,2
-72.98995511424732,218.99672202797203,1,2
-72.9898305264337,219.43028846153845,1,2
-72.9897399171147,219.79392482517483,1,2
-72.98969461245521,220.1715472027972,1,2
-72.98963798163084,220.6750437062937,1,2
-72.98960400313622,221.05266608391608,1,2
-72.9895247199821,221.5701486013986,1,2
-72.89315362903226,209.56743256743258,2,1
-72.88231491935483,209.5194805194805,2,1
,,2,1
-72.88182459677418,209.5034965034965,2,1
-72.87681814516128,209.53546453546454,2,1
-72.89315362903226,209.53546453546454,2,2
-72.89302459677418,209.11988011988012,2,2
-72.89289556451612,208.62437562437563,2,2
-72.8928697580645,208.16083916083917,2,2
-72.89258588709677,208.04895104895104,2,2
-72.89258588709677,207.74525474525475,2,2
-72.89253427419354,207.32967032967034,2,2
-72.89230201612902,207.2017982017982,2,2
-72.89199233870967,207.44155844155844,2,2
-72.89173427419354,207.45754245754247,2,2
-72.89150201612902,207.04195804195805,2,2
-72.89142459677419,206.53046953046953,2,2
-72.89126975806451,206.27472527472528,2,2
-72.89098588709676,206.4025974025974,2,2
-72.89080524193548,206.67432567432567,2,2
-72.89052137096773,207.15384615384616,2,2
-72.89041814516128,207.56943056943058,2,2
-72.89039233870967,207.76123876123876,2,2
-72.8902375,207.56943056943058,2,2
-72.8902375,207.1858141858142,2,2
-72.8900568548387,206.8981018981019,2,2
-72.88974717741935,206.91408591408592,2,2
-72.8894375,206.96203796203795,2,2
-72.88915362903225,206.994005994006,2,2
-72.88889556451612,206.94605394605395,2,2
-72.88853427419355,207.0899100899101,2,2
-72.88817298387096,207.34565434565434,2,2
-72.88788911290322,207.3136863136863,2,2
-72.88760524193547,207.3136863136863,2,2
-72.88737298387096,207.24975024975026,2,2
-72.88719233870967,207.05794205794206,2,2
-72.88703749999999,206.91408591408592,2,2
-72.88672782258064,206.94605394605395,2,2
-72.88662459677418,207.16983016983016,2,2
-72.88644395161289,207.26573426573427,2,2
-72.88616008064515,207.1858141858142,2,2
-72.88597943548386,207.05794205794206,2,2
-72.88569556451613,207.04195804195805,2,2
-72.8854375,207.10589410589412,2,2
-72.88523104838708,207.37762237762237,2,2
-72.88517943548386,207.61738261738262,2,2
-72.88512782258064,207.87312687312686,2,2
-72.88512782258064,208.06493506493507,2,2
-72.8850504032258,208.30469530469531,2,2
-72.88502459677419,208.56043956043956,2,2
-72.88489556451613,208.83216783216784,2,2
-72.8848439516129,209.07192807192808,2,2
-72.88474072580644,209.03996003996005,2,2
-72.88458588709676,208.84815184815184,2,2
-72.88453427419354,208.67232767232767,2,2
-72.88435362903225,208.35264735264735,2,2
-72.88435362903225,208.30469530469531,2,2
-72.88432782258064,208.12887112887114,2,2
-72.88432782258064,207.85714285714286,2,2
-72.88422459677419,207.6013986013986,2,2
-72.88388911290322,207.3936063936064,2,2
-72.88360524193547,207.2977022977023,2,2
-72.88321814516128,207.4095904095904,2,2
-72.88314072580644,207.5214785214785,2,2
-72.88303749999999,207.64935064935065,2,2
-72.88301169354838,207.76123876123876,2,2
-72.88280524193547,207.8891108891109,2,2
-72.8826504032258,208.08091908091907,2,2
-72.88252137096774,208.40059940059942,2,2
-72.88249556451612,208.62437562437563,2,2
-72.88241814516128,208.83216783216784,2,2
-72.88241814516128,209.02397602397602,2,2
-72.88228911290322,209.5034965034965,2,2
,,2,2
-72.8818504032258,209.4875124875125,2,2
-72.88177298387096,208.99200799200798,2,2
-72.8816439516129,208.65634365634367,2,2
-72.8816439516129,208.40059940059942,2,2
-72.88154072580645,207.76123876123876,2,2
-72.88136008064515,207.3936063936064,2,2
-72.88115362903226,207.21778221778223,2,2
-72.88081814516129,207.2017982017982,2,2
-72.88061169354837,207.0899100899101,2,2
-72.88050846774193,206.96203796203795,2,2
-72.88019879032257,206.77022977022978,2,2
-72.87988911290321,206.77022977022978,2,2
-72.87973427419354,206.88211788211788,2,2
-72.87968266129032,207.02597402597402,2,2
-72.87955362903224,207.16983016983016,2,2
-72.87932137096773,207.12187812187813,2,2
-72.8790633064516,207.15384615384616,2,2
-72.87880524193548,207.32967032967034,2,2
-72.87870201612903,207.56943056943058,2,2
-72.87870201612903,207.80919080919082,2,2
-72.8786504032258,208.01698301698303,2,2
-72.87854717741935,208.24075924075925,2,2
-72.87834072580644,208.04895104895104,2,2
-72.87834072580644,207.72927072927072,2,2
-72.8782633064516,207.55344655344655,2,2
-72.8782633064516,207.23376623376623,2,2
-72.8780568548387,207.12187812187813,2,2
-72.8776439516129,207.23376623376623,2,2
-72.87751491935484,207.37762237762237,2,2
-72.87730846774193,207.4895104895105,2,2
-72.87707620967741,207.7772227772228,2,2
-72.87697298387096,208.14485514485514,2,2
-72.87694717741935,208.43256743256742,2,2
-72.87686975806452,208.72027972027973,2,2
-72.87676653225806,209.5034965034965,2,2
-71.87619177867383,95.07539335664333,3,1
-71.87348009408602,95.00346528471526,3,1
,,3,1
-71.86923693996415,95.07539335664333,3,1
-71.8673261155914,95.0394293206793,3,1
-71.87619177867383,95.05741133866132,3,2
-71.87609342741935,94.46400474525473,3,2
-71.87596697580645,93.9425262237762,3,2
-71.87585457437275,93.47499375624373,3,2
-71.87572812275985,93.07938936063934,3,2
-71.87562977150537,92.95351523476522,3,2
-71.87551737007168,92.5399288211788,3,2
-71.87544711917562,92.10836038961037,3,2
-71.87525041666666,91.69477397602395,3,2
-71.87496941308243,91.28118756243754,3,2
-71.87473056003583,90.9395292207792,3,2
-71.87450575716845,90.92154720279719,3,2
-71.87426690412185,90.95751123876121,3,2
-71.87405615143369,90.90356518481516,3,2
-71.87394375,91.24522352647351,3,2
-71.87376109767024,91.47898976023974,3,2
-71.87367679659498,91.78468406593404,3,2
-71.87367679659498,92.3421266233766,3,2
-71.87369084677418,92.84562312687311,3,2
-71.87363464605734,93.4390297202797,3,2
-71.8735924955197,93.8346341158841,3,2
-71.87355034498208,94.24822052947052,3,2
-71.87345199372758,94.94951923076921,3,2
,,3,2
-71.86923693996415,95.00346528471526,3,2
