lat,h,pondid,typeid
-72.99656743562214,221.64090906956812,1,1
-72.99584256107016,221.64090906956812,1,1
-72.99268256107017,221.73881116747023,1,1
,,1,1
-72.99203696967233,221.73881116747023,1,1
-72.9895565395648,221.73881116747023,1,1
-72.99654478329239,220.8996503549856,1,2
-72.99653345712751,220.45209790743314,1,2
-72.99653345712751,219.89265734799258,1,2
-72.99642019547876,219.45909091442616,1,2
-72.9963182599949,219.27727273260797,1,2
-72.99630693383003,219.72482518016042,1,2
-72.9961823460164,220.1164335717688,1,2
-72.99602377970815,220.27027972561496,1,2
-72.99585388723504,220.6059440612793,1,2
-72.99566134243217,220.66188811722336,1,2
-72.99549144995906,220.4101398654751,1,2
-72.99540084064006,220.1164335717688,1,2
-72.99518564350744,219.9066433619786,1,2
-72.99499309870458,219.9066433619786,1,2
-72.99425689798773,219.7108391661744,1,2
-72.99407567934973,219.72482518016042,1,2
-72.99372456823863,220.1164335717688,1,2
-72.99337345712752,220.56398601932125,1,2
-72.99303367218128,221.06748252281776,1,2
-72.99278449655404,221.33321678855202,1,2
,,1,2
-72.9919576865182,221.1234265787618,1,2
-72.99176514171533,220.56398601932125,1,2
-72.9915612707476,220.03251748785272,1,2
-72.99153861841785,219.61293706827232,1,2
-72.99132342128523,219.36118881652405,1,2
-72.99127811662572,219.27727273260797,1,2
-72.99118750730673,219.13741259274784,1,2
-72.99096098400923,219.33321678855202,1,2
-72.99077976537124,219.33321678855202,1,2
-72.99072313454687,218.94160839694362,1,2
-72.99055324207376,218.6199300752653,1,2
-72.99029274028165,218.43811189344711,1,2
-72.99014550013827,218.94160839694362,1,2
-72.99022478329239,219.22132867666392,1,2
-72.98996428150028,219.37517483051008,1,2
-72.98978306286229,219.66888112421637,1,2
-72.9896924535433,220.43811189344711,1,2
-72.98964714888379,221.1234265787618,1,2
-72.89299387128275,209.6745254501358,2,1
-72.88233580676662,209.7704295460399,2,1
,,2,1
-72.88174225837953,209.73846151407187,2,1
-72.87696806483115,209.73846151407187,2,1
-72.89281322612146,208.9872127628231,2,2
-72.89273580676662,208.0761238517342,2,2
-72.89258096805695,208.23596401157437,2,2
-72.89242612934727,207.34085911646946,2,2
-72.89185838741179,207.75644353205388,2,2
-72.89126483902469,206.0621378377482,2,2
-72.8910841938634,206.70149847710883,2,2
-72.8906712906376,206.92527470088507,2,2
-72.89041322612147,207.88431565992602,2,2
-72.8898970970892,207.13306690867728,2,2
-72.88943258096018,207.0851148607252,2,2
-72.88899387128275,207.38881116442153,2,2
-72.8886841938634,207.29290706851742,2,2
-72.88832290354082,207.51668329229364,2,2
-72.88801322612146,207.43676321237356,2,2
-72.88747129063759,207.43676321237356,2,2
-72.88713580676662,207.43676321237356,2,2
-72.88692935515373,207.19700297261332,2,2
-72.8864906454763,207.3728271484375,2,2
-72.88607774225049,207.51668329229364,2,2
-72.88605193579889,207.21298698859735,2,2
-72.88563903257308,206.79740257301293,2,2
-72.88530354870211,207.18101895662932,2,2
-72.88535516160533,207.86833164394199,2,2
-72.8850712906376,208.6515484271588,2,2
-72.88483903257308,209.27492505053542,2,2
-72.8842970970892,208.20399597960633,2,2
-72.88421967773436,207.6925074681178,2,2
-72.88380677450856,207.40479518040553,2,2
-72.88339387128275,207.50069927630963,2,2
-72.8830583874118,207.7884115640219,2,2
-72.8826970970892,208.10809188370223,2,2
-72.88246483902469,209.0831168587272,2,2
,,2,2
-72.8816906454763,208.9712287468391,2,2
-72.88140677450856,208.29990007551044,2,2
-72.88125193579889,207.6925074681178,2,2
-72.88076161321824,207.3728271484375,2,2
-72.88042612934727,207.10109887670924,2,2
-72.88016806483114,206.79740257301293,2,2
-72.87975516160533,206.94125871686907,2,2
-72.87975516160533,207.22897100458135,2,2
-72.87960032289566,207.43676321237356,2,2
-72.87936806483114,207.16503494064528,2,2
-72.87903258096017,207.18101895662932,2,2
-72.8786712906376,208.55564433125468,2,2
-72.87833580676663,208.20399597960633,2,2
-72.87812935515372,207.6925074681178,2,2
-72.87815516160533,207.29290706851742,2,2
-72.87792290354082,207.43676321237356,2,2
-72.87771645192791,207.70849148410184,2,2
-72.87732935515372,207.6925074681178,2,2
-72.8770970970892,207.98021975583012,2,2
-72.87701967773437,208.9872127628231,2,2
-71.87602049837939,95.15344652600815,3,1
-71.87360386755502,95.13546450802613,3,1
,,3,1
-71.8691640109242,95.27932065188227,3,1
-71.8673234374475,95.17142854399017,3,1
-71.87602049837939,94.63196800452963,3,2
-71.87543039085251,92.7978021703638,3,2
-71.8751774876267,91.7908091633708,3,2
-71.87471383171273,91.14345651601815,3,2
-71.87412372418584,90.99960037216199,3,2
-71.87373031916792,91.57502494758657,3,2
-71.8737022188095,92.90569427825591,3,2
-71.87349146612132,94.64995002251165,3,2
,,3,2
-71.86907970984892,94.81178818434981,3,2
-71.8684474517844,93.94865132121295,3,2
-71.86825074927545,93.08551445807609,3,2
-71.86787139443673,92.72587409843572,3,2
-71.86750608977724,93.6069929795546,3,2
-71.86736558798512,94.64995002251165,3,2
-71.64701067222677,84.5735265466955,4,1
-71.63889669373215,84.7653347385037,4,1
-71.6467999195386,84.04605401922296,4,2
-71.64631819910849,82.43966041282937,4,2
-71.64586658620527,80.92917090233985,4,2
-71.64562572599021,80.4736264467954,4,2
-71.64523432814075,79.99410596727492,4,2
-71.64478271523753,79.56253753570648,4,2
-71.64375905932354,79.13096910413806,4,2
-71.64246443566763,79.08301705618601,4,2
-71.64198271523753,79.92217789534685,4,2
-71.64130529588269,80.5695305426995,4,2
-71.64080852168914,82.03206800523695,4,2
-71.64067303781817,83.11098908415804,4,2
-71.64031174749559,83.90219787536682,4,2
-71.63942357545258,83.92617389934286,4,2
-71.63897196254936,84.11798209115105,4,2
