lat,h,pondid,typeid
-72.99658215949822,221.635708,1,1
-72.99604982974911,221.6636801,1,1
-72.99550617383514,221.6916521,1,1
-72.99500782258066,221.7196241,1,1
-72.99457742831542,221.7336101,1,1
-72.99424896953406,221.7196241,1,1
-72.99394316308245,221.7056381,1,1
-72.99363735663084,221.7056381,1,1
-72.99352409498209,221.7056381,1,1
-72.9933428763441,221.7056381,1,1
-72.99326359318998,221.7056381,1,1
,,1,1
-72.99291248207886,221.6916521,1,1
-72.99274258960574,221.7196241,1,1
,,1,1
-72.99197241039428,221.7336101,1,1
-72.99167793010754,221.7196241,1,1
-72.99136079749105,221.7336101,1,1
-72.99111162186381,221.6916521,1,1
-72.99087377240144,221.6916521,1,1
-72.99062459677421,221.6916521,1,1
-72.99039807347671,221.7196241,1,1
-72.99019420250897,221.7196241,1,1
-72.98997900537636,221.7056381,1,1
-72.98979778673836,221.7056381,1,1
-72.98961656810037,221.7056381,1,1
-72.99659348566308,221.1601836,1,2
-72.99655950716847,220.6566871,1,2
-72.99652552867384,220.1811626,1,2
-72.99651420250896,219.8315122,1,2
-72.99646889784947,219.4678759,1,2
-72.99638961469535,219.0762675,1,2
,,1,2
-72.99628767921148,219.8874563,1,2
-72.99602717741936,220.2231206,1,2
,,1,2
-72.99599319892474,221.0762675,1,2
-72.99576667562725,221.0622815,1,2
,,1,2
-72.99571004480288,220.628715,1,2
-72.99555147849463,220.4748689,1,2
-72.99539291218639,219.9993444,1,2
-72.99530230286739,219.7895542,1,2
-72.99523434587815,219.4259178,1,2
-72.99510975806453,219.2161276,1,2
-72.99495119175629,219.1601836,1,2
-72.99478129928316,219.1322115,1,2
-72.99465671146955,219.1042395,1,2
-72.99457742831542,219.2021416,1,2
-72.99453212365593,219.2860577,1,2
-72.99438488351255,219.4399038,1,2
-72.99428294802868,219.579764,1,2
-72.99410172939069,219.6496941,1,2
-72.99394316308245,219.7196241,1,2
-72.99376194444446,219.9294143,1,2
-72.99362603046596,220.2790647,1,2
-72.99339950716848,220.7685752,1,2
-72.99324094086023,221.0343094,1,2
-72.9931163530466,221.0343094,1,2
,,1,2
-72.99291248207886,221.0902535,1,2
-72.99275391577062,221.1322115,1,2
,,1,2
-72.99199506272403,221.3280157,1,2
-72.99194975806454,221.0482955,1,2
-72.99187047491041,220.6566871,1,2
-72.99176853942653,220.3070367,1,2
-72.99163262544805,219.9154283,1,2
-72.99154201612905,219.565778,1,2
-72.99140610215055,219.2860577,1,2
-72.99130416666668,219.0622815,1,2
-72.99115692652332,219.0622815,1,2
-72.9910776433692,219.1042395,1,2
-72.99100968637994,219.2161276,1,2
-72.99088509856632,219.2860577,1,2
-72.99079448924732,219.2580857,1,2
-72.99076051075271,219.1881556,1,2
-72.9907152060932,219.0063374,1,2
-72.99068122759859,218.8664773,1,2
-72.99059061827958,218.586757,1,2
-72.99044337813622,218.4329108,1,2
-72.99028481182798,218.3769668,1,2
-72.99020552867385,218.5028409,1,2
-72.99017155017923,218.9224213,1,2
-72.99017155017923,219.1322115,1,2
-72.99010359318999,219.2161276,1,2
-72.98997900537636,219.2161276,1,2
-72.98988839605737,219.2580857,1,2
-72.9897864605735,219.7056381,1,2
-72.98970717741938,220.3210227,1,2
-72.989650546595,220.8245192,1,2
-72.98961656810037,221.1601836,1,2
-72.9896052419355,221.3699738,1,2
-72.89305322580644,209.6743257,2,1
-72.89021451612902,209.6583417,2,1
-72.88794354838709,209.6743257,2,1
-72.88631774193547,209.6743257,2,1
-72.88487258064515,209.6903097,2,1
-72.88360806451612,209.6583417,2,1
-72.88242096774192,209.6583417,2,1
,,2,1
-72.88169838709676,209.6583417,2,1
-72.88061451612903,209.6583417,2,1
-72.8795822580645,209.6423576,2,1
-72.87873064516128,209.6263736,2,1
-72.87824032258064,209.6423576,2,1
-72.8775435483871,209.6423576,2,1
-72.87697580645161,209.6583417,2,1
-72.89307903225806,209.1948052,2,2
-72.89292419354838,208.8591409,2,2
-72.89284677419354,208.5234765,2,2
-72.89282096774193,208.2837163,2,2
-72.89274354838709,208.1238761,2,2
-72.8925629032258,207.9320679,2,2
-72.89245967741935,207.5004995,2,2
-72.8923564516129,207.2767233,2,2
-72.89220161290322,207.2767233,2,2
-72.89204677419355,207.5804196,2,2
-72.89196935483871,207.6603397,2,2
-72.89181451612903,207.6603397,2,2
-72.8917370967742,207.6603397,2,2
-72.89165967741934,207.5324675,2,2
-72.8915822580645,207.2767233,2,2
-72.89150483870966,207.1008991,2,2
-72.89140161290322,206.6373626,2,2
-72.89129838709677,206.2697303,2,2
-72.89122096774193,206.0779221,2,2
-72.89106612903225,206.5574426,2,2
-72.89101451612902,206.6533467,2,2
-72.89080806451612,206.7812188,2,2
-72.89070483870967,206.8931069,2,2
-72.89057580645161,207.1648352,2,2
-72.89054999999999,207.5164835,2,2
-72.89052419354837,207.7562438,2,2
-72.89042096774193,207.9160839,2,2
-72.89029193548386,207.9160839,2,2
-72.89021451612902,207.7722278,2,2
-72.8901629032258,207.5644356,2,2
-72.89011129032258,207.3406593,2,2
-72.89003387096774,207.1808192,2,2
-72.88987903225805,207.0849151,2,2
-72.88974999999999,207.020979,2,2
,,2,2
-72.88946612903226,207.004995,2,2
-72.88933709677418,207.1328671,2,2
-72.88920806451613,207.2447552,2,2
-72.88913064516129,207.3086913,2,2
-72.88895,207.3566434,2,2
-72.88879516129032,207.2927073,2,2
-72.88869193548386,207.2287712,2,2
,,2,2
-72.88845967741935,207.3086913,2,2
-72.88835645161289,207.4045954,2,2
-72.8881758064516,207.4845155,2,2
-72.88804677419354,207.4205794,2,2
-72.88794354838709,207.3726274,2,2
-72.88784032258064,207.4205794,2,2
-72.88758225806451,207.4685315,2,2
-72.88740161290322,207.4525475,2,2
-72.88732419354838,207.4365634,2,2
-72.88724677419354,207.4045954,2,2
-72.88714354838709,207.3406593,2,2
-72.88704032258063,207.2287712,2,2
-72.88691129032257,207.3086913,2,2
-72.88670483870968,207.3566434,2,2
-72.88649838709676,207.4365634,2,2
-72.88634354838709,207.5004995,2,2
