lat,h,pondid,typeid
-72.9966115367,221.5319767442,1,1
-72.9962292787,221.5436046512,1,1
-72.9955497088,221.5668604651,1,1
-72.9949480063,221.5668604651,1,1
-72.9944666443,221.5668604651,1,1
-72.9933411066,221.5668604651,1,1
-72.9926898522,221.5901162791,1,1
-72.9920315188,221.6133720930,1,1
-72.9910263217,221.6017441860,1,1
-72.9900919131,221.5668604651,1,1
-72.9895609991,221.5319767442,1,1
-72.9966044579,221.4854651163,1,2
-72.9965407482,219.9622093023,1,2
-72.9964345654,219.3226744186,1,2
-72.9963213038,219.1250000000,1,2
-72.9961230959,219.3691860465,1,2
-72.9960027554,220.0319767442,1,2
-72.9958257841,220.5901162791,1,2
-72.9956983647,220.5784883721,1,2
-72.9954718414,220.1250000000,1,2
-72.9953302643,219.6947674419,1,2
-72.9952240815,219.3575581395,1,2
-72.9950046371,219.1598837209,1,2
-72.9948772177,219.5784883721,1,2
-72.9946719310,219.5552325581,1,2
-72.9945586694,219.4040697674,1,2
-72.9944029346,219.4156976744,1,2
-72.9939640457,219.6831395349,1,2
-72.9934826837,220.2180232558,1,2
-72.9931712142,220.6133720930,1,2
-72.9929022177,220.9156976744,1,2
-72.9926403002,221.3808139535,1,2
,,1,2
-72.9920102823,221.4273255814,1,2
-72.9917483647,220.2529069767,1,2
-72.9914510529,219.3226744186,1,2
-72.9912528450,219.0203488372,1,2
-72.9910050851,219.0668604651,1,2
-72.9908705869,219.2296511628,1,2
-72.9907785618,219.2761627907,1,2
-72.9906582213,218.7180232558,1,2
-72.9904246192,218.4040697674,1,2
-72.9902193324,218.4273255814,1,2
-72.9900777554,218.7761627907,1,2
-72.9898653898,219.2645348837,1,2
-72.9897379704,219.8110465116,1,2
-72.9896601030,220.6017441860,1,2
-72.9895185260,221.5203488372,1,2
-72.8930911290,209.4933774834,2,1
-72.8823008065,209.5331125828,2,1
-72.8819459677,209.5331125828,2,1
-72.8768491935,209.5066225166,2,1
-72.8931233871,209.3079470199,2,2
-72.8926072581,207.8377483444,2,2
-72.8922524194,207.0827814570,2,2
-72.8919137097,207.6125827815,2,2
-72.8917201613,207.5860927152,2,2
-72.8913008065,205.9569536424,2,2
-72.8911072581,205.9966887417,2,2
-72.8908975806,206.5662251656,2,2
-72.8906556452,206.6589403974,2,2
-72.8903814516,207.7715231788,2,2
-72.8900266129,206.9238410596,2,2
-72.8897846774,206.7119205298,2,2
-72.8895266129,206.6324503311,2,2
-72.8892524194,207.0298013245,2,2
-72.8890911290,206.6721854305,2,2
-72.8888330645,206.6721854305,2,2
-72.8883169355,207.3609271523,2,2
-72.8878653226,207.3211920530,2,2
-72.8876879032,207.1490066225,2,2
-72.8871233871,206.8311258278,2,2
-72.8867362903,206.6986754967,2,2
-72.8866072581,207.0430463576,2,2
-72.8864137097,207.3079470199,2,2
-72.8861395161,207.0165562914,2,2
-72.8858975806,206.8311258278,2,2
-72.8854298387,206.9238410596,2,2
-72.8852040323,207.1490066225,2,2
-72.8852040323,208.0364238411,2,2
-72.8849459677,208.8046357616,2,2
-72.8847685484,208.9238410596,2,2
-72.8845427419,208.6721854305,2,2
-72.8843975806,208.3807947020,2,2
-72.8842040323,207.6655629139,2,2
-72.8837846774,207.2152317881,2,2
-72.8835588710,207.0827814570,2,2
-72.8832201613,207.3874172185,2,2
-72.8827685484,207.8377483444,2,2
-72.8824782258,208.3807947020,2,2
-72.8822201613,209.4536423841,2,2
,,2,2
-72.8819298387,209.4403973510,2,2
-72.8814943548,208.1026490066,2,2
-72.8813975806,207.4801324503,2,2
-72.8811879032,207.3211920530,2,2
-72.8807040323,207.3476821192,2,2
-72.8805588710,207.3079470199,2,2
-72.8804782258,206.9635761589,2,2
-72.8802846774,206.6589403974,2,2
-72.8800750000,206.3675496689,2,2
-72.8798330645,206.6324503311,2,2
-72.8797040323,207.0165562914,2,2
-72.8795588710,207.1754966887,2,2
-72.8793330645,206.7781456954,2,2
-72.8790588710,206.6192052980,2,2
-72.8788491935,207.1490066225,2,2
-72.8786395161,207.8377483444,2,2
-72.8785588710,208.2483443709,2,2
-72.8783330645,208.0099337748,2,2
-72.8782201613,207.3609271523,2,2
-72.8781717742,206.9503311258,2,2
-72.8779298387,207.0695364238,2,2
-72.8777524194,207.2417218543,2,2
-72.8776395161,207.3874172185,2,2
-72.8771879032,207.3874172185,2,2
-72.8768008065,209.3476821192,2,2
-71.8761928763,95.0012417219,3,1
-71.8734618728,94.9714403974,3,1
-71.8692468190,95.0757450331,3,1
-71.8672710125,95.0012417219,3,1
-71.8761138441,94.9267384106,3,2
-71.8758328405,93.4813741722,3,2
-71.8754815860,92.5873344371,3,2
-71.8752796147,91.5889900662,3,2
-71.8748054211,91.0674668874,3,2
-71.8742785394,90.9035596026,3,2
-71.8740150986,90.9780629139,3,2
-71.8737955645,91.4548841060,3,2
-71.8736814068,92.0956125828,3,2
-71.8734969982,94.9416390728,3,2
,,3,2
-71.8693170699,94.8224337748,3,2
-71.8692468190,92.5724337748,3,2
-71.8689394713,92.4234271523,3,2
-71.8686935932,94.1370033113,3,2
-71.8686057796,94.4797185430,3,2
-71.8684301523,93.6452814570,3,2
-71.8681754928,92.9002483444,3,2
-71.8679735215,92.6767384106,3,2
-71.8677100806,92.9002483444,3,2
-71.8673939516,94.3456125828,3,2
-71.8672271057,94.9565397351,3,2
-71.6471238575,84.5182119205,4,1
-71.6388066532,84.5778145695,4,1
-71.6469921371,84.2996688742,4,2
-71.6461359543,81.5380794702,4,2
-71.6454114919,80.0480132450,4,2
-71.6446682124,79.2334437086,4,2
-71.6441413306,78.7566225166,4,2
-71.6435485887,77.9420529801,4,2
-71.6426924059,78.0612582781,4,2
-71.6422219758,79.0149006623,4,2
-71.6415633737,79.8493377483,4,2
-71.6409047715,81.4983443709,4,2
-71.6405566532,83.3261589404,4,2
-71.6404155242,83.8427152318,4,2
-71.6392676747,83.9817880795,4,2
-71.6387407930,84.1009933775,4,2
-71.6387313844,84.0612582781,4,2
