lat,h,pondid,typeid
-72.99652428987456,221.53780594405595,1,1
-72.99273002464159,221.56577797202797,1,1
,,1,1
-72.991971171595,221.56577797202797,1,1
-72.98958135080646,221.55179195804195,1,1
-72.99658092069893,221.34200174825176,1,2
-72.99649031137994,219.9993444055944,1,2
-72.9963770497312,219.02032342657344,1,2
-72.99612787410395,219.67766608391608,1,2
-72.99602593862008,220.06927447552448,1,2
-72.99570880600359,220.5028409090909,1,2
-72.99540299955198,219.9993444055944,1,2
-72.99518780241937,219.4119318181818,1,2
-72.99448558019715,219.4119318181818,1,2
-72.99390794578854,219.71962412587413,1,2
-72.9935228561828,220.25109265734267,1,2
-72.99328500672044,220.26507867132867,1,2
-72.99297920026883,220.82451923076923,1,2
-72.99270737231184,221.24409965034965,1,2
,,1,2
-72.99193719310037,221.3000437062937,1,2
-72.99176730062726,220.41892482517483,1,2
-72.99155210349464,219.66368006993008,1,2
-72.99124629704302,218.9923513986014,1,2
-72.99084988127241,219.24409965034965,1,2
-72.9906346841398,218.65668706293707,1,2
-72.99028357302869,218.32102272727272,1,2
-72.99013633288531,218.36298076923077,1,2
-72.99012500672045,219.1881555944056,1,2
-72.98971726478496,219.27207167832168,1,2
-72.98964930779572,220.23710664335664,1,2
-72.9895247199821,221.3000437062937,1,2
-72.89297298387096,209.53046953046953,2,1
-72.8824697580645,209.54645354645356,2,1
,,2,1
-72.88159233870967,209.51448551448553,2,1
-72.87702459677419,209.51448551448553,2,1
-72.8930504032258,209.27472527472528,2,2
-72.89289556451612,208.04395604395606,2,2
-72.89261169354837,208.12387612387613,2,2
-72.89237943548386,206.84515484515484,2,2
-72.89217298387096,206.82917082917083,2,2
-72.89188911290321,207.64435564435564,2,2
-72.89188911290321,207.64435564435564,2,2
-72.8914504032258,206.76523476523477,2,2
-72.89119233870967,205.77422577422578,2,2
-72.89096008064516,206.60539460539462,2,2
-72.89067620967741,206.86113886113887,2,2
-72.89031491935484,207.91608391608392,2,2
-72.88997943548387,206.8131868131868,2,2
-72.88969556451612,206.8931068931069,2,2
-72.8896439516129,206.54145854145855,2,2
-72.88920524193547,207.18081918081919,2,2
-72.88874072580644,206.989010989011,2,2
-72.88814717741934,207.4845154845155,2,2
-72.88791491935483,207.26073926073926,2,2
-72.88770846774193,207.4045954045954,2,2
-72.88711491935483,207.3886113886114,2,2
-72.88696008064515,206.86113886113887,2,2
-72.88677943548386,206.7972027972028,2,2
-72.88667620967742,207.24475524475525,2,2
-72.88634072580645,207.26073926073926,2,2
-72.88561814516129,206.44555444555445,2,2
-72.8854375,206.25374625374627,2,2
-72.88530846774192,207.64435564435564,2,2
-72.8850504032258,208.3956043956044,2,2
-72.88479233870967,209.16283716283718,2,2
-72.88430201612903,208.04395604395606,2,2
-72.88432782258064,207.66033966033967,2,2
-72.88391491935484,207.35664335664336,2,2
-72.88360524193547,206.95704295704297,2,2
-72.88316653225806,207.54845154845157,2,2
-72.88267620967741,207.6923076923077,2,2
-72.88228911290322,209.17882117882118,2,2
,,2,2
-72.88174717741934,209.14685314685315,2,2
-72.88117943548386,207.26073926073926,2,2
-72.88063749999999,207.2767232767233,2,2
-72.88019879032257,206.41358641358642,2,2
-72.87950201612902,207.18081918081919,2,2
-72.87914072580644,206.62137862137862,2,2
-72.87854717741935,208.36363636363637,2,2
-72.87821169354838,206.989010989011,2,2
-72.87759233870968,207.30869130869132,2,2
-72.87707620967741,207.42057942057943,2,2
-72.87689556451612,209.30669330669332,2,2
-71.87612152777777,95.0158279220779,3,1
-71.87369084677418,94.97986388611386,3,1
,,3,1
-71.8691666890681,95.05179195804195,3,1
-71.8673401657706,95.0158279220779,3,1
-71.87610747759857,94.80004370629369,3,2
-71.875671922043,93.03780594405592,3,2
-71.87555952060931,92.96587787212785,3,2
-71.87526446684588,91.67117257742255,3,2
-71.8750537141577,91.38346028971027,3,2
-71.87474461021505,90.95189185814183,3,2
-71.87408425179211,90.75408966033964,3,2
-71.87371894713262,91.45538836163834,3,2
-71.87366274641576,92.39045329670327,3,2
-71.8735784453405,93.54130244755243,3,2
-71.8734660439068,94.67416958041956,3,2
,,3,2
-71.86925099014336,94.67416958041956,3,2
-71.86925099014336,93.05578796203794,3,2
-71.86920883960573,92.49834540459538,3,2
-71.86896998655914,92.35448926073924,3,2
-71.86882948476702,92.9119318181818,3,2
-71.86861873207884,94.2066371128871,3,2
-71.8681972267025,93.28955419580417,3,2
-71.86816912634409,92.85798576423575,3,2
-71.86805672491039,92.6062375124875,3,2
-71.86773357078853,92.6062375124875,3,2
-71.86750876792114,93.18166208791207,3,2
-71.86738231630824,94.33251123876121,3,2
-71.8673401657706,94.63820554445553,3,2
-71.64699848790323,84.48976023976024,4,1
-71.63886945564516,84.51373626373626,4,1
,,4,1
-71.64701354166667,84.20204795204796,4,2
-71.64648665994623,82.59565434565435,4,2
-71.64618558467743,80.96528471528472,4,2
-71.6459597782258,81.0372127872128,4,2
-71.64586945564515,80.38986013986015,4,2
-71.64538773521505,80.19805194805195,4,2
-71.64528235887097,79.59865134865136,4,2
-71.64457483198925,79.16708291708292,4,2
-71.64365655241936,78.85539460539461,4,2
-71.64254257392473,78.78346653346654,4,2
-71.64231676747312,79.1431068931069,4,2
-71.64165440188172,79.7425074925075,4,2
-71.64129311155914,80.29395604395604,4,2
-71.64081139112903,82.25999000999002,4,2
-71.64051031586023,83.72252747252747,4,2
-71.64040493951613,84.13011988011989,4,2
-71.64023934811829,83.98626373626374,4,2
-71.63990816532258,83.9383116883117,4,2
-71.63966730510754,83.98626373626374,4,2
-71.63950171370968,83.62662337662339,4,2
-71.63929096102152,83.98626373626374,4,2
-71.63892967069893,84.05819180819182,4,2
-71.63888450940861,84.17807192807193,4,2
