lat,h,pondid,typeid
-72.99660923611113,221.64488636363637,1,1
-72.99543131496416,221.63090034965035,1,1
-72.99442328629033,221.60292832167832,1,1
-72.99334730062725,221.5749562937063,1,1
-72.99271303539427,221.5749562937063,1,1
,,1,1
-72.99195418234768,221.6868444055944,1,1
-72.98958701388891,221.6728583916084,1,1
-72.99658658378137,221.4770541958042,1,2
-72.99639403897851,219.32320804195805,1,2
-72.99611088485663,219.40712412587413,1,2
-72.99591834005378,220.00852272727272,1,2
-72.99565783826166,220.302229020979,1,2
-72.99526142249105,219.9805506993007,1,2
-72.99501224686381,219.4770541958042,1,2
-72.99450256944445,219.53299825174824,1,2
-72.99404952284948,219.7987325174825,1,2
-72.99351719310037,220.1763548951049,1,2
-72.99312077732976,220.62390734265733,1,2
-72.99281497087814,221.0714597902098,1,2
-72.99271303539427,221.4770541958042,1,2
,,1,2
-72.99192020385306,221.42111013986013,1,2
-72.99147848342295,219.70083041958043,1,2
-72.99116135080646,219.15537587412587,1,2
-72.99090084901435,219.32320804195805,1,2
-72.99068565188173,219.00152972027973,1,2
-72.99047045474911,218.5819493006993,1,2
-72.99028923611112,218.51201923076923,1,2
-72.99014199596776,219.00152972027973,1,2
-72.98985884184589,219.4770541958042,1,2
-72.98958701388891,221.43509615384616,1,2
-72.89308911290321,209.55694305694306,2,1
-72.88237943548387,209.60489510489512,2,1
,,2,1
-72.88170846774193,209.65284715284716,2,1
-72.87698588709677,209.60489510489512,2,1
-72.89306330645161,209.38111888111888,2,2
-72.89239233870967,207.5909090909091,2,2
-72.89221169354838,207.31918081918081,2,2
-72.8920310483871,207.76673326673327,2,2
-72.89159233870967,207.43106893106892,2,2
-72.89120524193548,206.72777222777222,2,2
-72.89094717741935,206.8876123876124,2,2
-72.89053427419354,207.6068931068931,2,2
-72.89032782258064,208.0064935064935,2,2
-72.88994072580644,207.35114885114885,2,2
-72.88963104838709,207.06343656343657,2,2
-72.88932137096774,207.23926073926074,2,2
-72.88898588709677,207.31918081918081,2,2
-72.88857298387096,207.38311688311688,2,2
-72.88821169354839,207.55894105894106,2,2
-72.88733427419353,207.55894105894106,2,2
-72.88692137096774,207.495004995005,2,2
-72.88617298387096,207.52697302697302,2,2
-72.8856568548387,207.04745254745256,2,2
-72.88537298387097,207.23926073926074,2,2
-72.88526975806451,208.07042957042958,2,2
-72.88496008064516,209.07742257742257,2,2
-72.88477943548386,209.23726273726274,2,2
-72.88434072580644,208.7097902097902,2,2
-72.88408266129032,207.76673326673327,2,2
-72.88382459677419,207.55894105894106,2,2
-72.88354072580644,207.46303696303696,2,2
-72.88307620967741,207.75074925074927,2,2
-72.88274072580644,208.21428571428572,2,2
-72.88253427419355,209.06143856143856,2,2
-72.88237943548387,209.44505494505495,2,2
,,2,2
-72.88163104838709,209.14135864135864,2,2
-72.88134717741934,207.92657342657344,2,2
-72.88106330645161,207.31918081918081,2,2
-72.88067620967742,207.33516483516485,2,2
-72.88026330645161,206.8876123876124,2,2
-72.87979879032257,207.1113886113886,2,2
-72.87946330645161,207.43106893106892,2,2
-72.8790504032258,207.15934065934067,2,2
-72.87861169354838,208.486013986014,2,2
-72.87827620967741,208.23026973026973,2,2
-72.87796653225806,207.27122877122878,2,2
-72.87729556451612,208.0064935064935,2,2
-72.87690846774193,209.3971028971029,2,2
-71.87604425179211,95.06359265734264,3,1
-71.87354331989246,95.06359265734264,3,1
,,3,1
-71.8691737141577,95.18946678321676,3,1
-71.86731909050178,95.2254308191808,3,1
-71.87607235215053,94.90175449550448,3,2
-71.8754260439068,92.420236013986,3,2
-71.87500453853046,91.46718906093903,3,2
-71.8749342876344,91.3233329170829,3,2
-71.87461113351254,90.74790834165832,3,2
-71.87434418010751,89.9387175324675,3,2
,,3,2
-71.86908941308243,94.73991633366632,3,2
-71.86837285394265,93.7329233266733,3,2
-71.86799349910393,92.60005619380617,3,2
-71.86764224462365,93.30135489510488,3,2
-71.86741744175626,94.84780844155843,3,2
-71.64702106854838,84.6973026973027,4,1
-71.63898235887098,84.67332667332668,4,1
-71.64696085349462,84.43356643356644,4,2
-71.64622321908602,82.01198801198802,4,2
-71.64535010080645,80.04595404595405,4,2
-71.64470278897849,79.44655344655345,4,2
-71.64375440188172,78.91908091908093,4,2
-71.6425651545699,79.18281718281719,4,2
-71.64212859543011,79.71028971028971,4,2
-71.64140601478495,80.26173826173827,4,2
-71.64080386424732,81.94005994005994,4,2
-71.64057805779571,83.30669330669332,4,2
-71.6404275201613,84.001998001998,4,2
-71.63971999327957,84.24175824175825,4,2
-71.63901246639786,84.16983016983018,4,2
-71.638846875,84.45754245754246,4,2
