lat,h,pondid,typeid
-72.99658888440861,221.59812062937064,1,1
-72.99260207437277,221.62609265734267,1,1
,,1,1
-72.9920131137993,221.64007867132867,1,1
-72.9895213575269,221.5841346153846,1,1
-72.9966341890681,221.27644230769232,1,2
-72.99650960125449,219.8638548951049,1,2
-72.99649827508962,219.59812062937064,1,2
-72.99643031810037,219.22049825174824,1,2
-72.9963283826165,218.7869318181818,1,2
-72.99629440412187,218.64707167832168,1,2
-72.996192468638,219.31840034965035,1,2
-72.99613583781363,219.75196678321677,1,2
-72.99594329301077,219.69602272727272,1,2
-72.99573942204302,219.80791083916083,1,2
-72.99555820340503,219.72399475524475,1,2
-72.99533168010754,219.6680506993007,1,2
-72.99533168010754,219.44427447552448,1,2
-72.99524107078854,219.30441433566435,1,2
-72.99496924283154,219.22049825174824,1,2
-72.99482200268818,219.20651223776224,1,2
-72.99474271953406,219.3603583916084,1,2
-72.99457282706095,219.34637237762237,1,2
-72.99433497759858,219.44427447552448,1,2
-72.99408580197134,219.6540646853147,1,2
-72.99391590949821,219.7659527972028,1,2
-72.99367806003585,220.08763111888112,1,2
-72.99356479838711,220.22749125874125,1,2
-72.99337225358424,220.4512674825175,1,2
-72.99325899193549,220.60511363636363,1,2
-72.9931683826165,220.7729458041958,1,2
-72.993032468638,220.84287587412587,1,2
-72.99289655465951,220.84287587412587,1,2
-72.99279461917564,220.99672202797203,1,2
-72.99272666218639,221.20651223776224,1,2
-72.99265870519714,221.38833041958043,1,2
-72.99262472670252,221.54217657342656,1,2
-72.99261340053765,221.61210664335664,1,2
,,1,2
-72.99200178763442,221.52819055944056,1,2
-72.9919678091398,221.29042832167832,1,2
-72.99189985215055,220.8708479020979,1,2
-72.99186587365593,220.59112762237763,1,2
-72.99177526433694,220.29742132867133,1,2
-72.99172995967743,220.10161713286712,1,2
-72.99168465501793,219.84986888111888,1,2
-72.99163935035844,219.59812062937064,1,2
-72.99158271953407,219.40231643356643,1,2
-72.99150343637994,219.2624562937063,1,2
-72.99143547939069,219.0806381118881,1,2
-72.99135619623657,218.89881993006992,1,2
-72.9912089560932,218.7589597902098,1,2
-72.99114099910396,218.88483391608392,1,2
-72.99109569444445,218.95476398601397,1,2
-72.99100508512547,219.10861013986013,1,2
-72.99094845430109,219.1785402097902,1,2
-72.99088049731184,219.24847027972027,1,2
-72.99080121415771,219.23448426573427,1,2
-72.99074458333335,219.02469405594405,1,2
-72.99071060483872,218.81490384615384,1,2
-72.99072193100359,218.61909965034965,1,2
-72.99061999551972,218.49322552447552,1,2
-72.99048408154124,218.42329545454547,1,2
-72.99029153673837,218.42329545454547,1,2
-72.99016694892475,218.5631555944056,1,2
-72.9900989919355,218.7589597902098,1,2
-72.99008766577063,218.94077797202797,1,2
-72.99012164426524,219.1645541958042,1,2
-72.99003103494626,219.23448426573427,1,2
-72.98989512096776,219.2624562937063,1,2
-72.98983849014338,219.24847027972027,1,2
-72.98975920698926,219.43028846153845,1,2
-72.98975920698926,219.52819055944056,1,2
-72.98973655465952,219.69602272727272,1,2
-72.98972522849463,219.975743006993,1,2
-72.98962329301077,220.32539335664336,1,2
-72.98958931451614,220.66105769230768,1,2
-72.98955533602152,221.02469405594405,1,2
-72.98951003136202,221.3743444055944,1,2
-72.98951003136202,221.54217657342656,1,2
-72.89314596774193,209.55144855144854,2,1
-72.88235887096774,209.55144855144854,2,1
,,2,1
-72.88176532258063,209.55144855144854,2,1
-72.87683629032257,209.56743256743258,2,1
-72.89317177419355,209.55144855144854,2,2
-72.89296532258064,208.6883116883117,2,2
