lat,h,pondid,typeid
-72.99662622535843,221.52381993006992,1,1
-72.99562952284947,221.57976398601397,1,1
-72.99471210349463,221.53780594405595,1,1
-72.99382866263441,221.57976398601397,1,1
-72.99259411066309,221.59375,1,1
,,1,1
-72.99200515008962,221.62172202797203,1,1
-72.99143884184589,221.55179195804195,1,1
-72.99062335797493,221.57976398601397,1,1
-72.99002307123658,221.55179195804195,1,1
-72.9895247199821,221.55179195804195,1,1
-72.99661489919356,221.28605769230768,1,2
-72.99653561603944,219.7895541958042,1,2
-72.99630909274194,218.6846590909091,1,2
-72.99607124327957,219.3839597902098,1,2
-72.99577676299285,220.04130244755245,1,2
-72.9953916733871,219.53780594405595,1,2
-72.9949046482975,219.13221153846155,1,2
-72.9944176232079,219.25808566433565,1,2
-72.99411181675629,219.53780594405595,1,2
-72.99376070564517,219.76158216783216,1,2
-72.99329633288532,220.36298076923077,1,2
-72.99306980958782,220.7965472027972,1,2
-72.99283196012546,221.35598776223776,1,2
,,1,2
-72.99198249775986,221.3699737762238,1,2
-72.99175597446238,220.26507867132867,1,2
-72.99175597446238,219.76158216783216,1,2
-72.99150679883513,219.0902534965035,1,2
-72.9912576232079,218.54479895104896,1,2
-72.99090651209679,218.96437937062936,1,2
-72.99062335797493,218.5028409090909,1,2
-72.99047611783156,218.34899475524475,1,2
-72.99031755152332,218.06927447552448,1,2
-72.98989848342295,218.9923513986014,1,2
-72.98969461245521,219.8175262237762,1,2
-72.98958135080646,220.4888548951049,1,2
-72.98953604614697,221.45388986013987,1,2
-72.89307620967742,209.53046953046953,2,1
-72.89018588709676,209.4825174825175,2,1
-72.88693427419354,209.51448551448553,2,1
-72.88401814516128,209.4825174825175,2,1
-72.88236653225806,209.4985014985015,2,1
,,2,1
-72.8816697580645,209.4985014985015,2,1
-72.88014717741935,209.54645354645356,2,1
-72.87852137096773,209.4825174825175,2,1
-72.87686975806452,209.46653346653346,2,1
-72.89299879032258,209.06693306693307,2,2
-72.89284395161289,207.90009990009992,2,2
-72.89268911290321,207.8841158841159,2,2
-72.8922504032258,206.55744255744256,2,2
-72.89181169354838,207.2927072927073,2,2
-72.89116653225805,205.75824175824175,2,2
-72.89088266129032,206.47752247752248,2,2
-72.89067620967741,206.17382617382617,2,2
-72.89041814516128,207.6123876123876,2,2
-72.88974717741935,206.38161838161838,2,2
-72.88966975806451,206.74925074925076,2,2
-72.8894375,206.5894105894106,2,2
-72.88933427419354,206.84515484515484,2,2
-72.8888439516129,206.23776223776224,2,2
-72.88819879032258,207.11688311688312,2,2
-72.88755362903225,206.4935064935065,2,2
-72.88739879032258,206.7812187812188,2,2
-72.8868310483871,206.66933066933066,2,2
-72.88631491935483,207.14885114885115,2,2
-72.88554072580645,206.44555444555445,2,2
-72.88476653225806,208.7952047952048,2,2
-72.88435362903225,207.67632367632368,2,2
-72.88409556451612,207.42057942057943,2,2
-72.88376008064516,206.63736263736263,2,2
-72.88326975806451,207.4845154845155,2,2
-72.88254717741934,207.86813186813188,2,2
-72.8822633064516,209.32267732267732,2,2
,,2,2
-72.88172137096774,209.30669330669332,2,2
-72.88154072580645,207.86813186813188,2,2
-72.88130846774193,207.26073926073926,2,2
-72.88081814516129,207.18081918081919,2,2
-72.8804310483871,206.62137862137862,2,2
-72.8802504032258,205.71028971028971,2,2
-72.87950201612902,206.97302697302698,2,2
-72.8790633064516,206.26973026973027,2,2
-72.87852137096773,208.1878121878122,2,2
-72.8782633064516,207.86813186813188,2,2
-72.87792782258063,206.62137862137862,2,2
-72.8772568548387,206.9090909090909,2,2
-72.8768439516129,209.17882117882118,2,2
-71.87612152777777,94.99784590409588,3,1
-71.87459005824373,95.0158279220779,3,1
-71.87350819444444,94.96188186813185,3,1
,,3,1
-71.86913858870967,95.05179195804195,3,1
-71.86726991487454,95.0158279220779,3,1
-71.87617772849461,94.74609765234763,3,2
-71.87614962813619,94.27856518481516,3,2
-71.87600912634407,93.73910464535463,3,2
-71.87577027329749,93.07376998001996,3,2
-71.87555952060931,92.80403971028969,3,2
-71.8753066173835,91.6172265234765,3,2
-71.8750677643369,91.45538836163834,3,2
-71.87474461021505,90.70014360639358,3,2
-71.87456195788529,90.26857517482516,3,2
-71.87430905465949,90.73610764235762,3,2
-71.87402805107526,90.73610764235762,3,2
-71.87356439516128,91.76108266733264,3,2
-71.8737048969534,92.82202172827171,3,2
-71.8737048969534,93.70314060939059,3,2
-71.87345199372758,93.82901473526472,3,2
-71.87348009408602,94.87197177822176,3,2
,,3,2
-71.8690402374552,94.74609765234763,3,2
-71.86896998655914,94.5123314185814,3,2
-71.86870303315412,94.2066371128871,3,2
-71.86847823028673,93.5053384115884,3,2
-71.86836582885304,93.2176261238761,3,2
-71.86798647401433,92.3185252247752,3,2
-71.8677054704301,92.87596778221776,3,2
-71.86756496863799,92.92991383616382,3,2
-71.86741041666666,94.44040334665333,3,2
-71.8673261155914,94.76407967032965,3,2
-71.6470285954301,84.56168831168831,4,1
-71.64556838037635,84.5377122877123,4,1
-71.64212106854839,84.51373626373626,4,1
,,4,1
-71.64181999327957,84.58566433566435,4,1
-71.63886945564516,84.5377122877123,4,1
-71.6470285954301,84.36988011988012,4,2
-71.64678773521506,83.86638361638362,4,2
-71.64624579973118,81.01323676323676,4,2
-71.64592967069892,80.86938061938062,4,2
-71.6458092405914,80.07817182817183,4,2
-71.64559848790323,80.07817182817183,4,2
-71.64532752016129,79.31093906093906,4,2
-71.645146875,78.5437062937063,4,2
-71.6449963373656,78.59165834165834,4,2
-71.64487590725807,79.1431068931069,4,2
-71.64474042338709,79.11913086913087,4,2
-71.64442429435483,78.20804195804196,4,2
-71.64398773521505,77.80044955044956,4,2
-71.64321999327957,77.58466533466535,4,2
-71.64254257392473,77.80044955044956,4,2
