lat,h,pondid,typeid
-72.99652092741937,221.61210664335664,1,1
-72.996283077957,221.5701486013986,1,1
-72.99601125000001,221.59812062937064,1,1
-72.99572809587815,221.61210664335664,1,1
-72.99541096326166,221.61210664335664,1,1
-72.99518443996416,221.59812062937064,1,1
-72.99491261200718,221.61210664335664,1,1
-72.99464078405019,221.5841346153846,1,1
-72.99422171594983,221.5701486013986,1,1
-72.99400651881722,221.5841346153846,1,1
-72.99376866935485,221.59812062937064,1,1
-72.99350816756274,221.5841346153846,1,1
-72.99324766577062,221.5841346153846,1,1
-72.99310042562725,221.62609265734267,1,1
-72.99289655465951,221.62609265734267,1,1
-72.99272666218639,221.61210664335664,1,1
-72.9926360528674,221.59812062937064,1,1
,,1,1
-72.99194515681005,221.61210664335664,1,1
-72.99179791666668,221.59812062937064,1,1
-72.9914807840502,221.61210664335664,1,1
-72.9912089560932,221.64007867132867,1,1
-72.99100508512547,221.64007867132867,1,1
-72.99072193100359,221.62609265734267,1,1
-72.99047275537636,221.61210664335664,1,1
-72.99021225358425,221.61210664335664,1,1
-72.98995175179213,221.61210664335664,1,1
-72.98975920698926,221.59812062937064,1,1
-72.98960064068102,221.59812062937064,1,1
-72.99657755824373,221.1645541958042,1,2
-72.99657755824373,220.80091783216784,1,2
-72.99657755824373,220.43728146853147,1,2
-72.99655490591398,220.12958916083917,1,2
-72.99648694892474,219.84986888111888,1,2
-72.99647562275986,219.34637237762237,1,2
-72.99639633960574,219.05266608391608,1,2
-72.99630573028675,218.71700174825176,1,2
-72.99624909946237,219.01070804195805,1,2
-72.99615849014337,219.38833041958043,1,2
-72.9961471639785,219.6680506993007,1,2
-72.99598859767026,219.989729020979,1,2
-72.99586400985665,220.1575611888112,1,2
-72.99573942204302,220.50721153846155,1,2
-72.9956148342294,220.24147727272728,1,2
-72.99553555107528,219.947770979021,1,2
-72.99546759408604,219.61210664335664,1,2
-72.99538831093192,219.30441433566435,1,2
-72.99525239695342,219.24847027972027,1,2
-72.99495791666668,219.1785402097902,1,2
-72.9947653718638,219.13658216783216,1,2
-72.99466343637994,219.13658216783216,1,2
-72.9945048700717,219.3743444055944,1,2
-72.9943689560932,219.50021853146853,1,2
-72.99413110663083,219.68203671328672,1,2
-72.99393856182797,219.73798076923077,1,2
-72.9937460170251,219.83588286713288,1,2
-72.99364408154123,220.11560314685315,1,2
-72.99353081989248,220.25546328671328,1,2
-72.99344021057348,220.32539335664336,1,2
-72.99329297043012,220.39532342657344,1,2
-72.99315705645162,220.5631555944056,1,2
-72.99299849014338,220.94077797202797,1,2
-72.99279461917564,221.1925262237762,1,2
-72.99264737903226,221.43028846153845,1,2
-72.99261340053765,221.61210664335664,1,2
-72.99255676971327,221.947770979021,1,2
-72.9924548342294,222.22749125874125,1,2
-72.99234157258066,222.3813374125874,1,2
-72.99223963709679,222.24147727272728,1,2
-72.99214902777778,222.00371503496504,1,2
-72.99210372311829,221.68203671328672,1,2
-72.99208107078854,221.31840034965035,1,2
-72.99200178763442,221.03868006993008,1,2
-72.99193383064518,220.7449737762238,1,2
-72.99179791666668,220.3533653846154,1,2
-72.99167332885305,219.75196678321677,1,2
-72.99157139336918,219.34637237762237,1,2
-72.99140150089607,219.01070804195805,1,2
-72.99128823924733,218.98273601398603,1,2
-72.99114099910396,219.03868006993008,1,2
-72.99097110663084,219.1785402097902,1,2
-72.99082386648747,219.2624562937063,1,2
-72.99075590949822,219.05266608391608,1,2
-72.99074458333335,218.73098776223776,1,2
-72.9905407123656,218.47923951048952,1,2
-72.99041612455198,218.33937937062936,1,2
-72.99026888440862,218.33937937062936,1,2
-72.99016694892475,218.5631555944056,1,2
-72.9900989919355,218.89881993006992,1,2
-72.989963077957,219.1785402097902,1,2
-72.98980451164876,219.45826048951048,1,2
-72.98972522849463,219.75196678321677,1,2
-72.98970257616489,220.1575611888112,1,2
-72.98964594534051,220.54916958041957,1,2
-72.98960064068102,221.09462412587413,1,2
-72.98958931451614,221.43028846153845,1,2
-72.8928879032258,209.56743256743258,2,1
-72.89177822580645,209.53546453546454,2,1
-72.89004919354838,209.5194805194805,2,1
-72.88824274193547,209.56743256743258,2,1
-72.88633306451612,209.6153846153846,2,1
-72.88437177419354,209.55144855144854,2,1
-72.88318467741935,209.6153846153846,2,1
-72.88235887096774,209.64735264735265,2,1
-72.8821008064516,209.8711288711289,2,1
-72.88199758064515,209.67932067932068,2,1
-72.88155887096774,209.56743256743258,2,1
-72.8802685483871,209.6153846153846,2,1
-72.8786943548387,209.6153846153846,2,1
-72.87699112903225,209.58341658341658,2,1
-72.89293951612902,208.96003996003998,2,2
-72.89281048387096,208.3846153846154,2,2
-72.89278467741934,208.08091908091907,2,2
-72.89260403225806,208.000999000999,2,2
-72.89252661290323,207.72927072927072,2,2
-72.89237177419353,207.3136863136863,2,2
-72.8922943548387,207.0739260739261,2,2
-72.8919072580645,207.4895104895105,2,2
-72.89182983870967,207.32967032967034,2,2
-72.89162338709677,206.994005994006,2,2
-72.8914943548387,206.54645354645356,2,2
-72.8914685483871,206.1148851148851,2,2
-72.89121048387096,205.8911088911089,2,2
-72.89095241935483,206.32267732267732,2,2
-72.89095241935483,206.64235764235764,2,2
-72.89059112903225,206.94605394605395,2,2
-72.8905137096774,207.4095904095904,2,2
-72.89028145161289,207.82517482517483,2,2
-72.89028145161289,207.21778221778223,2,2
-72.890075,206.83416583416584,2,2
-72.89004919354838,206.46653346653346,2,2
-72.88976532258064,206.78621378621378,2,2
-72.88955887096773,206.67432567432567,2,2
-72.88912016129032,206.96203796203795,2,2
-72.88896532258063,206.77022977022978,2,2
-72.88837177419354,207.44155844155844,2,2
-72.88816532258063,207.3936063936064,2,2
-72.88754596774193,207.34565434565434,2,2
-72.88723629032258,207.16983016983016,2,2
-72.88702983870967,206.86613386613388,2,2
-72.88697822580644,206.72227772227774,2,2
-72.88656532258064,206.96203796203795,2,2
-72.88656532258064,207.24975024975026,2,2
-72.88625564516128,207.2817182817183,2,2
-72.88607499999999,206.96203796203795,2,2
-72.88571370967742,206.88211788211788,2,2
-72.88542983870967,207.00999000999002,2,2
