lat,h,pondid,typeid
-72.99653260752689,221.5701486013986,1,1
-72.99276099462367,221.59812062937064,1,1
,,1,1
-72.99195683691758,221.64007867132867,1,1
-72.98955568996418,221.59812062937064,1,1
-72.99656658602152,221.1785402097902,1,2
-72.99634006272402,218.99672202797203,1,2
-72.99609088709678,219.64007867132867,1,2
-72.9957737544803,220.3673513986014,1,2
-72.99567181899643,220.60511363636363,1,2
-72.99541131720432,220.01770104895104,1,2
-72.99518479390682,219.59812062937064,1,2
-72.99473174731183,219.38833041958043,1,2
-72.99435798387098,219.41630244755245,1,2
-72.99408615591399,219.3743444055944,1,2
-72.99402952508962,219.6540646853147,1,2
-72.99372371863801,219.90581293706293,1,2
-72.99349719534051,220.2694493006993,1,2
-72.99328199820789,220.5771416083916,1,2
-72.99303282258066,220.95476398601397,1,2
-72.99286293010753,221.38833041958043,1,2
,,1,2
-72.99196816308245,221.29042832167832,1,2
-72.9919455107527,220.99672202797203,1,2
-72.99178694444446,220.54916958041957,1,2
-72.99162837813621,220.22749125874125,1,2
-72.99156042114697,219.93378496503496,1,2
-72.99151511648746,219.64007867132867,1,2
-72.99133389784947,219.44427447552448,1,2
-72.99124328853048,219.12259615384616,1,2
-72.99088085125449,219.3743444055944,1,2
-72.9905184139785,218.5631555944056,1,2
-72.99032586917563,218.43728146853147,1,2
-72.99017862903227,218.54916958041957,1,2
-72.99000873655916,218.91280594405595,1,2
-72.98982751792116,219.64007867132867,1,2
-72.9896802777778,220.2834353146853,1,2
-72.98955568996418,221.4722465034965,1,2
-72.8930693548387,209.5994005994006,2,1
-72.88241129032258,209.55144855144854,2,1
,,2,1
-72.88176612903224,209.5194805194805,2,1
-72.87694032258064,209.55144855144854,2,1
-72.89312096774192,209.47152847152847,2,2
-72.89268225806451,208.03296703296704,2,2
-72.89250161290322,207.95304695304696,2,2
-72.89234677419354,207.2017982017982,2,2
-72.8918564516129,207.76123876123876,2,2
-72.89121129032257,206.05094905094904,2,2
-72.8910564516129,206.67432567432567,2,2
-72.89072096774193,206.83416583416584,2,2
-72.89033387096774,208.01698301698303,2,2
-72.88994677419355,207.13786213786213,2,2
-72.88961129032258,206.96203796203795,2,2
-72.88958548387096,206.51448551448553,2,2
-72.88935322580645,207.16983016983016,2,2
-72.8890435483871,207.32967032967034,2,2
-72.88883709677418,207.05794205794206,2,2
-72.88837258064515,207.47352647352648,2,2
-72.88788225806451,207.44155844155844,2,2
-72.8872887096774,207.5054945054945,2,2
-72.88690161290322,206.8181818181818,2,2
-72.8866693548387,207.44155844155844,2,2
-72.88630806451611,207.56943056943058,2,2
-72.88579193548387,207.1858141858142,2,2
-72.88550806451612,206.8181818181818,2,2
-72.8848629032258,209.13586413586415,2,2
-72.8846564516129,209.03996003996005,2,2
-72.88439838709677,208.52847152847153,2,2
-72.88421774193547,207.6973026973027,2,2
-72.88349516129031,207.26573426573427,2,2
-72.8830564516129,207.7772227772228,2,2
-72.88274677419354,207.8891108891109,2,2
-72.88235967741934,209.2957042957043,2,2
-72.88233387096773,209.5034965034965,2,2
,,2,2
-72.88176612903224,209.32767232767233,2,2
-72.88119838709676,207.24975024975026,2,2
-72.88075967741935,207.47352647352648,2,2
-72.88039838709676,207.13786213786213,2,2
-72.88029516129032,206.86613386613388,2,2
-72.87995967741935,206.73826173826174,2,2
-72.87965,207.37762237762237,2,2
-72.87921129032257,207.00999000999002,2,2
-72.87861774193547,208.52847152847153,2,2
-72.8782822580645,208.03296703296704,2,2
-72.87802419354838,207.15384615384616,2,2
-72.87779193548387,207.5054945054945,2,2
-72.87730161290322,207.6013986013986,2,2
-72.87691451612902,209.47152847152847,2,2
-71.8760896953405,94.96750124875123,3,1
-71.87351851254479,95.02144730269728,3,1
,,3,1
-71.86914890681003,95.05741133866132,3,1
-71.86729428315411,95.07539335664333,3,1
-71.8761037455197,94.85960914085912,3,2
-71.87562603942652,93.15131743256741,3,2
-71.87544338709677,92.75571303696302,3,2
-71.87531693548387,92.07239635364634,3,2
-71.87482517921146,91.24522352647351,3,2
-71.87434747311828,91.10136738261737,3,2
-71.87394001792114,91.19127747252745,3,2
-71.87375736559139,91.65880994005992,3,2
-71.87349041218637,94.733735014985,3,2
,,3,2
-71.86920510752688,94.75171703296701,3,2
-71.86921915770608,94.2302385114885,3,2
-71.86916295698924,93.5469218281718,3,2
-71.86909270609318,92.68378496503495,3,2
-71.86879765232975,93.65481393606392,3,2
-71.86868525089605,94.49996878121877,3,2
-71.86851664874551,94.33813061938059,3,2
-71.8683761469534,93.99647227772226,3,2
-71.8682496953405,93.58288586413585,3,2
-71.86817944444444,93.20526348651347,3,2
-71.86785629032258,92.6478209290709,3,2
-71.86771578853046,92.95351523476522,3,2
-71.86760338709676,93.76270604395603,3,2
-71.8675331362007,94.42804070929068,3,2
-71.8673926344086,94.80566308691307,3,2
-71.64708481182795,84.59315684315685,4,1
-71.63882029569893,84.61713286713288,4,1
-71.64702459677419,84.49725274725276,4,2
-71.64597083333334,81.21253746253747,4,2
-71.64589556451612,81.21253746253747,4,2
-71.64577513440861,80.75699300699301,4,2
-71.64532352150538,80.51723276723277,4,2
-71.64527836021506,79.98976023976024,4,2
-71.64472137096774,79.82192807192808,4,2
-71.64449556451613,79.1505994005994,4,2
-71.64401384408602,78.28746253746255,4,2
-71.64359233870968,77.99975024975025,4,2
-71.64305040322581,77.97577422577423,4,2
-71.64273427419356,78.52722277722279,4,2
-71.64225255376344,79.39035964035965,4,2
-71.64193642473118,79.10264735264735,4,2
-71.64148481182797,79.4383116883117,4,2
-71.6412439516129,79.00674325674326,4,2
-71.64100309139785,78.83891108891109,4,2
-71.64095793010753,80.90084915084915,4,2
-71.64088266129032,81.97977022977024,4,2
-71.64067190860216,82.81893106893108,4,2
-71.64059663978495,83.22652347652348,4,2
-71.64086760752689,84.2335164835165,4,2
-71.63885040322582,84.28146853146853,4,2
