lat,h,pondid,typeid
-72.99656305,221.6011655,1,1
-72.99616663,221.5871795,1,1
-72.9958948,221.6011655,1,1
-72.99521523,221.6011655,1,1
-72.99362957,221.6431235,1,1
-72.99263287,221.6291375,1,1
,,1,1
-72.9919986,221.6291375,1,1
-72.9895295,221.6431235,1,1
-72.99660835,221.5899766,1,2
-72.99650642,220.009557,1,2
-72.99639315,218.7927738,1,2
-72.99601939,219.6599067,1,2
-72.99575889,219.995571,1,2
-72.99529452,219.5060605,1,2
-72.99492075,219.2403263,1,2
-72.9946376,219.1424242,1,2
-72.99404864,219.3522144,1,2
-72.99351631,220.0235431,1,2
-72.99313122,220.8627039,1,2
-72.99265552,221.6039626,1,2
-72.9919986,221.6179486,1,2
-72.99196462,220.7787878,1,2
-72.99176075,220.2053612,1,2
-72.99154556,219.2403263,1,2
-72.99118312,218.7508158,1,2
-72.99089996,218.8067598,1,2
-72.99037896,218.0655011,1,2
-72.98981265,219.1004661,1,2
-72.98965409,220.1074591,1,2
-72.98954082,221.6459207,1,2
-72.8931129,209.5150183,2,1
-72.88235161,209.5150183,2,1
,,2,1
-72.88170645,209.5310023,2,1
-72.87677742,209.5789544,2,1
-72.89313871,209.5501831,2,2
-72.89295806,208.1276057,2,2
-72.8927,207.9038295,2,2
-72.89264839,206.9927406,2,2
-72.89213226,206.9447885,2,2
-72.8919,207.3124209,2,2
-72.89146129,206.1455877,2,2
-72.89112581,205.6340992,2,2
-72.8906871,206.5132201,2,2
-72.89037742,207.472261,2,2
-72.88996452,206.5931402,2,2
-72.8895,206.5451881,2,2
-72.88924194,207.0247086,2,2
-72.88893226,206.449284,2,2
-72.8883129,207.0726606,2,2
-72.88766774,206.5931402,2,2
-72.88743548,206.8488844,2,2
-72.88679032,206.5451881,2,2
-72.88645484,206.9927406,2,2
-72.88547419,206.0816516,2,2
-72.88475161,208.479254,2,2
-72.88366774,206.5132201,2,2
-72.88273871,207.392341,2,2
-72.88232581,209.438295,2,2
-72.88175806,209.5022311,2,2
-72.88147419,207.2325008,2,2
-72.88124194,206.6410922,2,2
-72.88067419,206.9927406,2,2
-72.88018387,206.0496836,2,2
-72.87953871,206.9447885,2,2
-72.87915161,206.3533799,2,2
-72.87873871,207.408325,2,2
-72.87860968,208.2714618,2,2
-72.87837742,207.6960373,2,2
-72.87819677,206.8648684,2,2
-72.87757742,207.2644688,2,2
-72.87703548,207.456277,2,2
-72.87677742,209.5661671,2,2
-71.87619771,94.99460532,3,1
-71.87350007,95.03056936,3,1
,,3,1
-71.86928502,95.04855138,3,1
-71.86723369,95.10249743,3,1
-71.87621176,94.95864129,3,2
-71.8757762,93.10649343,3,2
-71.87528444,91.61398594,3,2
-71.87477864,90.82277715,3,2
-71.87409018,90.85874119,3,2
-71.87371082,91.45214778,3,2
-71.87376703,93.71788204,3,2
-71.87342982,94.0775224,3,2
-71.87348602,95.03056936,3,2
,,3,2
-71.86929907,95.01258734,3,2
-71.86913047,92.3692307,3,2
-71.86859656,94.00559433,3,2
-71.86809075,92.62097895,3,2
-71.86758495,93.03456536,3,2
-71.86740229,94.45514478,3,2
-71.86721964,95.08451541,3,2
-71.64709516,84.57142843,4,1
-71.64194677,84.59540445,4,1
-71.63877043,84.57142843,4,1
-71.64712527,84.5474524,4,2
-71.64664355,82.58141844,4,2
-71.64613172,80.97502483,4,2
-71.64555968,79.99200785,4,2
-71.64476183,79.27272713,4,2
-71.64319624,78.67332653,4,2
-71.64224785,78.93706279,4,2
-71.64151022,80.18381604,4,2
-71.6406672,82.02996988,4,2
-71.64036613,83.85214771,4,2
-71.63929731,84.09190795,4,2
-71.63875538,84.5474524,4,2
