lat,h,pondid,typeid
-72.9965890361,221.5516655337,1,1
-72.9926269009,221.5611828688,1,1
-72.9920140745,221.5707002039,1,1
-72.9895263633,221.5707002039,1,1
-72.9965890361,221.5516655337,1,2
-72.9966133065,220.8569000680,1,2
-72.9965708333,220.4666893270,1,2
-72.9965404954,219.9908225697,1,2
-72.9965162250,219.6006118287,1,2
-72.9964737519,219.2484704283,1,2
-72.9963463326,218.9439157036,1,2
-72.9962189132,219.1437797417,1,2
-72.9961703725,219.4292997961,1,2
-72.9961036290,219.7719238613,1,2
-72.9959580069,220.0193745751,1,2
-72.9957759793,220.3524813052,1,2
-72.9956728303,220.3905506458,1,2
-72.9955332757,220.1716519375,1,2
-72.9954483295,219.9051665534,1,2
-72.9953269777,219.6196464990,1,2
-72.9952116935,219.2960571040,1,2
-72.9950418011,219.1057104011,1,2
-72.9948112327,219.0581237254,1,2
-72.9945927995,219.1818490823,1,2
-72.9943986367,219.2770224337,1,2
-72.9941984063,219.3055744392,1,2
-72.9939921083,219.5054384772,1,2
-72.9937615399,219.7719238613,1,2
-72.9936098502,220.0764785860,1,2
-72.9934581605,220.2953772944,1,2
-72.9932943356,220.6189666893,1,2
-72.9931790515,220.9425560843,1,2
-72.9929242127,221.0377294358,1,2
-72.9927421851,221.0853161115,1,2
-72.9926269009,221.2566281441,1,2
-72.9926086982,221.5516655337,1,2
,,1,2
-72.9920140745,221.5707002039,1,2
-72.9919837366,221.0567641061,1,2
-72.9918623848,220.4666893270,1,2
-72.9917349654,219.9337185588,1,2
-72.9915954109,219.4388171312,1,2
-72.9914983295,219.2865397689,1,2
-72.9913345046,219.1913664174,1,2
-72.9911949501,218.9629503739,1,2
-72.9910978687,218.9248810333,1,2
-72.9909583141,219.1532970768,1,2
-72.9908248272,219.2104010877,1,2
-72.9906792051,218.8011556764,1,2
-72.9905639209,218.4204622706,1,2
-72.9902908794,218.2110808973,1,2
-72.9900663786,218.7630863358,1,2
-72.9899753648,219.1342624065,1,2
-72.9898600806,219.2389530931,1,2
-72.9897265937,219.5054384772,1,2
-72.9896234447,220.0859959211,1,2
-72.9895809716,220.6189666893,1,2
-72.9895263633,221.1614547927,1,2
-72.9895202957,221.5707002039,1,2
-72.8930882488,209.5064581917,2,1
-72.8822357143,209.5173351462,2,1
-72.8819453917,209.5173351462,2,1
-72.8767887097,209.5390890551,2,1
-72.8930744240,209.4955812373,2,2
-72.8930329493,208.9191026513,2,2
-72.8929361751,208.3970088375,2,2
-72.8928117512,207.9510537050,2,2
-72.8926320276,207.5377294358,2,2
-72.8924799539,207.2114208022,2,2
-72.8922587558,206.8851121686,2,2
-72.8920928571,206.8633582597,2,2
-72.8920237327,207.3310673012,2,2
-72.8918301843,207.5268524813,2,2
-72.8916781106,207.2875594833,2,2
-72.8915398618,206.8959891230,2,2
-72.8914292627,206.4717878994,2,2
-72.8912633641,205.9932019035,2,2
-72.8911251152,205.8626784500,2,2
-72.8909868664,206.0693405846,2,2
-72.8907794931,206.5044187627,2,2
-72.8905306452,206.8198504419,2,2
-72.8904338710,207.1896668933,2,2
-72.8903370968,207.7552685248,2,2
-72.8902403226,207.3636981645,2,2
-72.8901573733,207.1026512576,2,2
-72.8900191244,207.0265125765,2,2
-72.8897702765,206.9177430320,2,2
-72.8896735023,206.6240652617,2,2
-72.8895214286,206.5588035350,2,2
-72.8893831797,206.9503738953,2,2
-72.8892172811,207.0265125765,2,2
-72.8890652074,206.8089734874,2,2
-72.8889822581,206.6240652617,2,2
-72.8885536866,206.7763426241,2,2
-72.8884983871,207.1026512576,2,2
-72.8883186636,207.2549286200,2,2
-72.8880698157,207.2658055744,2,2
-72.8879315668,207.2440516655,2,2
-72.8876688940,207.3093133923,2,2
-72.8873785714,207.1461590755,2,2
-72.8871850230,206.8307273963,2,2
-72.8868670507,206.6784500340,2,2
-72.8865905530,207.0808973487,2,2
-72.8864937788,207.2005438477,2,2
-72.8861758065,206.9394969409,2,2
-72.8858716590,206.7654656696,2,2
-72.8854292627,206.8198504419,2,2
-72.8851942396,207.1461590755,2,2
-72.8850974654,207.5812372536,2,2
-72.8850145161,208.2229775663,2,2
-72.8849868664,208.7233174711,2,2
-72.8848071429,209.0605030591,2,2
-72.8846412442,209.0061182869,2,2
-72.8845168203,208.7124405167,2,2
-72.8844062212,208.2882392930,2,2
-72.8843370968,207.8749150238,2,2
-72.8842264977,207.5268524813,2,2
-72.8839638249,207.1896668933,2,2
-72.8836320276,207.0373895309,2,2
-72.8831619816,207.3310673012,2,2
-72.8828163594,207.7008837525,2,2
-72.8825122120,208.1142080218,2,2
-72.8823739631,208.6036709721,2,2
-72.8822633641,209.0822569680,2,2
-72.8822357143,209.5064581917,2,2
,,2,2
-72.8819453917,209.5282121006,2,2
-72.8819177419,208.9843643780,2,2
-72.8817794931,208.5492861999,2,2
-72.8816550691,208.0707002039,2,2
-72.8814338710,207.4833446635,2,2
-72.8812403226,207.2114208022,2,2
-72.8811573733,206.8089734874,2,2
-72.8810191244,206.6566961251,2,2
-72.8809223502,206.9830047587,2,2
-72.8807841014,207.2331747111,2,2
-72.8805767281,207.2114208022,2,2
-72.8804661290,206.8524813052,2,2
-72.8803140553,206.6023113528,2,2
-72.8800652074,206.1781101292,2,2
-72.8798993088,206.1781101292,2,2
-72.8798163594,206.5261726717,2,2
-72.8797057604,206.8742352141,2,2
-72.8795536866,207.2114208022,2,2
-72.8794154378,206.9177430320,2,2
-72.8793324885,206.5370496261,2,2
-72.8792218894,206.1781101292,2,2
-72.8790421659,206.6023113528,2,2
-72.8788624424,206.8742352141,2,2
-72.8787241935,207.3419442556,2,2
-72.8786135945,207.8422841604,2,2
-72.8785444700,208.3317471108,2,2
-72.8784753456,208.0054384772,2,2
-72.8782956221,207.8640380693,2,2
-72.8782541475,207.0808973487,2,2
-72.8780744240,206.9286199864,2,2
-72.8778117512,207.1244051666,2,2
-72.8776043779,207.4180829368,2,2
-72.8774246544,207.3745751190,2,2
-72.8771896313,207.5921142080,2,2
-72.8770099078,208.0054384772,2,2
-72.8769960829,208.3426240653,2,2
-72.8769131336,208.4731475187,2,2
-72.8768301843,209.0713800136,2,2
-72.8768025346,209.5390890551,2,2
-71.8761561828,95.0112168593,3,1
-71.8734991935,94.9989802855,3,1
-71.8692239247,94.9989802855,3,1
-71.8672368280,95.0112168593,3,1
-71.8761561828,95.0112168593,3,2
-71.8760809140,94.3259687288,3,2
-71.8759680108,93.7263766145,3,2
-71.8758250000,93.3225696805,3,2
-71.8757120968,92.9187627464,3,2
-71.8755766129,92.6862678450,3,2
-71.8754637097,92.2579877634,3,2
-71.8753357527,91.8052345343,3,2
-71.8752303763,91.4993201903,3,2
-71.8749895161,91.1566961251,3,2
-71.8747110215,90.8752549286,3,2
-71.8744626344,90.7284160435,3,2
-71.8742368280,90.7773623385,3,2
-71.8740411290,90.9976206662,3,2
-71.8738077957,91.4503738953,3,2
-71.8737325269,92.0622025833,3,2
-71.8736647849,92.5516655337,3,2
-71.8736196237,93.1634942216,3,2
-71.8735669355,94.0322909585,3,2
-71.8735293011,94.5217539089,3,2
-71.8734916667,95.0112168593,3,2
,,3,2
-71.8692239247,95.0112168593,3,2
-71.8692163978,94.3871515976,3,2
-71.8692163978,93.5795377294,3,2
-71.8692088710,92.9677090415,3,2
-71.8690959677,92.4537729436,3,2
-71.8689981183,92.2579877634,3,2
-71.8689077957,92.6495581237,3,2
-71.8688325269,93.1512576479,3,2
-71.8687647849,93.6040108770,3,2
-71.8686970430,93.9588715160,3,2
-71.8686293011,94.1057104011,3,2
-71.8685314516,94.0690006798,3,2
-71.8684336022,93.8120326309,3,2
-71.8683508065,93.4326988443,3,2
-71.8682529570,93.0288919103,3,2
-71.8681174731,92.7229775663,3,2
-71.8679970430,92.6128484024,3,2
-71.8678465054,92.7841604351,3,2
-71.8677411290,93.0044187627,3,2
-71.8676131720,93.3348062542,3,2
-71.8674927419,93.7386131883,3,2
-71.8673798387,94.2158395649,3,2
-71.8672819892,94.6074099252,3,2
-71.8672293011,95.0234534330,3,2
-71.6470657258,84.5859959211,4,1
-71.6388399194,84.5370496261,4,1
-71.6470657258,84.6023113528,4,2
-71.6468883065,83.9007477906,4,2
-71.6467431452,83.3297076818,4,2
-71.6465495968,82.6607749830,4,2
-71.6464044355,82.1713120326,4,2
-71.6462673387,81.7307953773,4,2
-71.6461544355,81.3065941536,4,2
-71.6460657258,80.9802855201,4,2
-71.6459447581,80.9313392250,4,2
-71.6458721774,80.5071380014,4,2
-71.6457350806,80.0503059143,4,2
-71.6455254032,80.2624065262,4,2
-71.6454125000,79.9687287559,4,2
-71.6453399194,79.4466349422,4,2
-71.6453076613,78.9082256968,4,2
-71.6452350806,78.4840244731,4,2
-71.6451544355,78.2719238613,4,2
-71.6450012097,78.5003399048,4,2
-71.6449366935,79.2997960571,4,2
-71.6448237903,79.4629503739,4,2
-71.6446383065,79.0061182869,4,2
-71.6444770161,78.8592794018,4,2
-71.6443560484,78.6798096533,4,2
-71.6441302419,78.0598232495,4,2
-71.6438237903,77.9129843644,4,2
-71.6434044355,77.7661454793,4,2
-71.6429447581,77.8477226377,4,2
-71.6425334677,78.4677090415,4,2
-71.6421705645,79.0713800136,4,2
-71.6417592742,79.5118966689,4,2
-71.6412431452,80.1645139361,4,2
-71.6409447581,80.9313392250,4,2
-71.6406625000,81.6981645139,4,2
-71.6405092742,82.4976206662,4,2
-71.6403641129,83.1012916383,4,2
-71.6401625000,83.4928619986,4,2
-71.6398479839,83.5091774303,4,2
-71.6396463710,83.3460231135,4,2
-71.6395173387,83.2807613868,4,2
-71.6393883065,83.4928619986,4,2
-71.6391866935,83.7212780421,4,2
-71.6388883065,84.0312712441,4,2
-71.6388479839,84.5859959211,4,2
