lat,h,pondid,typeid
-72.996620562276,221.56577797202797,1,1
-72.99262242607529,221.63570804195805,1,1
,,1,1
-72.99202213933692,221.60773601398603,1,1
-72.98950773073479,221.63570804195805,1,1
-72.99654127912187,221.2021416083916,1,2
-72.99636006048388,219.23011363636363,1,2
-72.99587303539427,220.6986451048951,1,2
-72.99564651209678,220.64270104895104,1,2
-72.99511418234768,219.76158216783216,1,2
-72.99479704973119,219.67766608391608,1,2
-72.99453654793908,219.62172202797203,1,2
-72.9941288060036,219.7056381118881,1,2
-72.99378902105735,220.08326048951048,1,2
-72.99363045474911,220.54479895104896,1,2
-72.99324536514338,221.13221153846155,1,2
,,1,2
-72.99192020385306,221.27207167832168,1,2
-72.9917276590502,220.47486888111888,1,2
-72.9915011357527,219.66368006993008,1,2
-72.99144450492832,219.50983391608392,1,2
-72.99129726478496,219.4818618881119,1,2
-72.99113869847672,219.14619755244755,1,2
-72.99090084901435,219.4818618881119,1,2
-72.99074228270611,219.24409965034965,1,2
-72.99062902105736,218.9084353146853,1,2
-72.99052708557349,218.600743006993,1,2
-72.99042515008962,218.51682692307693,1,2
-72.990300562276,218.4888548951049,1,2
-72.99019862679214,219.28605769230768,1,2
-72.98992679883514,219.3699737762238,1,2
-72.98982486335127,219.83151223776224,1,2
-72.98970027553764,220.41892482517483,1,2
-72.98960966621866,221.34200174825176,1,2
-72.89363104838709,209.5944055944056,2,1
-72.88232782258063,209.54645354645356,2,1
,,2,1
-72.88183749999999,209.53046953046953,2,1
-72.87693427419354,209.54645354645356,2,1
-72.89288266129032,209.1148851148851,2,2
-72.89267620967742,208.1078921078921,2,2
-72.89254717741935,208.17182817182817,2,2
-72.89236653225805,207.32467532467533,2,2
-72.89190201612902,207.8041958041958,2,2
-72.89164395161289,207.5964035964036,2,2
-72.89133427419354,206.7012987012987,2,2
-72.89123104838708,206.14185814185814,2,2
-72.89110201612903,206.6853146853147,2,2
-72.89081814516128,206.84515484515484,2,2
-72.89035362903225,208.12387612387613,2,2
-72.88991491935484,207.22877122877122,2,2
-72.88970846774193,207.03696303696304,2,2
-72.88955362903225,206.97302697302698,2,2
-72.88939879032257,207.13286713286715,2,2
-72.88916653225806,207.4045954045954,2,2
-72.8888568548387,207.26073926073926,2,2
-72.88875362903225,207.11688311688312,2,2
-72.88857298387096,207.3886113886114,2,2
-72.88823749999999,207.62837162837164,2,2
-72.88797943548386,207.56443556443557,2,2
-72.88790201612902,207.3886113886114,2,2
-72.88774717741934,207.53246753246754,2,2
-72.88741169354837,207.56443556443557,2,2
-72.88720524193548,207.43656343656343,2,2
-72.88715362903226,207.26073926073926,2,2
-72.88684395161289,206.9090909090909,2,2
-72.8868697580645,207.56443556443557,2,2
-72.88656008064515,207.5964035964036,2,2
-72.8862762096774,207.82017982017982,2,2
-72.88591491935483,207.21278721278722,2,2
-72.88550201612902,206.7012987012987,2,2
-72.88511491935483,209.002997002997,2,2
-72.88508911290322,208.95504495504497,2,2
,,2,2
-72.88462459677419,209.17882117882118,2,2
-72.8844439516129,208.71528471528472,2,2
-72.8842633064516,208.33166833166834,2,2
-72.88418588709676,207.86813186813188,2,2
