lat,h,pondid,typeid
-72.99663289150881,221.55361276906686,1,1
-72.99266873380273,221.62354283899694,1,1
,,1,1
-72.99201181624001,221.63752885298297,1,1
-72.98954271229735,221.5815847970389,1,1
-72.99663289150881,221.55361276906686,1,2
-72.99634973738695,218.686479901934,1,2
-72.99614586641921,219.7913750068291,1,2
-72.99576077681347,220.49067570612982,1,2
-72.99522844706438,219.34382255927667,1,2
-72.9946394864909,219.1759903914445,1,2
-72.99437898469878,219.53962675508086,1,2
-72.99373339330093,219.87529109074518,1,2
-72.99350687000344,220.30885752431163,1,2
-72.99283862627584,221.03613025158435,1,2
-72.9926800599676,221.60955682501094,1,2
,,1,2
-72.99200049007513,221.63752885298297,1,2
-72.99195518541563,220.93822815368225,1,2
-72.99150213882065,219.25990647536057,1,2
-72.9909018520823,219.21794843340254,1,2
-72.99051676247656,218.43473165018574,1,2
-72.99012034670595,218.44871766417177,1,2
-72.9897918879246,219.2039624194165,1,2
-72.98953138613248,221.5675987830529,1,2
-72.89322043063255,209.56749890734267,2,1
-72.88235591450352,209.53553087537463,2,1
,,2,1
-72.8819172048261,209.55151489135864,2,1
-72.87683333385836,209.5035628434066,2,1
-72.89327204353577,209.58348292332667,2,2
-72.89244623708417,207.0100563499001,2,2
-72.89180107579385,207.6174489572927,2,2
-72.89113010805191,206.0030633429071,2,2
-72.89043333385835,207.77728911713288,2,2
-72.88981397901965,206.41864775849152,2,2
-72.88940107579384,206.46659980644355,2,2
-72.88916881772933,207.07399241383618,2,2
-72.888523656439,207.07399241383618,2,2
-72.88818817256804,207.42564076548453,2,2
-72.88738817256804,207.34572068556443,2,2
-72.88702688224545,206.8182481580919,2,2
-72.8866913983745,206.8022641421079,2,2
-72.88666559192288,207.32973666958043,2,2
-72.88627849514869,207.45760879745256,2,2
-72.8857365596648,206.62643996628373,2,2
-72.88524623708416,207.07399241383618,2,2
-72.88491075321319,209.0240423638861,2,2
-72.88460107579384,208.75231409215786,2,2
-72.88429139837449,207.72933706918081,2,2
-72.88385268869708,207.0260403658841,2,2
-72.88297526934223,207.21784855769232,2,2
-72.882923656439,207.79327313311688,2,2
-72.88261397901965,207.80925714910092,2,2
-72.88235591450352,209.5195468593906,2,2
,,2,2
-72.8819172048261,209.53553087537463,2,2
-72.88119462418094,206.48258382242759,2,2
-72.88078172095513,207.26580060564436,2,2
-72.88021397901964,206.19487153471528,2,2
-72.87990430160029,206.2108555506993,2,2
-72.87954301127772,207.21784855769232,2,2
-72.8791043016003,206.48258382242759,2,2
-72.87858817256803,208.3207456605894,2,2
-72.878123656439,206.914152253996,2,2
-72.8777107532132,207.34572068556443,2,2
-72.8771172048261,207.45760879745256,2,2
-72.87680752740674,209.48757882742257,2,2
-71.87618599789636,94.93496508984178,3,1
-71.87351646384617,94.91698307185976,3,1
,,3,1
-71.86921710900747,95.00689316176985,3,1
-71.86730628463471,95.02487517975187,3,1
-71.87618599789636,94.91698307185976,3,2
-71.8757504423408,93.04685320172989,3,2
-71.8755115892942,92.72317687805356,3,2
-71.87523058570997,91.39250754738424,3,2
-71.874766929796,90.92497507985176,3,2
-71.87399416993937,91.01488516976185,3,2
-71.87381151760962,91.39250754738424,3,2
-71.87374126671357,93.8560440109207,3,2
-71.87351646384617,93.8560440109207,3,2
-71.87351646384617,94.89900105387774,3,2
,,3,2
-71.8692452093659,94.97092912580581,3,2
-71.86896420578167,94.28761244248913,3,2
-71.8686410516598,94.26963042450711,3,2
-71.86810714484976,92.70519486007154,3,2
-71.8676715892942,92.74115889603559,3,2
-71.86730628463471,95.02487517975187,3,2
-71.64717293937437,84.57822158310441,4,1
-71.64205465980449,84.60219760708043,4,1
-71.63880304690126,84.62617363105645,4,1
-71.64715788561092,84.60219760708043,4,2
-71.64613422969695,81.10169810658093,4,2
-71.64593853077221,81.173626178509,4,2
-71.6457127243206,80.38241738730021,4,2
-71.6454116490518,80.21458521946803,4,2
-71.6452310038905,78.5842155890984,4,2
-71.64503530496577,78.68011968500251,4,2
-71.64499014367544,79.71108871597153,4,2
-71.64458369206254,79.11168811657093,4,2
-71.64410197163244,78.00879101367383,4,2
-71.64280734797653,77.98481498969781,4,2
-71.64234068130986,79.20759221247503,4,2
-71.64170842324535,79.51928052416335,4,2
-71.64083530496578,81.50929051417333,4,2
-71.64065465980448,84.05074905563187,4,2
-71.63895358453567,84.0747250796079,4,2
-71.63880304690126,84.57822158310441,4,2
