,lat,h,pondid,typeid
0,-72.99657979993816,221.36465617826767,1,2
1,-72.99654582144352,221.0429778565894,1,2
2,-72.99647786445428,220.1199009335124,1,2
3,-72.99638725513528,219.2667540803656,1,2
4,-72.99634195047578,219.0849358985474,1,2
5,-72.99614940567291,219.64437645798802,1,2
6,-72.99596818703492,220.1199009335124,1,2
7,-72.9957982945618,220.59542540903686,1,2
8,-72.99545850961556,220.0219988356104,1,2
9,-72.9950394415152,219.77025058386207,1,2
10,-72.99437119778759,219.5744463880579,1,2
11,-72.99381621570875,219.7562645698761,1,2
12,-72.99357836624638,220.24577505938655,1,2
13,-72.9933065382894,220.5534673637444,1,2
14,-72.99288747018905,221.1268939371709,1,2
15,-72.9926496207267,221.37864218891917,1,2
16,,,1,2
17,-72.99202668165856,221.37864218891917,1,2
18,-72.99159628739334,219.9380827483597,1,2
19,-72.99135843793098,219.25276806304504,1,2
20,-72.99117721929298,219.07094988122685,1,2
21,-72.99088273900625,219.21081002108698,1,2
22,-72.99031643076252,218.35766316794013,1,2
23,-72.9900672551353,218.8611596714367,1,2
24,-72.9900672551353,219.16885197912896,1,2
25,-72.9898407318378,219.32269813297512,1,2
26,-72.98954625155105,221.40661421689117,1,2
27,-72.9966477569274,221.61174256651555,1,1
28,-72.99260431606717,221.63971459448757,1,1
29,,,1,1
30,-72.99197005083421,221.62106643356643,1,1
31,-72.98954625155105,221.64903846153842,1,1
32,,,1,1
33,-72.89307365604523,209.19097565032624,2,2
34,-72.89281559152909,208.1679986273492,2,2
35,-72.89263494636779,208.15201461136522,2,2
36,-72.89237688185167,207.2728937322443,2,2
37,-72.89186075281944,207.81635027570087,2,2
38,-72.89124139798069,205.89826835761892,2,2
39,-72.89093172056134,206.63353309288368,2,2
40,-72.89067365604522,206.92124538059602,2,2
41,-72.89036397862589,207.976190435541,2,2
42,-72.89005430120652,207.16100562035618,2,2
43,-72.88984784959362,207.08108554043613,2,2
44,-72.88930591410974,207.08108554043613,2,2
45,-72.8888413979807,207.3368297961804,2,2
46,-72.88742204314201,207.43273389208446,2,2
47,-72.88685430120653,206.6655011248517,2,2
48,-72.88649301088394,207.3528138121644,2,2
49,-72.88546075281943,206.4577089170595,2,2
50,-72.88494462378715,208.99916745851812,2,2
51,-72.88396397862589,207.28887774822837,2,2
52,-72.88365430120652,207.0491175084681,2,2
53,-72.88334462378718,207.3528138121644,2,2
54,-72.8828543012065,207.8802863396369,2,2
55,-72.88251881733555,207.944222403573,2,2
56,-72.88215752701295,209.19097565032624,2,2
57,,,2,2
58,-72.88179623669039,209.17499175629055,2,2
59,-72.88135752701297,207.40076598206485,2,2
60,-72.88068655927106,207.24092582222463,2,2
61,-72.88009301088394,206.63353321483208,2,2
62,-72.879422043142,207.25690983820868,2,2
63,-72.87911236572266,206.90526148656033,2,2
64,-72.878622043142,208.42374300504184,2,2
65,-72.87810591410974,207.04911763041645,2,2
66,-72.87769301088395,207.5126540939529,2,2
67,-72.87707365604524,207.6565102378091,2,2
68,-72.8768155915291,209.20695978825862,2,2
69,,,2,2
70,,,2,2
71,-72.89307365604523,209.52131201623084,2,1
72,-72.88236397862588,209.5692640641829,2,1
73,,,2,1
74,-72.88169301088394,209.5692640641829,2,1
75,-72.87691881733555,209.5852480801669,2,1
76,-71.87614823782533,94.8102522420359,3,2
77,-71.87553002994004,92.47258990437356,3,2
78,-71.87478537044183,90.99806442984809,3,2
79,-71.87404071094362,90.92613635792002,3,2
80,-71.87363325574648,91.73532716711081,3,2
81,-71.87382995825543,94.60645604395604,3,2
82,-71.87325390090777,94.89416833166833,3,2
83,,,3,2
84,-71.8692355496533,94.82224025974024,3,2
85,-71.86839253890061,94.21085164835164,3,2
86,-71.86820988657084,92.97009240759242,3,2
87,-71.86760572886476,93.06000249750248,3,2
88,-71.8672825747429,94.82224025974024,3,2
89,-71.87609203710849,95.02004245754244,3,1
90,-71.87356300485042,95.05600649350649,3,1
91,,,3,1
92,-71.86924959983251,95.0739885114885,3,1
93,-71.86722637402606,95.09197052947052,3,1
94,-71.64702710581133,84.2669830779572,4,2
95,-71.64598839613392,80.95829176926591,4,2
96,-71.6454314068866,80.11913093010507,4,2
97,-71.64464861118769,79.42382623480036,4,2
98,-71.6433690412952,78.87237768335181,4,2
99,-71.64269162194037,78.89635370732782,4,2
100,-71.64217979398337,79.27997009094422,4,2
101,-71.64135183699412,80.2390110499852,4,2
102,-71.64085506280058,81.58166839264251,4,2
103,-71.64058409505866,83.02022983120396,4,2
104,-71.64058409505866,84.02722283819695,4,2
105,-71.64707226710166,84.57867138964552,4,1
106,-71.64067441763929,84.57867138964552,4,1
