lat,h,pondid,typeid
-72.9965964631,221.5679657795,1,1
-72.9926283715,221.5613117871,1,1
-72.9920052163,221.5879277567,1,1
-72.9895246565,221.6078897338,1,1
-72.9966004835,221.5613117871,1,2
-72.9965723410,220.9291825095,1,2
-72.9965602799,220.3769011407,1,2
-72.9964919338,219.7846958175,1,2
-72.9964356489,219.3588403042,1,2
-72.9963230789,218.9596007605,1,2
-72.9961984478,219.3322243346,1,2
-72.9961743257,219.6848859316,1,2
-72.9960657761,220.0308935361,1,2
-72.9959089822,220.0841254753,1,2
-72.9957803308,220.3835551331,1,2
-72.9956476590,220.3835551331,1,2
-72.9954908651,220.1240494297,1,2
-72.9953220102,219.8179657795,1,2
-72.9951531552,219.5384980989,1,2
-72.9949440967,219.3921102662,1,2
-72.9945943257,219.3921102662,1,2
-72.9944576336,219.3921102662,1,2
-72.9942043511,219.3854562738,1,2
-72.9938626209,219.7846958175,1,2
-72.9935771756,220.3902091255,1,2
-72.9933118321,220.8094106464,1,2
-72.9931027735,220.9358365019,1,2
-72.9928213486,221.0289923954,1,2
-72.9926926972,221.2153041825,1,2
-72.9926283715,221.5480038023,1,2
,,1,2
-72.9920052163,221.5679657795,1,2
-72.9919006870,220.9890684411,1,2
-72.9918082188,220.4434410646,1,2
-72.9916554453,219.9576996198,1,2
-72.9915026718,219.5384980989,1,2
-72.9913418575,219.1858365019,1,2
-72.9912132061,218.9329847909,1,2
-72.9910724936,219.0527566540,1,2
-72.9908513740,219.1991444867,1,2
-72.9907428244,218.9396387833,1,2
-72.9906222137,218.5936311787,1,2
-72.9904372774,218.3940114068,1,2
-72.9901759542,218.4805133080,1,2
-72.9900714249,218.7932509506,1,2
-72.9899910178,219.0926806084,1,2
-72.9898623664,219.2324144487,1,2
-72.9897256743,219.6516159696,1,2
-72.9896854707,220.1040874525,1,2
-72.9895930025,220.5565589354,1,2
-72.9895608397,220.9691064639,1,2
-72.9895286768,221.6078897338,1,2
-72.8930541985,209.4942965779,2,1
-72.8768129771,209.5323193916,2,1
-72.8930541985,209.4714828897,2,2
-72.8929442748,208.7946768061,2,2
-72.8927977099,208.2623574144,2,2
-72.8926694656,207.8517110266,2,2
-72.8925503817,207.7756653992,2,2
-72.8924679389,207.5095057034,2,2
-72.8923488550,207.2509505703,2,2
-72.8922114504,206.8859315589,2,2
-72.8920557252,207.1977186312,2,2
-72.8920557252,207.4106463878,2,2
-72.8918358779,207.4562737643,2,2
-72.8916984733,207.3117870722,2,2
-72.8916251908,207.0836501901,2,2
-72.8914786260,206.9771863118,2,2
-72.8914786260,206.6730038023,2,2
-72.8913687023,206.3688212928,2,2
-72.8912770992,206.0646387833,2,2
-72.8911854962,206.0342205323,2,2
-72.8910572519,206.3612167300,2,2
-72.8909290076,206.5589353612,2,2
-72.8908282443,206.6730038023,2,2
-72.8906267176,207.0152091255,2,2
-72.8905625954,207.3269961977,2,2
-72.8904251908,207.6920152091,2,2
-72.8903519084,207.7984790875,2,2
-72.8902236641,207.5399239544,2,2
-72.8900770992,207.2357414449,2,2
-72.8899946565,206.9315589354,2,2
-72.8898389313,207.0456273764,2,2
-72.8897290076,206.9771863118,2,2
-72.8896465649,206.6882129278,2,2
-72.8894725191,206.5893536122,2,2
-72.8892893130,206.8631178707,2,2
-72.8892160305,207.0760456274,2,2
-72.8890053435,207.0760456274,2,2
-72.8889412214,206.8555133080,2,2
-72.8887488550,206.5665399240,2,2
-72.8885290076,206.5665399240,2,2
-72.8884282443,207.0608365019,2,2
-72.8883458015,207.3117870722,2,2
-72.8881809160,207.4790874525,2,2
-72.8879793893,207.4106463878,2,2
-72.8878969466,207.2205323194,2,2
-72.8877778626,207.1444866920,2,2
-72.8876954198,207.3041825095,2,2
-72.8875213740,207.3041825095,2,2
-72.8873931298,207.0836501901,2,2
-72.8872465649,206.8555133080,2,2
-72.8870633588,207.0228136882,2,2
-72.8868435115,206.6882129278,2,2
-72.8867519084,206.8935361217,2,2
-72.8866969466,207.2129277567,2,2
-72.8864770992,207.2965779468,2,2
-72.8863030534,207.2813688213,2,2
-72.8861198473,207.1901140684,2,2
-72.8860282443,206.9923954373,2,2
-72.8858450382,206.8022813688,2,2
-72.8857534351,206.4904942966,2,2
-72.8855335878,206.3384030418,2,2
-72.8852954198,206.5817490494,2,2
-72.8852770992,207.0000000000,2,2
-72.8852312977,207.5931558935,2,2
-72.8851305344,208.1406844106,2,2
-72.8849931298,208.6273764259,2,2
-72.8849015267,208.9771863118,2,2
-72.8846908397,208.8935361217,2,2
-72.8845625954,208.5741444867,2,2
-72.8843793893,208.2623574144,2,2
-72.8843061069,207.8973384030,2,2
-72.8842236641,207.5627376426,2,2
-72.8839305344,207.4106463878,2,2
-72.8837473282,207.0760456274,2,2
-72.8835274809,207.0760456274,2,2
-72.8833625954,207.2661596958,2,2
-72.8831244275,207.4942965779,2,2
-72.8829687023,207.6235741445,2,2
-72.8828038168,207.4714828897,2,2
-72.8826664122,207.7148288973,2,2
-72.8825564885,208.1482889734,2,2
-72.8824465649,208.4980988593,2,2
-72.8823824427,208.8250950570,2,2
-72.8823000000,209.1673003802,2,2
-72.8822267176,209.5247148289,2,2
,,2,2
-72.8819427481,209.5095057034,2,2
-72.8818145038,208.9847908745,2,2
-72.8817320611,208.4980988593,2,2
-72.8816404580,208.1939163498,2,2
-72.8814938931,207.7224334601,2,2
-72.8813106870,207.4334600760,2,2
-72.8812374046,207.1292775665,2,2
-72.8811916031,206.6806083650,2,2
-72.8809625954,206.7186311787,2,2
-72.8809442748,206.9163498099,2,2
-72.8808709924,207.2433460076,2,2
-72.8806969466,207.2737642586,2,2
-72.8805687023,207.0532319392,2,2
-72.8803854962,206.7490494297,2,2
-72.8803030534,206.4448669202,2,2
-72.8800740458,206.3079847909,2,2
-72.8799641221,206.3079847909,2,2
-72.8798541985,206.6653992395,2,2
-72.8796893130,207.0304182510,2,2
-72.8795152672,207.2813688213,2,2
-72.8793687023,206.9239543726,2,2
-72.8791854962,206.4068441065,2,2
-72.8791305344,206.3536121673,2,2
-72.8789290076,206.6958174905,2,2
-72.8788190840,207.1520912548,2,2
-72.8787366412,207.4334600760,2,2
-72.8787366412,207.6996197719,2,2
-72.8785809160,208.0114068441,2,2
-72.8785809160,208.2927756654,2,2
-72.8782877863,207.9657794677,2,2
-72.8782969466,207.5703422053,2,2
-72.8782145038,207.1064638783,2,2
-72.8781229008,206.9695817490,2,2
-72.8779763359,206.8174904943,2,2
-72.8776832061,206.9315589354,2,2
-72.8774816794,207.1444866920,2,2
-72.8772526718,207.2509505703,2,2
-72.8771244275,207.4106463878,2,2
-72.8770145038,207.8973384030,2,2
-72.8769595420,208.3536121673,2,2
-72.8768679389,208.9315589354,2,2
-72.8767946565,209.5171102662,2,2
-71.8761788295,94.9757604563,3,1
-71.8734906870,94.9757604563,3,1
-71.8692564885,95.0185361217,3,1
-71.8672665649,95.0185361217,3,1
-71.8761738422,94.9586501901,3,2
-71.8760192366,94.1972433460,3,2
-71.8758396947,93.6154942966,3,2
-71.8756601527,93.1278517110,3,2
-71.8755304835,92.7856463878,3,2
-71.8754107888,92.2381178707,3,2
-71.8753609160,91.9301330798,3,2
-71.8752112977,91.5708174905,3,2
-71.8750417303,91.2628326996,3,2
-71.8748322646,91.0147338403,3,2
-71.8746976081,90.7409695817,3,2
-71.8745779135,90.5014258555,3,2
-71.8743534860,90.4843155894,3,2
-71.8741839186,90.7666349810,3,2
-71.8740093639,90.9719581749,3,2
-71.8738946565,91.3483840304,3,2
-71.8737300763,92.4348859316,3,2
-71.8736901781,93.6924904943,3,2
-71.8735555216,94.2229087452,3,2
-71.8735106361,94.5223384030,3,2
-71.8734956743,94.9415399240,3,2
,,3,2
-71.8692564885,95.0099809886,3,2
-71.8692315522,92.8626425856,3,2
-71.8691467684,92.3664448669,3,2
-71.8690370483,92.2980038023,3,2
-71.8688974046,92.5974334601,3,2
-71.8687826972,93.2048479087,3,2
-71.8687577608,93.6924904943,3,2
-71.8686330789,93.9662547529,3,2
-71.8685582697,94.1972433460,3,2
-71.8684984224,93.9320342205,3,2
-71.8683438168,93.2818441065,3,2
-71.8681842239,92.8540874525,3,2
-71.8680445802,92.5803231939,3,2
-71.8678351145,92.5803231939,3,2
-71.8676356234,92.8968631179,3,2
-71.8674810178,93.6839353612,3,2
-71.8674062087,94.2571292776,3,2
-71.8672665649,94.9928707224,3,2
-71.6471141221,84.5266159696,4,1
-71.6388583969,84.5494296578,4,1
-71.6471194656,84.5152091255,4,2
-71.6468629771,83.9562737643,4,2
-71.6467187023,83.5456273764,4,2
-71.6465583969,82.8155893536,4,2
-71.6463874046,82.2224334601,4,2
-71.6462217557,81.4695817490,4,2
-71.6460721374,80.9448669202,4,2
-71.6458423664,80.4771863118,4,2
-71.6455270992,80.0209125475,4,2
-71.6453347328,79.8840304183,4,2
-71.6452332061,79.1539923954,4,2
-71.6450942748,78.9600760456,4,2
-71.6448538168,79.3479087452,4,2
-71.6447202290,79.0627376426,4,2
-71.6445706107,78.7433460076,4,2
-71.6443354962,78.2756653992,4,2
-71.6439721374,78.0589353612,4,2
-71.6435125954,78.2072243346,4,2
-71.6431492366,78.3555133080,4,2
-71.6426416031,78.4467680608,4,2
-71.6423690840,78.8574144487,4,2
-71.6421980916,79.3250950570,4,2
-71.6419843511,79.5988593156,4,2
-71.6417011450,79.6901140684,4,2
-71.6414446565,79.8726235741,4,2
-71.6411667939,80.3174904943,4,2
-71.6408515267,81.2642585551,4,2
-71.6407125954,82.2338403042,4,2
-71.6405683206,82.6901140684,4,2
-71.6405148855,83.4087452471,4,2
-71.6403171756,83.5228136882,4,2
-71.6399805344,83.3174904943,4,2
-71.6396599237,83.3174904943,4,2
-71.6394568702,83.4087452471,4,2
-71.6391629771,83.7851711027,4,2
-71.6390133588,84.0589353612,4,2
-71.6388423664,84.5266159696,4,2
