lat,h,pondid,typeid
-72.9966375515233,221.65603146853147,1,1
-72.99585604614697,221.5861013986014,1,1
-72.99458751568102,221.65603146853147,1,1
-72.9936587701613,221.62805944055944,1,1
-72.99297920026883,221.61407342657344,1,1
-72.99277532930108,221.64204545454547,1,1
,,1,1
-72.99195984543012,221.62805944055944,1,1
-72.9911217092294,221.62805944055944,1,1
-72.99021561603944,221.6000874125874,1,1
-72.98951339381722,221.6000874125874,1,1
-72.99666020385305,221.54414335664336,1,2
-72.99659224686381,220.95673076923077,1,2
-72.99656959453407,220.2993881118881,1,2
-72.9965469422043,219.55812937062936,1,2
-72.99639970206094,219.05463286713288,1,2
-72.9963770497312,218.85882867132867,1,2
-72.9961505264337,219.2784090909091,1,2
-72.99600328629033,219.83784965034965,1,2
-72.99585604614697,220.25743006993008,1,2
-72.99558421818998,220.20148601398603,1,2
-72.99550493503585,219.7958916083916,1,2
-72.99531239023298,219.2784090909091,1,2
-72.99500658378138,219.208479020979,1,2
-72.99466679883514,219.166520979021,1,2
-72.99434966621865,219.61407342657344,1,2
-72.99397590277779,219.73994755244755,1,2
-72.99372672715054,220.06162587412587,1,2
-72.99355683467743,220.2854020979021,1,2
-72.99336428987456,220.27141608391608,1,2
-72.99323970206095,220.6909965034965,1,2
-72.99311511424732,220.92875874125875,1,2
-72.99292256944446,221.06861888111888,1,2
-72.99266206765235,221.30638111888112,1,2
-72.99265074148747,221.5021853146853,1,2
,,1,2
-72.99207310707887,221.3902972027972,1,2
-72.9919258669355,220.71896853146853,1,2
-72.99177862679213,220.0756118881119,1,2
-72.99163138664876,219.69798951048952,1,2
-72.99151812500001,219.36232517482517,1,2
-72.99134823252689,219.208479020979,1,2
-72.99111038306452,219.208479020979,1,2
-72.99084988127241,219.2923951048951,1,2
-72.99075927195342,218.97071678321677,1,2
-72.99060070564518,218.49519230769232,1,2
-72.99041948700719,218.35533216783216,1,2
-72.99019296370969,218.50917832167832,1,2
-72.99007970206095,218.8868006993007,1,2
-72.98989848342295,219.26442307692307,1,2
-72.98977389560933,219.55812937062936,1,2
-72.98970593862009,219.9916958041958,1,2
-72.98960400313622,220.55113636363637,1,2
-72.98955869847671,220.97071678321677,1,2
-72.98954737231185,221.2923951048951,1,2
-72.98954737231185,221.44624125874125,1,2
-72.89369556451612,209.61763236763238,2,1
-72.89080524193548,209.5536963036963,2,1
-72.88848266129031,209.56968031968032,2,1
-72.88592782258064,209.56968031968032,2,1
-72.8836568548387,209.56968031968032,2,1
