lat,h,pondid,typeid
-72.9966584341,221.5343949045,1,1
-72.9926022513,221.6235668790,1,1
-72.9920341734,221.6414012739,1,1
-72.9894910954,221.6235668790,1,1
-72.9966425067,221.4541401274,1,2
-72.9965681788,220.8477707006,1,2
-72.9965310148,220.4019108280,1,2
-72.9964832325,220.0184713376,1,2
-72.9964407594,219.5191082803,1,2
-72.9963239583,219.2248407643,1,2
-72.9962708669,219.2783439490,1,2
-72.9962337030,219.6439490446,1,2
-72.9961169019,220.0719745223,1,2
-72.9960107191,220.1789808917,1,2
-72.9958939180,220.5356687898,1,2
-72.9957558804,220.6248407643,1,2
-72.9956284610,220.6248407643,1,2
-72.9953258401,220.0184713376,1,2
-72.9951134745,219.8579617834,1,2
-72.9949913642,219.6082802548,1,2
-72.9948214718,219.7420382166,1,2
-72.9946834341,219.7420382166,1,2
-72.9945560148,219.7152866242,1,2
-72.9944657594,219.7242038217,1,2
-72.9944126680,219.6082802548,1,2
-72.9942374664,219.6171974522,1,2
-72.9939348454,219.9025477707,1,2
-72.9935154234,220.3127388535,1,2
-72.9933083669,220.7675159236,1,2
-72.9931756384,220.9993630573,1,2
-72.9929738911,221.0261146497,1,2
-72.9928252352,221.1242038217,1,2
-72.9927296707,221.1687898089,1,2
-72.9926447245,221.4184713376,1,2
-72.9926075605,221.5522292994,1,2
,,1,2
-72.9919970094,221.6503184713,1,2
-72.9918324261,220.4643312102,1,2
-72.9916996976,220.0006369427,1,2
-72.9915828965,219.8757961783,1,2
-72.9915457325,219.5369426752,1,2
-72.9913599126,219.3585987261,1,2
-72.9912378024,219.1445859873,1,2
-72.9910413642,219.1356687898,1,2
-72.9908767809,219.2783439490,1,2
-72.9907865255,219.3050955414,1,2
-72.9907334341,219.1445859873,1,2
-72.9906856519,218.8681528662,1,2
-72.9904839046,218.4668789809,1,2
-72.9903671035,218.4668789809,1,2
-72.9902396841,218.4936305732,1,2
-72.9901281922,218.8503184713,1,2
-72.9900963374,219.2248407643,1,2
-72.9899689180,219.4656050955,1,2
-72.9897300067,219.7331210191,1,2
-72.9896238239,221.1687898089,1,2
-72.9895388777,221.5165605096,1,2
-72.8930790698,209.4717948718,2,1
-72.8821953488,209.5333333333,2,1
-72.8819302326,209.5333333333,2,1
-72.8767395349,209.5230769231,2,1
-72.8930511628,209.3692307692,2,2
-72.8927860465,208.2000000000,2,2
-72.8926604651,208.0358974359,2,2
-72.8925069767,207.8512820513,2,2
-72.8924511628,207.5230769231,2,2
-72.8923534884,207.3179487179,2,2
-72.8921441860,207.4000000000,2,2
-72.8919209302,207.7076923077,2,2
-72.8916837209,207.5435897436,2,2
-72.8916139535,207.2051282051,2,2
-72.8914325581,207.0717948718,2,2
-72.8913627907,206.7128205128,2,2
-72.8912511628,206.3333333333,2,2
-72.8912232558,206.1384615385,2,2
-72.8910418605,206.5692307692,2,2
-72.8908744186,206.6717948718,2,2
-72.8907488372,206.8564102564,2,2
-72.8905395349,207.3282051282,2,2
-72.8904697674,207.8307692308,2,2
-72.8903302326,208.0666666667,2,2
-72.8902046512,207.7179487179,2,2
-72.8900651163,207.2974358974,2,2
-72.8899813953,207.1333333333,2,2
-72.8897302326,207.0717948718,2,2
-72.8896186047,206.8974358974,2,2
-72.8895767442,206.8461538462,2,2
-72.8895209302,207.0717948718,2,2
-72.8894232558,207.1538461538,2,2
-72.8892837209,207.2769230769,2,2
-72.8890883721,207.1948717949,2,2
-72.8889627907,207.0615384615,2,2
-72.8886837209,207.1333333333,2,2
-72.8884883721,207.3589743590,2,2
-72.8882651163,207.5230769231,2,2
-72.8878604651,207.5025641026,2,2
-72.8875395349,207.4615384615,2,2
-72.8872186047,207.3282051282,2,2
-72.8870930233,207.1846153846,2,2
-72.8868837209,207.1025641026,2,2
-72.8866186047,207.2871794872,2,2
-72.8864232558,207.3794871795,2,2
-72.8862139535,207.4205128205,2,2
-72.8858790698,207.2461538462,2,2
-72.8857255814,206.9794871795,2,2
-72.8855441860,206.9076923077,2,2
-72.8853209302,206.9384615385,2,2
-72.8852093023,207.7282051282,2,2
-72.8850976744,208.2410256410,2,2
-72.8848744186,209.0512820513,2,2
-72.8847209302,209.0615384615,2,2
-72.8845953488,208.9384615385,2,2
-72.8844000000,208.5384615385,2,2
-72.8842325581,207.7589743590,2,2
-72.8840511628,207.5538461538,2,2
-72.8838139535,207.4102564103,2,2
-72.8836325581,207.2256410256,2,2
-72.8834930233,207.3589743590,2,2
-72.8832697674,207.6461538462,2,2
-72.8829348837,207.7897435897,2,2
-72.8824744186,208.2000000000,2,2
-72.8822511628,209.3794871795,2,2
,,2,2
-72.8819023256,209.3897435897,2,2
-72.8815395349,208.3846153846,2,2
-72.8814418605,207.8717948718,2,2
-72.8811906977,207.4307692308,2,2
-72.8808837209,207.4000000000,2,2
-72.8805767442,207.1025641026,2,2
-72.8803953488,206.8256410256,2,2
-72.8801581395,206.7435897436,2,2
-72.8798651163,206.8153846154,2,2
-72.8796837209,207.1435897436,2,2
-72.8795302326,207.2871794872,2,2
-72.8794046512,207.2461538462,2,2
-72.8793348837,206.9384615385,2,2
-72.8792372093,206.8358974359,2,2
-72.8790558140,206.7743589744,2,2
-72.8789302326,207.1948717949,2,2
-72.8787627907,207.6974358974,2,2
-72.8786930233,207.9846153846,2,2
-72.8786093023,208.4256410256,2,2
-72.8784837209,208.2205128205,2,2
-72.8783302326,207.9230769231,2,2
-72.8782604651,207.6564102564,2,2
-72.8781767442,207.2974358974,2,2
-72.8780511628,207.0820512821,2,2
-72.8777162791,207.4205128205,2,2
-72.8773953488,207.4307692308,2,2
-72.8770883721,207.5846153846,2,2
-72.8769767442,208.3435897436,2,2
-72.8768093023,209.4410256410,2,2
-71.8761698253,94.9904458599,3,1
-71.8734893145,95.0363057325,3,1
-71.8692347446,95.0133757962,3,1
-71.8672457661,95.0133757962,3,1
-71.8762093414,94.9101910828,3,2
-71.8758207661,93.5229299363,3,2
-71.8756890457,93.1904458599,3,2
-71.8755770833,93.0872611465,3,2
-71.8754321909,92.6401273885,3,2
-71.8753926747,92.1012738854,3,2
-71.8752148522,91.7573248408,3,2
-71.8750633737,91.3560509554,3,2
-71.8749053091,91.3216560510,3,2
-71.8747274866,91.0006369427,3,2
-71.8745825941,90.9891719745,3,2
-71.8743718414,90.8859872611,3,2
-71.8742137769,90.9891719745,3,2
-71.8741413306,90.9891719745,3,2
-71.8739766801,91.2757961783,3,2
-71.8737593414,91.9866242038,3,2
-71.8737000672,93.4541401274,3,2
-71.8735024866,93.9471337580,3,2
-71.8734629704,94.3828025478,3,2
-71.8733510081,94.9101910828,3,2
-71.8733378360,95.0477707006,3,2
,,3,2
-71.8692149866,95.0019108280,3,2
-71.8692018145,92.7777070064,3,2
-71.8691161962,92.5254777070,3,2
-71.8689844758,92.4796178344,3,2
-71.8688000672,92.7662420382,3,2
-71.8687803091,93.1904458599,3,2
-71.8687276210,93.9815286624,3,2
-71.8686288306,94.1191082803,3,2
-71.8684707661,93.9012738854,3,2
-71.8683785618,93.5917197452,3,2
-71.8682797715,93.2936305732,3,2
-71.8682204973,92.9726114650,3,2
-71.8680953629,92.7891719745,3,2
-71.8680360887,92.7891719745,3,2
-71.8679109543,92.9152866242,3,2
-71.8677726478,93.1445859873,3,2
-71.8676014113,93.1101910828,3,2
-71.8675289651,93.5458598726,3,2
-71.8674170027,94.1305732484,3,2
-71.8673643145,94.4401273885,3,2
-71.8672655242,94.8528662420,3,2
-71.6471680233,84.5615384615,4,1
-71.6388005814,84.5923076923,4,1
-71.6471354651,84.3461538462,4,2
-71.6468098837,83.9000000000,4,2
-71.6466715116,83.2846153846,4,2
-71.6464598837,82.5000000000,4,2
-71.6462563953,81.9461538462,4,2
-71.6461505814,81.5000000000,4,2
-71.6461180233,81.2230769231,4,2
-71.6459226744,81.0538461538,4,2
-71.6458656977,80.7461538462,4,2
-71.6457273256,80.4538461538,4,2
-71.6455645349,80.3461538462,4,2
-71.6453854651,80.2692307692,4,2
-71.6453610465,79.8538461538,4,2
-71.6452633721,79.6846153846,4,2
-71.6451005814,79.4692307692,4,2
-71.6450110465,79.7307692308,4,2
-71.6448645349,79.8076923077,4,2
-71.6447343023,79.5615384615,4,2
-71.6445796512,79.2230769231,4,2
-71.6444331395,78.9769230769,4,2
-71.6442133721,79.0538461538,4,2
-71.6439366279,79.0076923077,4,2
-71.6436273256,78.8692307692,4,2
-71.6432773256,78.7461538462,4,2
-71.6431145349,78.7000000000,4,2
-71.6429598837,78.7307692308,4,2
-71.6426750000,78.7153846154,4,2
-71.6425122093,78.7615384615,4,2
-71.6423494186,79.1000000000,4,2
-71.6421296512,79.4692307692,4,2
-71.6419668605,79.6538461538,4,2
-71.6418203488,79.7615384615,4,2
-71.6415273256,79.8846153846,4,2
-71.6414133721,80.1461538462,4,2
-71.6412750000,80.3307692308,4,2
-71.6408680233,81.7000000000,4,2
-71.6406563953,82.8846153846,4,2
-71.6404936047,83.7461538462,4,2
-71.6404691860,84.2384615385,4,2
