lat,h,pondid,typeid
-72.9966193740,221.5367647059,1,1
-72.9956849654,221.5661764706,1,1
-72.9947869624,221.5759803922,1,1
-72.9939981759,221.5857843137,1,1
-72.9928878072,221.5857843137,1,1
-72.9926390361,221.6053921569,1,1
-72.9920080069,221.6348039216,1,1
-72.9917228303,221.6053921569,1,1
-72.9913830453,221.5857843137,1,1
-72.9909097734,221.6053921569,1,1
-72.9903576229,221.6348039216,1,1
-72.9895870392,221.6151960784,1,1
-72.9965708333,221.4289215686,1,2
-72.9964919547,220.6740196078,1,2
-72.9964494816,219.9387254902,1,2
-72.9963584677,219.3210784314,1,2
-72.9962856567,219.1544117647,1,2
-72.9962007104,219.4191176471,1,2
-72.9961885753,219.8602941176,1,2
-72.9961157642,220.1053921569,1,2
-72.9959458717,220.3406862745,1,2
-72.9957941820,220.6446078431,1,2
-72.9956667627,220.6740196078,1,2
-72.9954604647,220.3897058824,1,2
-72.9952723694,219.9093137255,1,2
-72.9951024770,219.6740196078,1,2
-72.9949386521,219.5465686275,1,2
-72.9945806644,219.5955882353,1,2
-72.9943379608,219.6053921569,1,2
-72.9939981759,219.8602941176,1,2
-72.9937190668,220.3014705882,1,2
-72.9933428763,220.7328431373,1,2
-72.9931426459,221.0171568627,1,2
-72.9928635369,221.0661764706,1,2
-72.9926451037,221.2720588235,1,2
-72.9926208333,221.5073529412,1,2
,,1,2
-72.9919776690,221.5073529412,1,2
-72.9917288978,220.5367647059,1,2
-72.9915165323,219.7524509804,1,2
-72.9914801267,219.4779411765,1,2
-72.9913527074,219.4485294118,1,2
-72.9911524770,219.0269607843,1,2
-72.9907762865,219.3112745098,1,2
-72.9905821237,218.5857843137,1,2
-72.9903333525,218.4093137255,1,2
-72.9901816628,218.6151960784,1,2
-72.9901331221,219.0073529412,1,2
-72.9901209869,219.2426470588,1,2
-72.9899632296,219.2034313725,1,2
-72.9897751344,219.5563725490,1,2
-72.9896962558,220.1740196078,1,2
-72.9896113095,220.9583333333,1,2
-72.9895809716,221.5857843137,1,2
-72.8931435484,209.4985994398,2,1
-72.8822633641,209.5098039216,2,1
-72.8818762673,209.5434173669,2,1
-72.8767887097,209.5322128852,2,1
-72.8930329493,209.3641456583,2,2
-72.8927979263,208.1652661064,2,2
-72.8925767281,208.1652661064,2,2
-72.8923140553,207.2801120448,2,2
-72.8919684332,207.6946778711,2,2
-72.8917334101,207.6274509804,2,2
-72.8912910138,206.1148459384,2,2
-72.8909868664,206.1708683473,2,2
-72.8909868664,206.5966386555,2,2
-72.8905997696,206.8767507003,2,2
-72.8904200461,207.8067226891,2,2
-72.8902956221,207.9635854342,2,2
-72.8899914747,207.0336134454,2,2
-72.8898670507,207.1008403361,2,2
-72.8896320276,207.0448179272,2,2
-72.8895767281,206.6862745098,2,2
-72.8894108295,207.0672268908,2,2
-72.8891619816,207.1792717087,2,2
-72.8888025346,207.3137254902,2,2
-72.8886089862,206.9775910364,2,2
-72.8884707373,207.0560224090,2,2
-72.8883463134,207.4593837535,2,2
-72.8878209677,207.4929971989,2,2
-72.8872679724,207.4257703081,2,2
-72.8871573733,207.1456582633,2,2
-72.8863970046,207.4593837535,2,2
-72.8858025346,206.7983193277,2,2
-72.8855675115,206.5966386555,2,2
-72.8852771889,206.7759103641,2,2
-72.8849453917,209.0056022409,2,2
-72.8847241935,209.0840336134,2,2
-72.8845721198,208.9719887955,2,2
-72.8843370968,208.3109243697,2,2
-72.8841988479,207.5042016807,2,2
-72.8837564516,207.3025210084,2,2
-72.8832449309,207.3697478992,2,2
-72.8831066820,207.6610644258,2,2
-72.8826228111,208.0196078431,2,2
-72.8823877880,209.0056022409,2,2
-72.8822771889,209.3529411765,2,2
,,2,2
-72.8816688940,209.3641456583,2,2
-72.8814200461,207.5154061625,2,2
-72.8807149770,207.4929971989,2,2
-72.8801205069,206.4061624650,2,2
-72.8798993088,206.4173669468,2,2
-72.8797334101,207.0896358543,2,2
-72.8794707373,207.3249299720,2,2
-72.8790836406,206.6190476190,2,2
-72.8786274194,208.3781512605,2,2
-72.8785168203,208.3781512605,2,2
-72.8781988479,207.0672268908,2,2
-72.8777979263,207.1456582633,2,2
-72.8776458525,207.4145658263,2,2
-72.8774384793,207.4145658263,2,2
-72.8771619816,207.6050420168,2,2
-72.8768993088,209.4201680672,2,2
-71.8761411290,95.0094537815,3,1
-71.8735067204,95.0220588235,3,1
-71.8692314516,95.0346638655,3,1
-71.8672142473,95.0346638655,3,1
-71.8761561828,94.8960084034,3,2
-71.8756594086,93.0304621849,3,2
-71.8755540323,93.0304621849,3,2
-71.8751626344,91.4800420168,3,2
-71.8750271505,91.5682773109,3,2
-71.8749895161,91.3035714286,3,2
-71.8748163978,91.2405462185,3,2
-71.8746884409,91.0262605042,3,2
-71.8740637097,91.0388655462,3,2
-71.8738153226,91.5808823529,3,2
-71.8736271505,93.5472689076,3,2
-71.8734991935,95.0094537815,3,2
,,3,2
-71.8692239247,94.9338235294,3,2
-71.8691787634,92.3876050420,3,2
-71.8689303763,92.5262605042,3,2
-71.8687873656,93.6985294118,3,2
-71.8686293011,94.3792016807,3,2
-71.8681099462,92.9800420168,3,2
-71.8677336022,93.0430672269,3,2
-71.8674551075,94.1901260504,3,2
-71.8672217742,94.9968487395,3,2
-71.6470737903,84.5336134454,4,1
-71.6387673387,84.5504201681,4,1
-71.6470334677,84.2815126050,4,2
-71.6468399194,84.0294117647,4,2
-71.6464850806,82.9369747899,4,2
-71.6460495968,81.1218487395,4,2
-71.6459125000,81.1890756303,4,2
-71.6458318548,80.5000000000,4,2
-71.6454205645,80.5000000000,4,2
-71.6452512097,79.5756302521,4,2
-71.6452431452,78.6176470588,4,2
-71.6450737903,78.7689075630,4,2
-71.6449850806,79.7773109244,4,2
-71.6445254032,79.1050420168,4,2
-71.6440979839,79.5588235294,4,2
-71.6435657258,78.9033613445,4,2
-71.6424850806,79.0210084034,4,2
-71.6421060484,79.6428571429,4,2
-71.6415737903,79.9789915966,4,2
-71.6412350806,80.5000000000,4,2
-71.6411544355,79.0882352941,4,2
-71.6409125000,79.4411764706,4,2
-71.6408883065,81.0546218487,4,2
-71.6406383065,82.5168067227,4,2
-71.6404447581,83.8613445378,4,2
-71.6398399194,84.0798319328,4,2
-71.6396463710,83.5588235294,4,2
-71.6392673387,83.7436974790,4,2
-71.6391221774,84.0462184874,4,2
-71.6388318548,84.1806722689,4,2
-71.6387512097,84.3655462185,4,2
