lat,h,pondid,typeid
-72.9965803942,221.5680147059,1,1
-72.9927014177,221.5422794118,1,1
-72.9920075726,221.5508578431,1,1
-72.9895381397,221.5851715686,1,1
-72.9965858575,221.5508578431,1,2
-72.9965858575,220.7616421569,1,2
-72.9964984440,219.8780637255,1,2
-72.9964656639,219.2861519608,1,2
-72.9963618603,218.9773284314,1,2
-72.9962198133,219.2346813725,1,2
-72.9961105463,220.1354166667,1,2
-72.9959357192,220.0925245098,1,2
-72.9958592324,220.4613970588,1,2
-72.9957062586,220.5214460784,1,2
-72.9956133817,220.2812500000,1,2
-72.9954276279,219.9981617647,1,2
-72.9952801176,219.6550245098,1,2
-72.9951162172,219.3290441176,1,2
-72.9948594398,219.3290441176,1,2
-72.9945043223,219.3290441176,1,2
-72.9942912517,219.4834558824,1,2
-72.9940399378,219.5177696078,1,2
-72.9937940871,219.6550245098,1,2
-72.9936356501,219.8694852941,1,2
-72.9934498963,220.4699754902,1,2
-72.9931876556,220.9332107843,1,2
-72.9928762448,221.0962009804,1,2
-72.9926741010,221.2248774510,1,2
-72.9926413209,221.5079656863,1,2
,,1,2
-72.9920294260,221.5508578431,1,2
-72.9918491355,221.0533088235,1,2
-72.9918218188,220.5386029412,1,2
-72.9916633817,220.0839460784,1,2
-72.9915868949,219.4748774510,1,2
-72.9913902144,219.3890931373,1,2
-72.9911334371,219.0030637255,1,2
-72.9908438797,219.3033088235,1,2
-72.9907510028,219.2089460784,1,2
-72.9906690526,218.8229166667,1,2
-72.9904450553,218.4454656863,1,2
-72.9902374481,218.4454656863,1,2
-72.9901718880,218.8572303922,1,2
-72.9900298409,219.2175245098,1,2
-72.9898714039,219.2175245098,1,2
-72.9896965768,220.0153186275,1,2
-72.9896200899,220.9417892157,1,2
-72.9894725795,221.2849264706,1,2
-72.9895326763,221.5765931373,1,2
-72.8931211618,209.5245098039,2,1
-72.8822041494,209.5147058824,2,1
-72.8819551867,209.5245098039,2,1
-72.8768016598,209.5735294118,2,1
-72.8931087137,209.5049019608,2,2
-72.8929344398,208.5931372549,2,2
-72.8928473029,208.1715686275,2,2
-72.8925236515,207.8676470588,2,2
-72.8924987552,207.3872549020,2,2
-72.8922497925,207.2009803922,2,2
-72.8918265560,207.5245098039,2,2
-72.8916771784,207.2598039216,2,2
-72.8916398340,207.0735294118,2,2
-72.8915029046,206.7696078431,2,2
-72.8913410788,206.6715686275,2,2
-72.8912788382,206.1127450980,2,2
-72.8910921162,206.1617647059,2,2
-72.8909925311,206.5245098039,2,2
-72.8906688797,206.8284313725,2,2
-72.8904199170,207.4754901961,2,2
-72.8902829876,207.6617647059,2,2
-72.8900838174,207.1911764706,2,2
-72.8900838174,207.1911764706,2,2
-72.8896854772,206.9950980392,2,2
-72.8895858921,206.6519607843,2,2
-72.8893618257,207.0343137255,2,2
-72.8891128631,207.1127450980,2,2
-72.8884282158,207.1421568627,2,2
-72.8883659751,207.5147058824,2,2
-72.8880423237,207.4460784314,2,2
-72.8878929461,207.2892156863,2,2
-72.8875817427,207.4166666667,2,2
-72.8873701245,207.1813725490,2,2
-72.8872456432,206.7696078431,2,2
-72.8871211618,206.9460784314,2,2
-72.8869219917,206.6715686275,2,2
-72.8866605809,206.9852941176,2,2
-72.8865236515,207.2500000000,2,2
-72.8862248963,207.1519607843,2,2
-72.8861004149,206.9264705882,2,2
-72.8856896266,206.9166666667,2,2
-72.8851917012,207.0539215686,2,2
-72.8851792531,207.1911764706,2,2
-72.8852788382,207.2990196078,2,2
-72.8850423237,207.9460784314,2,2
-72.8850921162,208.5049019608,2,2
-72.8848929461,208.9460784314,2,2
-72.8846190871,208.6911764706,2,2
-72.8844199170,208.6029411765,2,2
-72.8844697095,208.3872549020,2,2
-72.8843327801,208.1421568627,2,2
-72.8841958506,207.5539215686,2,2
-72.8839219917,207.3382352941,2,2
-72.8838099585,207.1323529412,2,2
-72.8835858921,207.0441176471,2,2
-72.8829883817,207.6127450980,2,2
-72.8826771784,207.8774509804,2,2
-72.8824655602,208.2892156863,2,2
-72.8823784232,208.6225490196,2,2
-72.8822165975,209.4460784314,2,2
,,2,2
-72.8819178423,209.4950980392,2,2
-72.8817062241,208.6813725490,2,2
-72.8815070539,208.2500000000,2,2
-72.8814572614,207.6029411765,2,2
-72.8811709544,207.0637254902,2,2
-72.8809219917,207.2401960784,2,2
-72.8808721992,207.3088235294,2,2
-72.8805360996,207.2107843137,2,2
-72.8804489627,206.9264705882,2,2
-72.8799510373,206.7500000000,2,2
-72.8797767635,206.9166666667,2,2
-72.8795029046,207.1715686275,2,2
-72.8794033195,207.0245098039,2,2
-72.8791045643,206.7009803922,2,2
-72.8788804979,207.1519607843,2,2
-72.8786937759,207.7107843137,2,2
-72.8785568465,208.4068627451,2,2
-72.8783825726,208.0441176471,2,2
-72.8782082988,207.7009803922,2,2
-72.8781958506,206.9362745098,2,2
-72.8777975104,207.1519607843,2,2
-72.8773991701,207.4068627451,2,2
-72.8771502075,207.3676470588,2,2
-72.8770132780,207.9166666667,2,2
-72.8769136929,208.7892156863,2,2
-72.8768265560,209.5441176471,2,2
-71.8761205394,94.9834558824,3,1
-71.8734977178,94.9172794118,3,1
-71.8692415629,94.9724264706,3,1
-71.8672761411,94.9944852941,3,1
-71.8761205394,94.9613970588,3,2
-71.8761340941,94.5091911765,3,2
-71.8757613416,93.0974264706,3,2
-71.8755580221,92.8878676471,3,2
-71.8754156985,91.9944852941,3,2
-71.8750768326,91.4209558824,3,2
-71.8750361687,91.2886029412,3,2
-71.8747447441,90.9577205882,3,2
-71.8741144537,91.0238970588,3,2
-71.8736942600,91.5312500000,3,2
-71.8734706086,92.2812500000,3,2
-71.8734299447,93.9025735294,3,2
-71.8734570539,94.9283088235,3,2
,,3,2
-71.8692618949,94.9834558824,3,2
-71.8692483402,92.8547794118,3,2
-71.8691534578,92.5349264706,3,2
-71.8689501383,92.4577205882,3,2
-71.8688417012,92.7334558824,3,2
-71.8687739281,93.2738970588,3,2
-71.8686654910,93.7812500000,3,2
-71.8685367220,93.9466911765,3,2
-71.8684011757,93.7150735294,3,2
-71.8682995159,93.5275735294,3,2
-71.8681775242,93.1415441176,3,2
-71.8680826418,92.7996323529,3,2
-71.8679267635,92.6121323529,3,2
-71.8677912172,92.6341911765,3,2
-71.8675607884,92.9981617647,3,2
-71.8674659059,93.7591911765,3,2
-71.8674659059,94.2003676471,3,2
-71.8674049101,94.5202205882,3,2
-71.8672829184,94.8841911765,3,2
-71.6470870332,84.4632352941,4,1
-71.6387945021,84.5514705882,4,1
-71.6471015560,84.4632352941,4,2
-71.6467893154,83.9338235294,4,2
-71.6464407676,82.6102941176,4,2
-71.6461430498,81.1985294118,4,2
-71.6459106846,81.0220588235,4,2
-71.6458380705,80.3897058824,4,2
-71.6457001037,80.3308823529,4,2
-71.6453806017,80.0220588235,4,2
-71.6452789419,79.4485294118,4,2
-71.6452716805,78.6985294118,4,2
-71.6450901452,78.5367647059,4,2
-71.6449521784,79.3308823529,4,2
-71.6446617220,79.4338235294,4,2
-71.6445237552,78.9485294118,4,2
-71.6443349585,78.6985294118,4,2
-71.6441897303,78.2279411765,4,2
