lat,h,pondid,typeid
-72.99661514702254,221.53729632184223,1,1
-72.99661514702254,221.53729632184223,1,1
-72.99531263806198,221.50932429387018,1,1
-72.99269629397595,221.53729632184223,1,1
,,1,1
-72.99197141942398,221.53729632184223,1,1
-72.98951364164621,221.55128233582823,1,1
-72.99659249469279,221.4114221959681,1,2
-72.99656984236304,220.76806555261146,1,2
-72.9965018853738,220.06876485331074,1,2
-72.99646790687918,219.57925436380026,1,2
-72.99637729756017,219.27156205610797,1,2
-72.99629801440605,219.2156180001639,1,2
-72.99623005741681,219.43939422394013,1,2
-72.99624138358168,219.67715646170237,1,2
-72.99617342659243,219.90093268547858,1,2
-72.99609414343831,220.06876485331074,1,2
-72.99592425096519,220.23659702114293,1,2
-72.99585629397595,220.44638723093314,1,2
-72.99573170616233,220.60023338477927,1,2
-72.99558446601895,220.5163173008632,1,2
-72.99548253053509,220.37645716100306,1,2
-72.99540324738096,220.12470890925482,1,2
-72.99540324738096,219.98484876939466,1,2
-72.99533529039172,219.8170166015625,1,2
-72.9952560072376,219.6351984197443,1,2
-72.99514274558885,219.49533827988418,1,2
-72.99497285311574,219.4114221959681,1,2
-72.99484826530211,219.46736625191215,1,2
-72.99470102515875,219.43939422394013,1,2
-72.99456511118025,219.4254082099541,1,2
-72.99438389254226,219.5233103078562,1,2
-72.99422532623402,219.69114247568837,1,2
-72.9939648244419,219.7191145036604,1,2
-72.99377227963903,219.87296065750655,1,2
-72.99368167032004,220.06876485331074,1,2
-72.99357973483616,220.2226110071569,1,2
-72.99351177784692,220.6142193987653,1,2
-72.99335321153868,220.8100235945695,1,2
-72.99319464523043,221.0198138043597,1,2
-72.99296812193295,221.07575786030375,1,2
-72.99284353411932,221.08974387428978,1,2
-72.9927189463057,221.2156180001639,1,2
-72.99269629397595,221.39743618198207,1,2
,,1,2
-72.99196009325911,221.38345016799607,1,2
-72.99193744092936,221.04778583233173,1,2
-72.99184683161036,220.75407953862543,1,2
-72.99179020078599,220.54428932883522,1,2
-72.991699591467,220.2086249931709,1,2
-72.99167693913725,219.90093268547858,1,2
-72.99158632981825,219.69114247568837,1,2
-72.99148439433438,219.50932429387018,1,2
