lat,h,pondid,typeid
-72.9965965670,221.5626614987,1,1
-72.9927459211,221.6078811370,1,1
-72.9919940517,221.5626614987,1,1
-72.9895558464,221.5807493540,1,1
-72.9965697145,221.2551679587,1,2
-72.9965321210,220.8753229974,1,2
-72.9965482325,220.6401808786,1,2
-72.9965482325,220.4231266150,1,2
-72.9965106390,220.1789405685,1,2
-72.9964998980,219.9528423773,1,2
-72.9964837865,219.6996124031,1,2
-72.9964139701,219.3559431525,1,2
-72.9963119307,219.0846253230,1,2
-72.9962474847,219.0755813953,1,2
-72.9961776683,219.3288113695,1,2
-72.9961078518,219.6996124031,1,2
-72.9960434058,219.9709302326,1,2
-72.9959359959,220.1156330749,1,2
-72.9959252549,220.3869509044,1,2
-72.9958984024,220.6582687339,1,2
-72.9956835826,220.5135658915,1,2
-72.9955385792,220.2512919897,1,2
-72.9954311693,220.0613695090,1,2
-72.9953559823,219.8352713178,1,2
-72.9952915364,219.6634366925,1,2
-72.9951894969,219.4463824289,1,2
-72.9951196805,219.2383720930,1,2
-72.9949263426,219.3197674419,1,2
-72.9946846703,219.3559431525,1,2
-72.9945611489,219.3559431525,1,2
-72.9942818831,219.4463824289,1,2
-72.9941691027,219.4825581395,1,2
-72.9940026173,219.5549095607,1,2
-72.9938898368,219.6724806202,1,2
-72.9937502039,219.7900516796,1,2
-72.9935622366,220.0251937984,1,2
-72.9934816791,220.2151162791,1,2
-72.9934172332,220.5587855297,1,2
-72.9933850102,220.8210594315,1,2
-72.9933850102,221.0381136951,1,2
-72.9933796397,221.3275193798,1,2
,,1,2
-72.9920316451,221.4450904393,1,2
-72.9919081237,221.0381136951,1,2
-72.9918759007,220.7758397933,1,2
-72.9918275663,220.6040051680,1,2
-72.9917738613,220.4050387597,1,2
-72.9917308973,220.2693798450,1,2
-72.9916503399,219.9709302326,1,2
-72.9916181169,219.7810077519,1,2
-72.9915483005,219.5639534884,1,2
-72.9914301496,219.5006459948,1,2
-72.9913227396,219.3197674419,1,2
-72.9912099592,219.1298449612,1,2
-72.9910595853,219.0846253230,1,2
-72.9909038409,219.1931524548,1,2
-72.9907910605,219.2835917313,1,2
-72.9907373555,219.0846253230,1,2
-72.9906943916,218.8404392765,1,2
-72.9906030931,218.6776485788,1,2
-72.9905010537,218.5329457364,1,2
-72.9904312373,218.4605943152,1,2
-72.9903614208,218.4605943152,1,2
-72.9902647519,218.4786821705,1,2
-72.9901949354,218.5962532300,1,2
-72.9901412305,218.7680878553,1,2
-72.9901466010,218.9580103359,1,2
-72.9901412305,219.1117571059,1,2
-72.9900553025,219.2021963824,1,2
-72.9899532631,219.3107235142,1,2
-72.9898673351,219.4282945736,1,2
-72.9898028892,219.6001291990,1,2
-72.9897760367,219.8171834625,1,2
-72.9896793678,220.0613695090,1,2
-72.9896847383,220.2241602067,1,2
-72.9896525153,220.3959948320,1,2
-72.9896525153,220.6040051680,1,2
-72.9896364038,220.7848837209,1,2
-72.9896149218,220.9928940568,1,2
-72.9896417743,221.2280361757,1,2
-72.9896364038,221.3184754522,1,2
-72.8967530252,202.9095607235,2,1
-72.8967530252,202.9095607235,2,1
-72.8967530252,202.9095607235,2,1
-72.8936816451,209.5348837209,2,1
-72.8768074099,209.5452196382,2,1
-72.8929963970,209.2971576227,2,2
-72.8929719239,208.9560723514,2,2
-72.8928985044,208.7803617571,2,2
-72.8928617947,208.5943152455,2,2
-72.8927883753,208.3669250646,2,2
-72.8927271924,208.2222222222,2,2
-72.8926170632,208.0155038760,2,2
-72.8924702243,207.7674418605,2,2
-72.8924702243,207.4573643411,2,2
-72.8923111489,207.2816537468,2,2
-72.8921031271,207.2713178295,2,2
-72.8919318151,207.4883720930,2,2
-72.8917360299,207.6227390181,2,2
-72.8916381373,207.3746770026,2,2
-72.8915647179,207.0852713178,2,2
-72.8914790619,206.8372093023,2,2
-72.8913199864,206.5478036176,2,2
-72.8912710401,206.2480620155,2,2
-72.8911853841,206.0723514212,2,2
-72.8910507818,206.2790697674,2,2
-72.8910507818,206.5478036176,2,2
-72.8908549966,206.6614987080,2,2
-72.8906714480,206.7958656331,2,2
-72.8905857920,207.0025839793,2,2
-72.8905368457,207.1989664083,2,2
-72.8905001360,207.4160206718,2,2
-72.8904878994,207.6227390181,2,2
-72.8903777702,207.8501291990,2,2
-72.8902676411,207.6434108527,2,2
-72.8901452753,207.4470284238,2,2
-72.8900718559,207.3229974160,2,2
-72.8899861999,207.1472868217,2,2
-72.8897781781,207.0232558140,2,2
-72.8895946295,206.9095607235,2,2
-72.8893743712,207.0025839793,2,2
-72.8891908226,207.1576227390,2,2
-72.8889583277,207.0852713178,2,2
-72.8886768865,207.1059431525,2,2
-72.8884076818,207.1886304910,2,2
-72.8882363698,207.4987080103,2,2
-72.8880528212,207.5090439276,2,2
-72.8879059823,207.3643410853,2,2
-72.8876734874,207.4056847545,2,2
-72.8873920462,207.4573643411,2,2
-72.8872452073,207.4056847545,2,2
-72.8871228416,207.1059431525,2,2
-72.8869515296,206.8372093023,2,2
-72.8868414004,206.7235142119,2,2
-72.8867435078,207.1059431525,2,2
-72.8865354861,207.2919896641,2,2
-72.8862295717,207.3953488372,2,2
-72.8861194426,207.1369509044,2,2
-72.8859970768,206.9095607235,2,2
-72.8856544528,206.8578811370,2,2
-72.8853363018,206.9198966408,2,2
-72.8852506458,207.2299741602,2,2
-72.8852506458,207.5813953488,2,2
-72.8851894630,207.8501291990,2,2
-72.8851527532,208.1085271318,2,2
-72.8850670972,208.3979328165,2,2
-72.8850793338,208.6046511628,2,2
-72.8850181509,208.8423772610,2,2
-72.8849569680,208.9560723514,2,2
-72.8849080218,209.0594315245,2,2
-72.8848101292,209.0594315245,2,2
-72.8846632903,209.0284237726,2,2
-72.8845409245,208.8423772610,2,2
-72.8844675051,208.6046511628,2,2
-72.8843696125,208.4082687339,2,2
-72.8842839565,208.1498708010,2,2
-72.8842350102,207.9431524548,2,2
-72.8842105370,207.6950904393,2,2
-72.8839902787,207.4987080103,2,2
-72.8837455472,207.3126614987,2,2
-72.8835008158,207.3229974160,2,2
-72.8831826649,207.5813953488,2,2
-72.8830480625,207.6950904393,2,2
-72.8828033311,207.8914728682,2,2
-72.8826564922,208.0361757106,2,2
-72.8825463630,208.2222222222,2,2
-72.8824484704,208.3979328165,2,2
-72.8824484704,208.6770025840,2,2
-72.8823383413,208.8733850129,2,2
-72.8823750510,209.1111111111,2,2
-72.8823505778,209.1834625323,2,2
,,2,2
-72.8818488783,209.2248062016,2,2
-72.8817754589,208.9250645995,2,2
-72.8816775663,208.6976744186,2,2
-72.8816163834,208.4909560724,2,2
-72.8815307274,208.2532299742,2,2
-72.8814695445,207.9638242894,2,2
-72.8814083617,207.7157622739,2,2
-72.8812370496,207.5090439276,2,2
-72.8810412644,207.4883720930,2,2
-72.8807842964,207.3953488372,2,2
-72.8806129844,207.2816537468,2,2
-72.8804906186,207.0956072351,2,2
-72.8803315432,206.8268733850,2,2
-72.8801235214,206.5891472868,2,2
-72.8799277362,206.6614987080,2,2
-72.8798176071,206.9302325581,2,2
-72.8797074779,207.1472868217,2,2
-72.8795239293,207.2919896641,2,2
-72.8793893270,207.2919896641,2,2
-72.8793403807,207.0645994832,2,2
-72.8792914344,206.8372093023,2,2
-72.8790834126,206.7235142119,2,2
-72.8789488103,207.0129198966,2,2
-72.8788509177,207.2713178295,2,2
-72.8788142080,207.5607235142,2,2
-72.8787407886,207.8397932817,2,2
-72.8787407886,208.1291989664,2,2
-72.8786796057,208.3875968992,2,2
-72.8783981645,208.2325581395,2,2
-72.8783369816,208.0361757106,2,2
-72.8782757988,207.8397932817,2,2
-72.8782390891,207.5917312661,2,2
-72.8781901428,207.4056847545,2,2
-72.8781534330,207.2196382429,2,2
-72.8780555404,207.0645994832,2,2
-72.8779331747,207.1886304910,2,2
-72.8777740993,207.4263565891,2,2
-72.8776517335,207.4987080103,2,2
-72.8774437118,207.4987080103,2,2
-72.8772479266,207.5917312661,2,2
-72.8771622706,207.8501291990,2,2
-72.8770399048,208.1085271318,2,2
-72.8770276683,208.3152454780,2,2
-72.8770031951,208.5116279070,2,2
-72.8770031951,208.7493540052,2,2
-72.8769787220,208.8527131783,2,2
-72.8769787220,209.0387596899,2,2
-72.8769420122,209.1834625323,2,2
-72.8769297757,209.3178294574,2,2
-71.8762303195,95.0174418605,3,1
-71.8672630863,94.9709302326,3,1
-71.8761170632,94.6918604651,3,2
-71.8760571040,94.4244186047,3,2
-71.8759838205,94.1569767442,3,2
-71.8758838885,93.8662790698,3,2
-71.8757972808,93.5988372093,3,2
-71.8757173351,93.3546511628,3,2
-71.8755974167,93.1337209302,3,2
-71.8755307954,92.8313953488,3,2
-71.8754441876,92.5755813953,3,2
