lat,h,pondid,typeid
-72.99654127912187,221.5701486013986,1,1
-72.996529952957,221.50021853146853,1,1
-72.99612221102151,221.5561625874126,1,1
-72.99553325044803,221.5701486013986,1,1
-72.99496694220431,221.64007867132867,1,1
-72.99381167338711,221.5841346153846,1,1
-72.99272436155915,221.5841346153846,1,1
-72.9926110999104,221.5561625874126,1,1
-72.99199948700718,221.54217657342656,1,1
-72.99119532930109,221.64007867132867,1,1
-72.990391171595,221.5841346153846,1,1
-72.98946242607528,221.59812062937064,1,1
-72.99659790994625,221.20651223776224,1,2
-72.99640536514337,218.80091783216784,1,2
-72.9957257952509,220.01770104895104,1,2
-72.99415145833335,218.92679195804195,1,2
-72.99289425403227,221.24847027972027,1,2
-72.99202213933692,221.31840034965035,1,2
-72.99117267697135,218.3533653846154,1,2
-72.99090084901435,219.09462412587413,1,2
-72.99036851926525,218.0596590909091,1,2
-72.98971160170252,219.52819055944056,1,2
-72.98960966621866,220.33937937062936,1,2
-72.98950773073479,221.4722465034965,1,2
-72.89355362903225,209.53546453546454,2,1
-72.89107620967741,209.45554445554447,2,1
-72.88235362903225,209.5034965034965,2,1
,,2,1
-72.88176008064515,209.4875124875125,2,1
-72.87677943548387,209.5034965034965,2,1
-72.89334717741934,209.07192807192808,2,2
-72.89290846774193,208.1128871128871,2,2
-72.89262459677418,207.80919080919082,2,2
-72.89236653225805,206.93006993006995,2,2
-72.89182459677419,207.36163836163837,2,2
-72.89120524193548,205.84315684315683,2,2
-72.8908439516129,206.4985014985015,2,2
-72.89061169354838,206.64235764235764,2,2
-72.89040524193548,207.44155844155844,2,2
-72.89027620967741,207.55344655344655,2,2
-72.88991491935484,206.3866133866134,2,2
-72.8892439516129,206.72227772227774,2,2
-72.8886504032258,206.45054945054946,2,2
-72.88808266129031,207.00999000999002,2,2
-72.88736008064515,206.8181818181818,2,2
-72.88658588709677,206.7062937062937,2,2
-72.88555362903224,206.8021978021978,2,2
-72.88508911290322,207.04195804195805,2,2
-72.88480524193548,208.8961038961039,2,2
-72.88428911290322,207.6813186813187,2,2
-72.88392782258063,207.21778221778223,2,2
-72.88361814516128,206.88211788211788,2,2
-72.88243104838709,208.04895104895104,2,2
-72.88222459677418,209.23176823176823,2,2
,,2,2
-72.8818633064516,209.16783216783216,2,2
-72.88129556451612,207.1858141858142,2,2
-72.88093427419354,206.96203796203795,2,2
-72.88075362903226,207.1858141858142,2,2
-72.88010846774193,206.14685314685315,2,2
-72.87995362903224,206.14685314685315,2,2
-72.87959233870967,206.97802197802199,2,2
-72.87915362903225,206.46653346653346,2,2
-72.87879233870967,206.6903096903097,2,2
-72.87879233870967,207.13786213786213,2,2
-72.87856008064516,208.2087912087912,2,2
-72.87819879032257,207.2017982017982,2,2
-72.8776568548387,207.16983016983016,2,2
-72.87703749999999,207.4095904095904,2,2
-72.87677943548387,209.15184815184816,2,2
-71.87610045250895,94.96750124875123,3,1
-71.87352926971326,95.00346528471526,3,1
,,3,1
-71.86918776433691,95.00346528471526,3,1
-71.86724883960572,95.00346528471526,3,1
-71.87614260304659,94.71575299700298,3,2
-71.87605830197131,93.99647227772226,3,2
-71.87581944892473,93.34911963036961,3,2
-71.87570704749103,92.89956918081916,3,2
-71.87559464605734,92.79167707292706,3,2
-71.8754119937276,91.98248626373625,3,2
-71.87520124103942,91.42504370629369,3,2
-71.87483593637992,91.02943931068928,3,2
-71.8745689829749,90.88558316683314,3,2
-71.87413342741935,90.9395292207792,3,2
-71.87388052419354,91.31715159840158,3,2
-71.873711922043,91.74872002997002,3,2
-71.8736978718638,92.18028846153844,3,2
-71.87365572132616,92.95351523476522,3,2
-71.87365572132616,94.06840034965033,3,2
-71.87351521953404,94.75171703296701,3,2
,,3,2
-71.86922991487455,94.67978896103894,3,2
-71.86920181451612,93.65481393606392,3,2
-71.86921586469533,92.89956918081916,3,2
-71.86903321236558,92.6298389110889,3,2
-71.86894891129032,92.77369505494504,3,2
-71.86882245967742,93.11535339660338,3,2
-71.86875220878136,93.81665209790208,3,2
-71.86851335573476,93.81665209790208,3,2
-71.86828855286738,93.18728146853145,3,2
-71.86816210125447,92.77369505494504,3,2
-71.86803564964157,92.57589285714283,3,2
-71.86776869623655,92.59387487512485,3,2
-71.86751579301075,93.67279595404594,3,2
-71.86738934139784,94.33813061938059,3,2
-71.86731909050178,94.75171703296701,3,2
-71.64703612231183,84.52122877122878,4,1
-71.63886192876345,84.5452047952048,4,1
-71.64702106854838,84.16158841158841,4,2
-71.64668988575269,83.4423076923077,4,2
-71.64641891801075,82.33941058941059,4,2
-71.64620816532258,81.35639360639361,4,2
-71.64605762768817,81.02072927072928,4,2
-71.6459221438172,81.09265734265735,4,2
-71.645846875,80.78096903096903,4,2
-71.64574149865591,80.4453046953047,4,2
-71.6456210685484,80.30144855144856,4,2
-71.6454404233871,80.20554445554446,4,2
-71.64524472446237,79.96578421578423,4,2
-71.64486838037635,79.58216783216784,4,2
-71.64440171370968,78.98276723276724,4,2
-71.64364902553764,78.88686313686314,4,2
-71.64294149865592,78.743006993007,4,2
-71.64253504704301,78.76698301698302,4,2
-71.64224902553764,79.22252747252747,4,2
-71.64185762768817,79.65409590409591,4,2
-71.6414963373656,80.08566433566435,4,2
-71.64122536962365,80.46928071928073,4,2
-71.64104472446238,80.8528971028971,4,2
-71.64089418682796,81.30844155844156,4,2
-71.64075870295699,82.19555444555445,4,2
-71.6407285954301,82.55519480519482,4,2
-71.64057805779571,83.10664335664336,4,2
-71.64038235887097,83.20254745254746,4,2
-71.63959956317204,83.56218781218782,4,2
-71.639358702957,83.80194805194806,4,2
-71.6392533266129,84.0417082917083,4,2
-71.63898235887098,84.0417082917083,4,2
-71.63881676747312,84.30544455544457,4,2
