FID,Z,Lat,Lon
0,0.000000000000000,-72.9029999,67.3000031
1,0.000000000000000,-72.9027023,67.3001022
2,0.000000000000000,-72.9024963,67.3002014
3,0.000000000000000,-72.9021988,67.3003998
4,0.000000000000000,-72.9019012,67.3004990
5,0.000000000000000,-72.9017029,67.3005981
6,0.000000000000000,-72.9013977,67.3006973
7,0.000000000000000,-72.9011002,67.3009033
8,0.000000000000000,-72.9009018,67.3010025
9,0.000000000000000,-72.9005966,67.3011017
10,0.000000000000000,-72.9002991,67.3012009
11,0.000000000000000,-72.9001007,67.3013992
12,0.000000000000000,-72.8998032,67.3014984
13,0.000000000000000,-72.8994980,67.3015976
14,0.000000000000000,-72.8992996,67.3016968
15,0.000000000000000,-72.8990021,67.3019028
16,0.000000000000000,-72.8986969,67.3020020
17,0.000000000000000,-72.8984985,67.3021011
18,0.000000000000000,-72.8982010,67.3022003
19,0.000000000000000,-72.8979034,67.3023987
20,0.000000000000000,-72.8976974,67.3024979
21,0.000000000000000,-72.8973999,67.3025970
22,0.000000000000000,-72.8971024,67.3026962
23,0.000000000000000,-72.8968964,67.3029022
24,0.000000000000000,-72.8965988,67.3030014
25,0.000000000000000,-72.8963013,67.3031006
26,0.000000000000000,-72.8960037,67.3032990
27,0.000000000000000,-72.8957977,67.3033981
28,0.000000000000000,-72.8955002,67.3034973
29,0.000000000000000,-72.8952026,67.3035965
30,0.000000000000000,-72.8949966,67.3038025
31,0.000000000000000,-72.8946991,67.3039017
32,0.000000000000000,-72.8944016,67.3040009
33,3.014200000010000,-72.8942032,67.3041000
34,0.000000000000000,-72.8938980,67.3042984
35,0.000000000000000,-72.8936005,67.3043976
36,17.135000000000002,-72.8934021,67.3044968
37,1.482800000000000,-72.8930969,67.3046036
38,314.586500000000000,-72.8927994,67.3048019
39,556.384000000000010,-72.8926010,67.3049011
40,792.706199999999970,-72.8923035,67.3050003
41,976.852300000000010,-72.8919983,67.3050995
42,1067.128600000000000,-72.8917999,67.3052979
43,1234.106700000000000,-72.8915024,67.3053970
44,1482.789100000000000,-72.8911972,67.3054962
45,1635.783899999999900,-72.8909988,67.3056030
46,1568.905400000000100,-72.8907013,67.3058014
47,1380.972199999999900,-72.8904037,67.3059006
48,1279.821799999999900,-72.8901978,67.3059998
49,1310.665800000000000,-72.8899002,67.3061981
50,1174.030500000000100,-72.8896027,67.3062973
51,1098.518100000000000,-72.8893967,67.3063965
52,976.313800000000010,-72.8890991,67.3065033
53,860.977999999999950,-72.8888016,67.3067017
54,782.450900000000050,-72.8886032,67.3068008
55,773.299800000000000,-72.8882980,67.3069000
56,727.367600000000040,-72.8880005,67.3069992
57,934.638500000000020,-72.8878021,67.3071976
58,752.190799999999970,-72.8874969,67.3072968
59,557.629900000000020,-72.8871994,67.3074036
60,422.001399999999990,-72.8870010,67.3075027
61,588.757299999999990,-72.8867035,67.3077011
62,393.455499999999970,-72.8863983,67.3078003
63,298.734800000000010,-72.8862000,67.3078995
64,337.399600000000020,-72.8859024,67.3079987
65,400.149600000000020,-72.8855972,67.3081970
66,514.951299999999950,-72.8853989,67.3082962
67,379.831000000000020,-72.8851013,67.3084030
68,198.169600000000000,-72.8848038,67.3085022
69,511.539400000000000,-72.8845978,67.3087006
70,816.824399999999970,-72.8843002,67.3087997
71,901.086199999999960,-72.8840027,67.3088989
72,914.107600000000050,-72.8837967,67.3090973
73,672.386499999999960,-72.8834991,67.3091965
74,503.368600000000010,-72.8832016,67.3093033
75,444.204500000000000,-72.8828964,67.3094025
76,239.025000000000010,-72.8826981,67.3096008
77,113.479200000000010,-72.8824005,67.3097000
78,70.823499999999996,-72.8821030,67.3097992
79,143.468999999999990,-72.8818970,67.3098984
80,593.374199999999970,-72.8815994,67.3100967
81,870.965500000000020,-72.8813019,67.3102036
82,982.242300000000000,-72.8811035,67.3103027
83,1151.579199999999900,-72.8807983,67.3104019
84,1310.994400000000000,-72.8805008,67.3106003
85,1496.602699999999900,-72.8803024,67.3106995
86,1623.450800000000100,-72.8799973,67.3107986
87,1547.161300000000000,-72.8796997,67.3108978
88,1560.152200000000000,-72.8795013,67.3110962
89,1561.063799999999900,-72.8792038,67.3112030
90,1311.563100000000100,-72.8788986,67.3113022
91,1011.546700000000000,-72.8787003,67.3114014
92,907.867899999999960,-72.8784027,67.3115997
93,456.294400000000000,-72.8780975,67.3116989
94,310.413299999999990,-72.8778992,67.3117981
95,386.723700000000010,-72.8776016,67.3118973
96,111.920700000000000,-72.8772964,67.3121033
97,0.000000000000000,-72.8770981,67.3122025
98,0.000000000000000,-72.8768005,67.3123016
99,0.000000000000000,-72.8765030,67.3124008
100,0.000000000000000,-72.8762970,67.3125992
101,0.000000000000000,-72.8759995,67.3126984
102,0.000000000000000,-72.8757019,67.3127975
103,0.000000000000000,-72.8755035,67.3130035
104,0.000000000000000,-72.8751984,67.3131027
105,0.000000000000000,-72.8749008,67.3132019
106,0.000000000000000,-72.8747025,67.3133011
107,0.000000000000000,-72.8743973,67.3134995
108,0.000000000000000,-72.8740997,67.3135986
109,0.000000000000000,-72.8739014,67.3136978
110,0.000000000000000,-72.8735962,67.3137970
111,0.000000000000000,-72.8732986,67.3140030
112,0.000000000000000,-72.8731003,67.3141022
113,0.000000000000000,-72.8728027,67.3142014
114,0.000000000000000,-72.8724976,67.3143005
115,0.000000000000000,-72.8722992,67.3144989
116,0.000000000000000,-72.8720016,67.3145981
117,0.000000000000000,-72.8716965,67.3146973
118,0.000000000000000,-72.8714981,67.3147964
119,0.000000000000000,-72.8712006,67.3150024
120,0.000000000000000,-72.8709030,67.3151016
121,0.000000000000000,-72.8706970,67.3152008
122,0.000000000000000,-72.8703995,67.3153000
123,0.000000000000000,-72.8701019,67.3154984
124,0.000000000000000,-72.8697968,67.3155975
125,0.000000000000000,-72.8695984,67.3156967
126,0.000000000000000,-72.8693008,67.3158035
127,0.000000000000000,-72.8690033,67.3160019
128,0.000000000000000,-72.8687973,67.3161011
129,0.000000000000000,-72.8684998,67.3162003
130,0.000000000000000,-72.8682022,67.3162994
131,0.000000000000000,-72.8679962,67.3164978
132,0.000000000000000,-72.8676987,67.3165970
133,0.000000000000000,-72.8674011,67.3167038
134,0.000000000000000,-72.8672028,67.3168030
135,0.000000000000000,-72.8668976,67.3170013
136,0.000000000000000,-72.8666000,67.3171005
137,0.000000000000000,-72.8664017,67.3171997
138,0.000000000000000,-72.8660965,67.3172989
139,0.000000000000000,-72.8657990,67.3174973
140,0.000000000000000,-72.8656006,67.3175964
141,0.000000000000000,-72.8653030,67.3177032
142,0.000000000000000,-72.8649979,67.3178024
143,0.000000000000000,-72.8647995,67.3180008
144,0.000000000000000,-72.8645020,67.3181000
145,0.000000000000000,-72.8641968,67.3181992
146,0.000000000000000,-72.8639984,67.3183975
147,0.000000000000000,-72.8637009,67.3184967
148,0.000000000000000,-72.8634033,67.3186035
149,0.000000000000000,-72.8631973,67.3187027
150,0.000000000000000,-72.8628998,67.3189011
151,0.000000000000000,-72.8626022,67.3190002
152,0.000000000000000,-72.8623962,67.3190994
153,0.000000000000000,-72.8620987,67.3191986
154,0.000000000000000,-72.8618011,67.3193970
155,0.000000000000000,-72.8616028,67.3195038
156,0.000000000000000,-72.8612976,67.3196030
157,0.000000000000000,-72.8610001,67.3197021
158,0.000000000000000,-72.8608017,67.3199005
159,0.000000000000000,-72.8604965,67.3199997
160,0.000000000000000,-72.8601990,67.3200989
161,0.000000000000000,-72.8600006,67.3201981
162,0.000000000000000,-72.8597031,67.3203964
163,0.000000000000000,-72.8593979,67.3205032
164,0.000000000000000,-72.8591003,67.3206024
165,0.000000000000000,-72.8589020,67.3207016
166,0.000000000000000,-72.8585968,67.3209000
167,0.000000000000000,-72.8582993,67.3209991
168,0.000000000000000,-72.8581009,67.3210983
169,0.000000000000000,-72.8578033,67.3211975
170,0.000000000000000,-72.8574982,67.3214035
171,0.000000000000000,-72.8572998,67.3215027
172,0.000000000000000,-72.8570023,67.3216019
173,0.000000000000000,-72.8566971,67.3217010
174,0.000000000000000,-72.8564987,67.3218994
175,0.000000000000000,-72.8562012,67.3219986
176,0.000000000000000,-72.8559036,67.3220978
177,0.000000000000000,-72.8556976,67.3221970
178,0.000000000000000,-72.8554001,67.3224030
179,0.000000000000000,-72.8551025,67.3225021
180,0.000000000000000,-72.8548965,67.3226013
181,0.000000000000000,-72.8545990,67.3227005
182,0.000000000000000,-72.8543015,67.3228989
183,0.000000000000000,-72.8541031,67.3229980
184,0.000000000000000,-72.8537979,67.3230972
185,0.000000000000000,-72.8535004,67.3231964
186,0.000000000000000,-72.8533020,67.3234024
187,0.000000000000000,-72.8529968,67.3235016
188,0.000000000000000,-72.8526993,67.3236008
189,0.000000000000000,-72.8525009,67.3237000
190,0.000000000000000,-72.8522034,67.3238983
191,0.000000000000000,-72.8518982,67.3239975
192,0.000000000000000,-72.8516998,67.3240967
193,0.000000000000000,-72.8514023,67.3242035
194,0.000000000000000,-72.8510971,67.3244019
195,0.000000000000000,-72.8508987,67.3245010
196,0.000000000000000,-72.8506012,67.3246002
197,0.000000000000000,-72.8503036,67.3247986
198,0.000000000000000,-72.8500977,67.3248978
199,0.000000000000000,-72.8498001,67.3249969
200,0.000000000000000,-72.8495026,67.3251038
