FID,Z,Lat,Lon,Lon_1
0,0.000000000000000,-71.6510010,0,67.8551025
1,0.000000000000000,-71.6507034,0,67.8552017
2,0.000000000000000,-71.6504974,0,67.8553009
3,0.000000000000000,-71.6501999,0,67.8554001
4,0.000000000000000,-71.6499023,0,67.8554993
5,0.000000000000000,-71.6496964,0,67.8555984
6,0.000000000000000,-71.6493988,0,67.8557968
7,0.000000000000000,-71.6491013,0,67.8559036
8,0.000000000000000,-71.6489029,0,67.8560028
9,0.000000000000000,-71.6485977,0,67.8561020
10,0.000000000000000,-71.6483994,0,67.8562012
11,0.000000000000000,-71.6481018,0,67.8563004
12,0.000000000000000,-71.6477966,0,67.8563995
13,0.000000000000000,-71.6475983,0,67.8564987
14,0.000000000000000,-71.6473007,0,67.8566971
15,0.000000000000000,-71.6470032,0,67.8567963
16,16.695699999999999,-71.6467972,0,67.8569031
17,384.790200000000030,-71.6464996,0,67.8570023
18,547.127200000000020,-71.6462021,0,67.8571014
19,668.554999999999950,-71.6460037,0,67.8572006
20,769.118000000000050,-71.6456985,0,67.8572998
21,948.658800000000040,-71.6454010,0,67.8573990
22,1067.346200000000000,-71.6452026,0,67.8575974
23,1078.990900000000000,-71.6448975,0,67.8576965
24,1100.708100000000100,-71.6445999,0,67.8578033
25,1116.909799999999900,-71.6444016,0,67.8579025
26,1108.692000000000000,-71.6440964,0,67.8580017
27,1096.762700000000000,-71.6437988,0,67.8581009
28,994.898599999999990,-71.6436005,0,67.8582001
29,972.961300000000050,-71.6433029,0,67.8583984
30,963.845900000000030,-71.6429977,0,67.8584976
31,967.043099999999980,-71.6427994,0,67.8585968
32,930.844399999999950,-71.6425018,0,67.8587036
33,689.190399999999950,-71.6421967,0,67.8588028
34,525.244100000000000,-71.6419983,0,67.8589020
35,639.954899999999950,-71.6417007,0,67.8590012
36,654.752200000000020,-71.6414032,0,67.8591003
37,302.067500000000000,-71.6411972,0,67.8592987
38,141.070699999999990,-71.6408997,0,67.8593979
39,0.000000000000000,-71.6406021,0,67.8594971
40,0.000000000000000,-71.6404037,0,67.8595963
41,0.000000000000000,-71.6400986,0,67.8597031
42,0.239499999996000,-71.6398010,0,67.8598022
43,10.762800000000000,-71.6396027,0,67.8599014
44,69.818399999999997,-71.6392975,0,67.8600006
45,6.421400000010000,-71.6389999,0,67.8601990
46,0.000000000000000,-71.6388016,0,67.8602982
47,0.000000000000000,-71.6384964,0,67.8603973
48,0.000000000000000,-71.6381989,0,67.8604965
49,0.000000000000000,-71.6380005,0,67.8606033
50,0.000000000000000,-71.6377029,0,67.8607025
51,0.000000000000000,-71.6373978,0,67.8608017
52,0.000000000000000,-71.6371994,0,67.8609009
53,0.000000000000000,-71.6369019,0,67.8610992
54,0.000000000000000,-71.6365967,0,67.8611984
55,0.000000000000000,-71.6363983,0,67.8612976
56,0.000000000000000,-71.6361008,0,67.8613968
57,0.000000000000000,-71.6358032,0,67.8615036
58,0.000000000000000,-71.6355972,0,67.8616028
59,0.000000000000000,-71.6352997,0,67.8617020
60,0.000000000000000,-71.6350021,0,67.8619003
61,0.000000000000000,-71.6348038,0,67.8619995
62,0.000000000000000,-71.6344986,0,67.8620987
63,0.000000000000000,-71.6342010,0,67.8621979
64,0.000000000000000,-71.6340027,0,67.8622971
65,0.000000000000000,-71.6336975,0,67.8623962
66,0.000000000000000,-71.6334000,0,67.8625031
67,0.000000000000000,-71.6332016,0,67.8626022
68,0.000000000000000,-71.6328964,0,67.8628006
69,0.000000000000000,-71.6325989,0,67.8628998
70,0.000000000000000,-71.6324005,0,67.8629990
71,0.000000000000000,-71.6321030,0,67.8630981
72,0.000000000000000,-71.6317978,0,67.8631973
73,0.000000000000000,-71.6315994,0,67.8632965
74,0.000000000000000,-71.6313019,0,67.8634033
75,0.000000000000000,-71.6309967,0,67.8635025
76,0.000000000000000,-71.6307983,0,67.8637009
77,0.000000000000000,-71.6305008,0,67.8638000
78,0.000000000000000,-71.6302032,0,67.8638992
79,0.000000000000000,-71.6299973,0,67.8639984
